key,value,eventTime,arrivalTime,processedTime
28425641,1,500,794,7052
28425641,1,500,810,7052
79093151,1,500,828,7052
28425641,1,500,860,7052
66489138,1,500,955,7052
44594109,1,500,961,7052
99970880,1,500,1019,7052
87926431,1,500,1072,7052
67959054,1,1000,1077,7052
19819569,1,1000,1205,7052
28425641,1,500,1242,7052
34262661,1,1000,1276,7052
86971226,1,500,1284,7052
10718755,1,500,1339,7052
34262661,1,1000,1387,7052
19819569,1,1500,1524,7052
32747133,1,1000,1549,7052
95290079,1,1500,1551,7052
31895428,1,1000,1553,7052
19819569,1,1000,1614,7052
4448187,1,1000,1626,7052
28425641,1,500,1643,7052
19819569,1,1000,1646,7052
95290079,1,1500,1719,7052
67959054,1,1000,1721,7052
19819569,1,1500,1728,7052
73418408,1,1500,1772,7052
95290079,1,1500,1775,7052
71725719,1,500,1791,7052
63804775,1,1000,1793,7052
73418408,1,1500,1798,7052
89636884,1,1000,1802,7052
87926431,1,500,1882,7052
95290079,1,1500,1915,7052
19819569,1,1000,1971,7052
19819569,1,1500,1995,7052
19819569,1,1000,2008,7052
84484364,1,500,2027,7052
19819569,1,1500,2068,7052
99048844,1,1000,2175,7052
79093151,1,500,2193,7052
45585267,1,2000,2267,7052
68817033,1,2000,2299,7052
73418408,1,1500,2308,7052
58357722,1,1500,2360,7052
7278441,1,2000,2410,7052
28425641,1,500,2418,7052
21863909,1,500,2423,7052
1296214,1,1000,2490,7052
19819569,1,1000,2490,7052
93776043,1,1000,2526,7052
22726351,1,2500,2534,7052
28425641,1,500,2556,7052
32227697,1,1000,2636,7052
95290079,1,1500,2667,7052
25804512,1,2500,2670,7052
93776043,1,1000,2730,7052
82758559,1,500,2758,7052
72523281,1,2500,2771,7052
95290079,1,1500,2786,7052
19819569,1,1000,2794,7052
96673993,1,2000,2824,7052
79093151,1,500,2867,7052
28425641,1,500,2888,7052
77221734,1,2000,2903,7052
28425641,1,500,2907,7052
28425641,1,500,2925,7052
23374822,1,2500,2937,7052
77589042,1,1500,2996,7052
51209364,1,0,3012,7052
25804512,1,2000,3058,7052
28425641,1,500,3105,7052
28425641,1,500,3117,7052
19819569,1,1000,3123,7052
28425641,1,500,3139,7052
25804512,1,2500,3142,7052
79093151,1,3000,3171,7052
19819569,1,1000,3186,7052
72523281,1,2500,3203,7052
32412154,1,1000,3225,7052
95290079,1,1500,3226,7052
32922355,1,2500,3231,7052
86308065,1,3000,3238,7052
22726351,1,2500,3249,7052
28425641,1,500,3254,7052
19819569,1,1500,3277,7052
22726351,1,2500,3279,7052
30003784,1,2000,3309,7052
58357722,1,1500,3327,7052
22726351,1,2500,3342,7052
11723396,1,2000,3345,7052
16133749,1,2000,3364,7052
58357722,1,1500,3369,7052
19819569,1,1500,3380,7052
95290079,1,1500,3401,7052
43581846,1,1500,3413,7052
19819569,1,1500,3427,7052
33071850,1,1000,3444,7052
6456186,1,2000,3490,7052
6456186,1,2000,3506,7052
56511357,1,1500,3508,7052
85360088,1,2500,3514,7052
36488048,1,3500,3533,7052
91599990,1,2500,3540,7052
36374194,1,2000,3553,7052
75282642,1,3500,3553,7052
5023913,1,2000,3557,7052
32412154,1,1000,3566,7052
66538156,1,2500,3571,7052
79093151,1,500,3578,7052
7544903,1,3500,3590,7052
31895428,1,1000,3590,7052
21559768,1,3500,3605,7052
4853279,1,2500,3616,7052
87926431,1,500,3654,7052
19819569,1,1500,3672,7052
58357722,1,1500,3681,7052
99027874,1,2500,3697,7052
44594109,1,3500,3721,7052
25737248,1,2000,3724,7052
43990469,1,3000,3725,7052
51209364,1,500,3729,7052
83488764,1,3000,3756,7052
28425641,1,500,3756,7052
83488764,1,3000,3768,7052
84484364,1,500,3782,7052
