key,value,eventTime,arrivalTime,processedTime
28425641,1,500,794,7053
28425641,1,500,810,7053
79093151,1,500,828,7053
28425641,1,500,860,7053
66489138,1,500,955,7053
44594109,1,500,961,7053
99970880,1,500,1019,7053
87926431,1,500,1072,7053
67959054,1,1000,1077,7053
19819569,1,1000,1205,7053
28425641,1,500,1242,7053
34262661,1,1000,1276,7053
86971226,1,500,1284,7053
10718755,1,500,1339,7053
34262661,1,1000,1387,7053
19819569,1,1500,1524,7053
32747133,1,1000,1549,7053
95290079,1,1500,1551,7053
31895428,1,1000,1553,7053
19819569,1,1000,1614,7053
4448187,1,1000,1626,7053
28425641,1,500,1643,7053
19819569,1,1000,1646,7053
95290079,1,1500,1719,7053
67959054,1,1000,1721,7053
19819569,1,1500,1728,7053
73418408,1,1500,1772,7053
95290079,1,1500,1775,7053
71725719,1,500,1791,7053
63804775,1,1000,1793,7053
73418408,1,1500,1798,7053
89636884,1,1000,1802,7053
87926431,1,500,1882,7053
95290079,1,1500,1915,7053
19819569,1,1000,1971,7053
19819569,1,1500,1995,7053
19819569,1,1000,2008,7053
84484364,1,500,2027,7053
19819569,1,1500,2068,7053
99048844,1,1000,2175,7053
79093151,1,500,2193,7053
45585267,1,2000,2267,7053
68817033,1,2000,2299,7053
73418408,1,1500,2308,7053
58357722,1,1500,2360,7053
7278441,1,2000,2410,7053
28425641,1,500,2418,7053
21863909,1,500,2423,7053
1296214,1,1000,2490,7053
19819569,1,1000,2490,7053
93776043,1,1000,2526,7053
22726351,1,2500,2534,7053
28425641,1,500,2556,7053
32227697,1,1000,2636,7053
95290079,1,1500,2667,7053
25804512,1,2500,2670,7053
93776043,1,1000,2730,7053
82758559,1,500,2758,7053
72523281,1,2500,2771,7053
95290079,1,1500,2786,7053
19819569,1,1000,2794,7053
96673993,1,2000,2824,7053
79093151,1,500,2867,7053
28425641,1,500,2888,7053
77221734,1,2000,2903,7053
28425641,1,500,2907,7053
28425641,1,500,2925,7053
23374822,1,2500,2937,7053
77589042,1,1500,2996,7053
51209364,1,0,3012,7053
25804512,1,2000,3058,7053
28425641,1,500,3105,7053
28425641,1,500,3117,7053
19819569,1,1000,3123,7053
28425641,1,500,3139,7053
25804512,1,2500,3142,7053
79093151,1,3000,3171,7053
19819569,1,1000,3186,7053
72523281,1,2500,3203,7053
32412154,1,1000,3225,7053
95290079,1,1500,3226,7053
32922355,1,2500,3231,7053
86308065,1,3000,3238,7053
22726351,1,2500,3249,7053
28425641,1,500,3254,7053
19819569,1,1500,3277,7053
22726351,1,2500,3279,7053
30003784,1,2000,3309,7053
58357722,1,1500,3327,7053
22726351,1,2500,3342,7053
11723396,1,2000,3345,7053
16133749,1,2000,3364,7053
58357722,1,1500,3369,7053
19819569,1,1500,3380,7053
95290079,1,1500,3401,7053
43581846,1,1500,3413,7053
19819569,1,1500,3427,7053
33071850,1,1000,3444,7053
6456186,1,2000,3490,7053
6456186,1,2000,3506,7053
56511357,1,1500,3508,7053
85360088,1,2500,3514,7053
36488048,1,3500,3533,7053
91599990,1,2500,3540,7053
36374194,1,2000,3553,7053
75282642,1,3500,3553,7053
5023913,1,2000,3557,7053
32412154,1,1000,3566,7053
66538156,1,2500,3571,7053
79093151,1,500,3578,7053
7544903,1,3500,3590,7053
31895428,1,1000,3590,7053
21559768,1,3500,3605,7053
4853279,1,2500,3616,7053
87926431,1,500,3654,7053
19819569,1,1500,3672,7053
58357722,1,1500,3681,7053
99027874,1,2500,3697,7053
44594109,1,3500,3721,7053
25737248,1,2000,3724,7053
43990469,1,3000,3725,7053
51209364,1,500,3729,7053
83488764,1,3000,3756,7053
28425641,1,500,3756,7053
83488764,1,3000,3768,7053
84484364,1,500,3782,7053
5956451,1,500,3783,7053
86308065,1,3000,3785,7053
19819569,1,1500,3789,7053
59066148,1,1000,3790,7053
19819569,1,1500,3817,7053
81783800,1,3000,3837,7053
30003784,1,2000,3852,7053
33071850,1,1000,3881,7053
83488764,1,3000,3914,7053
8345360,1,2000,3926,7053
33071850,1,1000,3930,7053
22701764,1,3000,3932,7053
2673143,1,2500,3937,7053
28425641,1,500,3938,7053
44594109,1,3500,3941,7053
5956451,1,3500,3941,7053
91599990,1,2000,3953,7053
87926431,1,500,3956,7053
72523281,1,2500,3963,7053
28425641,1,500,3983,7053
95290079,1,1500,3984,7053
95290079,1,1500,4010,7053
19819569,1,1500,4042,7053
86308065,1,3500,4049,7053
91962132,1,4000,4062,7053
51209364,1,500,4070,7053
28425641,1,500,4100,7053
83488764,1,3000,4121,7053
3330322,1,4000,4129,7053
16133749,1,2000,4140,7053
98997765,1,1500,4159,7053
18591930,1,2000,4177,7053
40639323,1,4000,4178,7053
44594109,1,3000,4184,7053
95290079,1,1500,4191,7053
19819569,1,1000,4201,7053
93776043,1,1000,4204,7053
83488764,1,3000,4207,7053
72523281,1,2500,4210,7053
91962132,1,4000,4249,7053
14838691,1,4000,4288,7053
58169160,1,2000,4289,7053
19819569,1,1500,4300,7053
7544903,1,3000,4302,7053
17718341,1,4000,4307,7053
85420429,1,2000,4308,7053
18591930,1,2000,4309,7053
4448187,1,1000,4313,7053
80694968,1,2500,4319,7053
68486918,1,1000,4370,7053
11723396,1,2000,4398,7053
75282642,1,3500,4399,7053
44594109,1,3500,4422,7053
7278441,1,2000,4428,7053
22701764,1,3000,4460,7053
22726351,1,2500,4489,7053
58357722,1,1500,4490,7053
95290079,1,1500,4505,7053
19819569,1,1000,4509,7053
28425641,1,500,4550,7053
31508574,1,2000,4559,7053
25804512,1,2500,4561,7053
28425641,1,500,4581,7053
53520052,1,1000,4601,7053
58357722,1,1500,4609,7053
70395304,1,1500,4629,7053
65282171,1,4500,4632,7053
93776043,1,1000,4661,7053
36488048,1,3500,4682,7053
36488048,1,3500,4683,7053
28425641,1,500,4694,7053
22726351,1,2500,4707,7053
79093151,1,3500,4707,7053
30003784,1,2000,4709,7053
53520052,1,4500,4710,7053
95290079,1,1500,4715,7053
4853279,1,2500,4715,7053
91599990,1,2000,4728,7053
95290079,1,1500,4729,7053
66538156,1,3000,4734,7053
5956451,1,3500,4759,7053
7544903,1,3000,4771,7053
2982962,1,2000,4790,7053
33200804,1,1000,4799,7053
16234480,1,500,4802,7053
62524424,1,4500,4804,7053
72523281,1,2500,4843,7053
4448187,1,1000,4874,7053
87926431,1,500,4884,7053
96673993,1,2000,4894,7053
89886461,1,4000,4943,7053
34262661,1,1000,4962,7053
22311271,1,2000,4976,7053
68486918,1,4500,5003,7053
84484364,1,500,5005,7053
62607824,1,1000,5006,7053
86308065,1,3500,5012,7053
61118106,1,4500,5016,7053
63670604,1,2000,5033,7053
73877266,1,4500,5034,7053
95290079,1,1500,5048,7053
4853279,1,2500,5052,7053
28425641,1,500,5055,7053
32747133,1,1000,5059,7053
79093151,1,500,5067,7053
89915804,1,2000,5067,7053
96673993,1,2000,5071,7053
35200765,1,3000,5087,7053
89528679,1,4500,5091,7053
63804775,1,4500,5092,7053
28425641,1,500,5094,7053
28425641,1,500,5106,7053
32747133,1,5000,5115,7053
91599990,1,2500,5164,7053
17442783,1,4500,5168,7053
65282171,1,4500,5183,7053
44594109,1,3500,5187,7053
51799292,1,4000,5190,7053
83488764,1,3000,5192,7053
17442783,1,4000,5205,7053
83488764,1,3000,5216,7053
97064747,1,3500,5217,7053
28425641,1,500,5221,7053
1438364,1,4000,5234,7053
45051218,1,4000,5243,7053
19819569,1,1000,5249,7053
51799292,1,4000,5263,7053
83488764,1,3000,5273,7053
31412746,1,4500,5281,7053
86308065,1,3000,5282,7053
22726351,1,2500,5299,7053
44594109,1,4000,5300,7053
81340523,1,2000,5302,7053
71332311,1,5000,5321,7053
17442783,1,4500,5321,7053
73418408,1,1500,5324,7053
83488764,1,3000,5336,7053
19819569,1,1000,5352,7053
22726351,1,2500,5356,7053
58357722,1,1500,5393,7053
99283724,1,4000,5398,7053
97339803,1,3000,5416,7053
72523281,1,2500,5419,7053
89886461,1,4000,5421,7053
6456186,1,2000,5434,7053
91599990,1,2000,5442,7053
53520052,1,4500,5456,7053
53520052,1,5000,5462,7053
73877266,1,4500,5466,7053
75282642,1,3500,5496,7053
89528679,1,5500,5506,7053
83488764,1,3000,5515,7053
5956451,1,3500,5520,7053
19819569,1,1500,5524,7053
27613627,1,5000,5531,7053
96673993,1,2000,5532,7053
65282171,1,4500,5547,7053
11683730,1,1000,5557,7053
16234480,1,4500,5589,7053
72948369,1,4500,5594,7053
31412746,1,5500,5601,7053
72165418,1,5000,5606,7053
30758909,1,5000,5611,7053
27613627,1,5500,5619,7053
53520052,1,5000,5626,7053
99283724,1,4000,5632,7053
79247076,1,5000,5638,7053
30003784,1,2000,5641,7053
89886461,1,4000,5652,7053
29386080,1,4500,5662,7053
3628,1,4500,5679,7053
44594109,1,4000,5689,7053
72948369,1,4500,5689,7053
3887941,1,4000,5691,7053
83488764,1,3000,5723,7053
34438281,1,4500,5728,7053
27605310,1,3500,5741,7053
73418408,1,1500,5750,7053
57006,1,4000,5772,7053
54482435,1,1000,5798,7053
87095283,1,3500,5812,7053
19819569,1,1000,5824,7053
19819569,1,1500,5841,7053
3225441,1,3500,5847,7053
53520052,1,5500,5861,7053
75282642,1,3500,5870,7053
22726351,1,2500,5879,7053
19819569,1,1000,5880,7053
80694968,1,2500,5887,7053
1379020,1,2500,5887,7053
7544903,1,3500,5917,7053
83488764,1,3000,5917,7053
70395304,1,2000,5920,7053
60557969,1,3000,5923,7053
19819569,1,1000,5933,7053
45585267,1,2000,5949,7053
31412746,1,4500,5949,7053
99283724,1,4500,5970,7053
88354479,1,4500,5978,7053
20588947,1,1000,5995,7053
58357722,1,1500,6002,7053
95290079,1,1500,6004,7053
51133312,1,6000,6010,7053
25804512,1,2500,6031,7053
17442783,1,4000,6033,7053
31412746,1,6000,6043,7053
22726351,1,2500,6043,7053
88354479,1,4500,6076,7053
44594109,1,3500,6079,7053
88354479,1,6000,6085,7053
95290079,1,1500,6097,7053
44594109,1,3000,6106,7053
31412746,1,5500,6141,7053
19819569,1,1500,6151,7053
75282642,1,3500,6165,7053
65282171,1,4500,6174,7053
94713929,1,6000,6179,7053
31412746,1,5500,6202,7053
25737248,1,2500,6203,7053
87926431,1,5500,6203,7053
36374194,1,2000,6208,7053
83488764,1,3000,6221,7053
88354479,1,4500,6232,7053
62178153,1,6000,6234,7053
36374194,1,2000,6242,7053
86308065,1,3000,6250,7053
99970880,1,5500,6317,7053
57349059,1,6000,6327,7053
72165418,1,5000,6337,7053
27308352,1,5000,6347,7053
22726351,1,2500,6350,7053
68817033,1,2000,6355,7053
66538156,1,2500,6357,7053
52568071,1,2000,6370,7053
30758909,1,5500,6382,7053
72523281,1,2000,6403,7053
31133703,1,6000,6407,7053
37569104,1,5000,6408,7053
22701764,1,3000,6410,7053
25323265,1,2000,6415,7053
75282642,1,3500,6420,7053
29386080,1,6000,6431,7053
30758909,1,5000,6458,7053
31412746,1,6000,6479,7053
66304266,1,6000,6482,7053
22726351,1,2500,6496,7053
