key,value,eventTime,arrivalTime,processedTime
28425641,1,500,794,12005
28425641,1,500,810,12005
79093151,1,500,828,12005
28425641,1,500,860,12005
66489138,1,500,955,12005
44594109,1,500,961,12005
99970880,1,500,1019,12005
87926431,1,500,1072,12005
67959054,1,1000,1077,12005
19819569,1,1000,1205,12005
28425641,1,500,1242,12005
34262661,1,1000,1276,12005
86971226,1,500,1284,12005
10718755,1,500,1339,12005
34262661,1,1000,1387,12005
19819569,1,1500,1524,12005
32747133,1,1000,1549,12005
95290079,1,1500,1551,12005
31895428,1,1000,1553,12005
19819569,1,1000,1614,12005
4448187,1,1000,1626,12005
28425641,1,500,1643,12005
19819569,1,1000,1646,12005
95290079,1,1500,1719,12005
67959054,1,1000,1721,12005
19819569,1,1500,1728,12005
73418408,1,1500,1772,12005
95290079,1,1500,1775,12005
71725719,1,500,1791,12005
63804775,1,1000,1793,12005
73418408,1,1500,1798,12005
89636884,1,1000,1802,12005
87926431,1,500,1882,12005
95290079,1,1500,1915,12005
19819569,1,1000,1971,12005
19819569,1,1500,1995,12005
19819569,1,1000,2008,12005
84484364,1,500,2027,12005
19819569,1,1500,2068,12005
99048844,1,1000,2175,12005
79093151,1,500,2193,12005
45585267,1,2000,2267,12005
68817033,1,2000,2299,12005
73418408,1,1500,2308,12005
58357722,1,1500,2360,12005
7278441,1,2000,2410,12005
28425641,1,500,2418,12005
21863909,1,500,2423,12005
1296214,1,1000,2490,12005
19819569,1,1000,2490,12005
93776043,1,1000,2526,12005
22726351,1,2500,2534,12005
28425641,1,500,2556,12005
32227697,1,1000,2636,12005
95290079,1,1500,2667,12005
25804512,1,2500,2670,12005
93776043,1,1000,2730,12005
82758559,1,500,2758,12005
72523281,1,2500,2771,12005
95290079,1,1500,2786,12005
19819569,1,1000,2794,12005
96673993,1,2000,2824,12005
79093151,1,500,2867,12005
28425641,1,500,2888,12005
77221734,1,2000,2903,12005
28425641,1,500,2907,12005
28425641,1,500,2925,12005
23374822,1,2500,2937,12005
77589042,1,1500,2996,12005
51209364,1,0,3012,12005
25804512,1,2000,3058,12005
28425641,1,500,3105,12005
28425641,1,500,3117,12005
19819569,1,1000,3123,12005
28425641,1,500,3139,12005
25804512,1,2500,3142,12005
79093151,1,3000,3171,12005
19819569,1,1000,3186,12005
72523281,1,2500,3203,12005
32412154,1,1000,3225,12005
95290079,1,1500,3226,12005
32922355,1,2500,3231,12005
86308065,1,3000,3238,12005
22726351,1,2500,3249,12005
28425641,1,500,3254,12005
19819569,1,1500,3277,12005
22726351,1,2500,3279,12005
30003784,1,2000,3309,12005
58357722,1,1500,3327,12005
22726351,1,2500,3342,12005
11723396,1,2000,3345,12005
16133749,1,2000,3364,12005
58357722,1,1500,3369,12005
19819569,1,1500,3380,12005
95290079,1,1500,3401,12005
43581846,1,1500,3413,12005
19819569,1,1500,3427,12005
33071850,1,1000,3444,12005
6456186,1,2000,3490,12005
6456186,1,2000,3506,12005
56511357,1,1500,3508,12005
85360088,1,2500,3514,12005
36488048,1,3500,3533,12005
91599990,1,2500,3540,12005
36374194,1,2000,3553,12005
75282642,1,3500,3553,12005
5023913,1,2000,3557,12005
32412154,1,1000,3566,12005
66538156,1,2500,3571,12005
79093151,1,500,3578,12005
7544903,1,3500,3590,12005
31895428,1,1000,3590,12005
21559768,1,3500,3605,12005
4853279,1,2500,3616,12005
87926431,1,500,3654,12005
19819569,1,1500,3672,12005
58357722,1,1500,3681,12005
99027874,1,2500,3697,12005
44594109,1,3500,3721,12005
25737248,1,2000,3724,12005
43990469,1,3000,3725,12005
51209364,1,500,3729,12005
83488764,1,3000,3756,12005
28425641,1,500,3756,12005
83488764,1,3000,3768,12005
84484364,1,500,3782,12005
5956451,1,500,3783,12005
86308065,1,3000,3785,12005
19819569,1,1500,3789,12005
59066148,1,1000,3790,12005
19819569,1,1500,3817,12005
81783800,1,3000,3837,12005
30003784,1,2000,3852,12005
33071850,1,1000,3881,12005
83488764,1,3000,3914,12005
8345360,1,2000,3926,12005
33071850,1,1000,3930,12005
22701764,1,3000,3932,12005
2673143,1,2500,3937,12005
28425641,1,500,3938,12005
44594109,1,3500,3941,12005
5956451,1,3500,3941,12005
91599990,1,2000,3953,12005
87926431,1,500,3956,12005
72523281,1,2500,3963,12005
28425641,1,500,3983,12005
95290079,1,1500,3984,12005
95290079,1,1500,4010,12005
19819569,1,1500,4042,12005
86308065,1,3500,4049,12005
91962132,1,4000,4062,12005
51209364,1,500,4070,12005
28425641,1,500,4100,12005
83488764,1,3000,4121,12005
