key,value,eventTime,arrivalTime,processedTime
28425641,1,500,794,12040
28425641,1,500,810,12040
79093151,1,500,828,12040
28425641,1,500,860,12040
66489138,1,500,955,12040
44594109,1,500,961,12040
99970880,1,500,1019,12040
87926431,1,500,1072,12040
67959054,1,1000,1077,12040
19819569,1,1000,1205,12040
28425641,1,500,1242,12040
34262661,1,1000,1276,12040
86971226,1,500,1284,12040
10718755,1,500,1339,12040
34262661,1,1000,1387,12040
19819569,1,1500,1524,12040
32747133,1,1000,1549,12040
95290079,1,1500,1551,12040
31895428,1,1000,1553,12040
19819569,1,1000,1614,12040
4448187,1,1000,1626,12040
28425641,1,500,1643,12040
19819569,1,1000,1646,12040
95290079,1,1500,1719,12040
67959054,1,1000,1721,12040
19819569,1,1500,1728,12040
73418408,1,1500,1772,12040
95290079,1,1500,1775,12040
71725719,1,500,1791,12040
63804775,1,1000,1793,12040
73418408,1,1500,1798,12040
89636884,1,1000,1802,12040
87926431,1,500,1882,12040
95290079,1,1500,1915,12040
19819569,1,1000,1971,12040
19819569,1,1500,1995,12040
19819569,1,1000,2008,12040
84484364,1,500,2027,12040
19819569,1,1500,2068,12040
99048844,1,1000,2175,12040
79093151,1,500,2193,12040
45585267,1,2000,2267,12040
68817033,1,2000,2299,12040
73418408,1,1500,2308,12040
58357722,1,1500,2360,12040
7278441,1,2000,2410,12040
28425641,1,500,2418,12040
21863909,1,500,2423,12040
1296214,1,1000,2490,12040
19819569,1,1000,2490,12040
93776043,1,1000,2526,12040
22726351,1,2500,2534,12040
28425641,1,500,2556,12040
32227697,1,1000,2636,12040
95290079,1,1500,2667,12040
25804512,1,2500,2670,12040
93776043,1,1000,2730,12040
82758559,1,500,2758,12040
72523281,1,2500,2771,12040
95290079,1,1500,2786,12040
19819569,1,1000,2794,12040
96673993,1,2000,2824,12040
79093151,1,500,2867,12040
28425641,1,500,2888,12040
77221734,1,2000,2903,12040
28425641,1,500,2907,12040
28425641,1,500,2925,12040
23374822,1,2500,2937,12040
77589042,1,1500,2996,12040
51209364,1,0,3012,12040
25804512,1,2000,3058,12040
28425641,1,500,3105,12040
28425641,1,500,3117,12040
19819569,1,1000,3123,12040
28425641,1,500,3139,12040
25804512,1,2500,3142,12040
79093151,1,3000,3171,12040
19819569,1,1000,3186,12040
72523281,1,2500,3203,12040
32412154,1,1000,3225,12040
95290079,1,1500,3226,12040
32922355,1,2500,3231,12040
86308065,1,3000,3238,12040
22726351,1,2500,3249,12040
28425641,1,500,3254,12040
19819569,1,1500,3277,12040
22726351,1,2500,3279,12040
30003784,1,2000,3309,12040
58357722,1,1500,3327,12040
22726351,1,2500,3342,12040
11723396,1,2000,3345,12040
16133749,1,2000,3364,12040
58357722,1,1500,3369,12040
19819569,1,1500,3380,12040
95290079,1,1500,3401,12040
43581846,1,1500,3413,12040
19819569,1,1500,3427,12040
33071850,1,1000,3444,12040
6456186,1,2000,3490,12040
6456186,1,2000,3506,12040
56511357,1,1500,3508,12040
85360088,1,2500,3514,12040
36488048,1,3500,3533,12040
91599990,1,2500,3540,12040
36374194,1,2000,3553,12040
75282642,1,3500,3553,12040
5023913,1,2000,3557,12040
32412154,1,1000,3566,12040
66538156,1,2500,3571,12040
79093151,1,500,3578,12040
7544903,1,3500,3590,12040
31895428,1,1000,3590,12040
21559768,1,3500,3605,12040
4853279,1,2500,3616,12040
87926431,1,500,3654,12040
19819569,1,1500,3672,12040
58357722,1,1500,3681,12040
99027874,1,2500,3697,12040
44594109,1,3500,3721,12040
25737248,1,2000,3724,12040
43990469,1,3000,3725,12040
51209364,1,500,3729,12040
83488764,1,3000,3756,12040
28425641,1,500,3756,12040
83488764,1,3000,3768,12040
84484364,1,500,3782,12040
5956451,1,500,3783,12040
86308065,1,3000,3785,12040
19819569,1,1500,3789,12040
59066148,1,1000,3790,12040
19819569,1,1500,3817,12040
81783800,1,3000,3837,12040
30003784,1,2000,3852,12040
33071850,1,1000,3881,12040
83488764,1,3000,3914,12040
8345360,1,2000,3926,12040
33071850,1,1000,3930,12040
22701764,1,3000,3932,12040
2673143,1,2500,3937,12040
28425641,1,500,3938,12040
44594109,1,3500,3941,12040
5956451,1,3500,3941,12040
91599990,1,2000,3953,12040
87926431,1,500,3956,12040
72523281,1,2500,3963,12040
28425641,1,500,3983,12040
95290079,1,1500,3984,12040
95290079,1,1500,4010,12040
19819569,1,1500,4042,12040
86308065,1,3500,4049,12040
91962132,1,4000,4062,12040
51209364,1,500,4070,12040
28425641,1,500,4100,12040
83488764,1,3000,4121,12040
3330322,1,4000,4129,12040
16133749,1,2000,4140,12040
98997765,1,1500,4159,12040
18591930,1,2000,4177,12040
40639323,1,4000,4178,12040
44594109,1,3000,4184,12040
95290079,1,1500,4191,12040
19819569,1,1000,4201,12040
93776043,1,1000,4204,12040
83488764,1,3000,4207,12040
72523281,1,2500,4210,12040
91962132,1,4000,4249,12040
14838691,1,4000,4288,12040
58169160,1,2000,4289,12040
19819569,1,1500,4300,12040
7544903,1,3000,4302,12040
17718341,1,4000,4307,12040
85420429,1,2000,4308,12040
18591930,1,2000,4309,12040
4448187,1,1000,4313,12040
80694968,1,2500,4319,12040
68486918,1,1000,4370,12040
11723396,1,2000,4398,12040
75282642,1,3500,4399,12040
44594109,1,3500,4422,12040
7278441,1,2000,4428,12040
22701764,1,3000,4460,12040
22726351,1,2500,4489,12040
58357722,1,1500,4490,12040
95290079,1,1500,4505,12040
19819569,1,1000,4509,12040
28425641,1,500,4550,12040
31508574,1,2000,4559,12040
25804512,1,2500,4561,12040
28425641,1,500,4581,12040
53520052,1,1000,4601,12040
58357722,1,1500,4609,12040
70395304,1,1500,4629,12040
65282171,1,4500,4632,12040
93776043,1,1000,4661,12040
36488048,1,3500,4682,12040
36488048,1,3500,4683,12040
28425641,1,500,4694,12040
22726351,1,2500,4707,12040
79093151,1,3500,4707,12040
30003784,1,2000,4709,12040
53520052,1,4500,4710,12040
95290079,1,1500,4715,12040
4853279,1,2500,4715,12040
91599990,1,2000,4728,12040
95290079,1,1500,4729,12040
66538156,1,3000,4734,12040
5956451,1,3500,4759,12040
7544903,1,3000,4771,12040
2982962,1,2000,4790,12040
33200804,1,1000,4799,12040
16234480,1,500,4802,12040
62524424,1,4500,4804,12040
72523281,1,2500,4843,12040
4448187,1,1000,4874,12040
87926431,1,500,4884,12040
96673993,1,2000,4894,12040
89886461,1,4000,4943,12040
34262661,1,1000,4962,12040
22311271,1,2000,4976,12040
68486918,1,4500,5003,12040
84484364,1,500,5005,12040
62607824,1,1000,5006,12040
86308065,1,3500,5012,12040
61118106,1,4500,5016,12040
63670604,1,2000,5033,12040
73877266,1,4500,5034,12040
95290079,1,1500,5048,12040
4853279,1,2500,5052,12040
28425641,1,500,5055,12040
32747133,1,1000,5059,12040
79093151,1,500,5067,12040
89915804,1,2000,5067,12040
96673993,1,2000,5071,12040
35200765,1,3000,5087,12040
89528679,1,4500,5091,12040
63804775,1,4500,5092,12040
28425641,1,500,5094,12040
28425641,1,500,5106,12040
32747133,1,5000,5115,12040
91599990,1,2500,5164,12040
17442783,1,4500,5168,12040
65282171,1,4500,5183,12040
44594109,1,3500,5187,12040
51799292,1,4000,5190,12040
83488764,1,3000,5192,12040
17442783,1,4000,5205,12040
83488764,1,3000,5216,12040
97064747,1,3500,5217,12040
28425641,1,500,5221,12040
1438364,1,4000,5234,12040
45051218,1,4000,5243,12040
19819569,1,1000,5249,12040
51799292,1,4000,5263,12040
83488764,1,3000,5273,12040
31412746,1,4500,5281,12040
86308065,1,3000,5282,12040
22726351,1,2500,5299,12040
44594109,1,4000,5300,12040
81340523,1,2000,5302,12040
71332311,1,5000,5321,12040
17442783,1,4500,5321,12040
73418408,1,1500,5324,12040
83488764,1,3000,5336,12040
19819569,1,1000,5352,12040
22726351,1,2500,5356,12040
58357722,1,1500,5393,12040
