key,value,type
slideLenMs,123,U64
timeStepUs,50,U64
windowLenMs,10,U64
watermarkTimeMs,600,U64
maxArrivalSkewMs,1000,U64
eventRateKTps,100,U64
keyRange,10,U64
threads,4,U64
Energy,12.3,Double
algo,NPJSingle,String
operator,MSWJ,String
mswjCompensation,0,U64
dataLoader,zipf,String
generateByKV,1,U64
fileDataLoader_rFile,datasets/shunfeng/bo_shunfeng_hislabel/bo_shunfeng_hislabelHighDelay2_short.csv,String
fileDataLoader_sFile,datasets/shunfeng/bo_shunfeng_sell/bo_shunfeng_sellHighDelay1_short.csv,String
zipfDataLoader_zipfEvent,0,U64
zipfDataLoader_zipfSkew,0,U64
zipfDataLoader_zipfKey,0,U64
joinSum,1,U64
