key,value,eventTime,arrivalTime,processedTime
19819569,1,1500,6157,284644
89528679,1,5500,6569,284644
4312958,1,6500,6693,284644
51133312,1,6000,7942,284644
22726351,1,2500,9277,284644
36488048,1,3500,9923,284644
67549101,1,7000,10743,284644
95290079,1,1500,11554,284644
4312958,1,7000,11632,284644
75282642,1,3500,14040,284644
31412746,1,6000,14586,284644
58169160,1,8000,15926,284644
91962132,1,4000,16202,284644
67959054,1,1000,16346,284644
7149962,1,7500,17563,284644
99027874,1,9500,18723,284644
59956325,1,8500,20608,284644
80685420,1,9500,21247,284644
7544903,1,3500,21428,284644
88354479,1,6000,22993,284644
21559768,1,3500,24349,284644
31412746,1,5500,25537,284644
32464878,1,9500,25901,284644
32747133,1,5000,27916,284644
97472415,1,7000,28314,284644
27613627,1,5500,29237,284644
3330322,1,4000,29729,284644
462432,1,6500,29870,284644
65282171,1,4500,30817,284644
43581846,1,7000,32145,284644
85360088,1,10000,33361,284644
51133312,1,7000,34848,284644
25804512,1,2500,36374,284644
79093151,1,3000,37159,284644
40639323,1,4000,39569,284644
94713929,1,6000,41658,284644
19819569,1,1000,41889,284644
4312958,1,7000,44007,284644
95290079,1,1500,45149,284644
53520052,1,4500,46324,284644
67075263,1,8500,46470,284644
45023542,1,8500,46835,284644
19819569,1,1500,47001,284644
44594109,1,3500,47671,284644
50330067,1,7000,47873,284644
86308065,1,3000,50470,284644
85360088,1,9000,51353,284644
62178153,1,6000,52714,284644
91962132,1,4000,53759,284644
92044895,1,8500,53782,284644
45585267,1,2000,55343,284644
73418408,1,1500,55744,284644
34262661,1,1000,56031,284644
95290079,1,1500,56302,284644
58169160,1,8500,56605,284644
72523281,1,2500,56658,284644
12476853,1,9000,57401,284644
50330067,1,7000,58695,284644
25737248,1,9000,58994,284644
28425641,1,500,59234,284644
83752923,1,7000,59478,284644
73418408,1,1500,61055,284644
14838691,1,4000,61538,284644
68817033,1,2000,61641,284644
28425641,1,500,62425,284644
15079656,1,8500,63418,284644
62524424,1,4500,65169,284644
17718341,1,4000,65268,284644
79093151,1,500,66031,284644
85360088,1,10000,67099,284644
71332311,1,5000,69162,284644
85420429,1,9500,70334,284644
32967234,1,9000,70474,284644
57349059,1,6000,71237,284644
28425641,1,500,72459,284644
18004662,1,7000,72574,284644
85360088,1,10000,74909,284644
53520052,1,5500,77565,284644
34262661,1,1000,78268,284644
17668543,1,9000,83461,284644
7278441,1,2000,83808,284644
95290079,1,1500,84475,284644
42568529,1,7500,85707,284644
31133703,1,6000,87294,284644
23374822,1,2500,89867,284644
42568529,1,7500,90088,284644
66489138,1,500,91342,284644
