key,value,eventTime,arrivalTime,processedTime
19819569,1,1500,6157,185143
89528679,1,5500,6569,185143
4312958,1,6500,6693,185143
51133312,1,6000,7942,185143
22726351,1,2500,9277,185143
36488048,1,3500,9923,185143
67549101,1,7000,10743,185143
95290079,1,1500,11554,185143
4312958,1,7000,11632,185143
75282642,1,3500,14040,185143
31412746,1,6000,14586,185143
58169160,1,8000,15926,185143
91962132,1,4000,16202,185143
67959054,1,1000,16346,185143
7149962,1,7500,17563,185143
99027874,1,9500,18723,185143
59956325,1,8500,20608,185143
80685420,1,9500,21247,185143
7544903,1,3500,21428,185143
88354479,1,6000,22993,185143
21559768,1,3500,24349,185143
31412746,1,5500,25537,185143
32464878,1,9500,25901,185143
32747133,1,5000,27916,185143
97472415,1,7000,28314,185143
27613627,1,5500,29237,185143
3330322,1,4000,29729,185143
462432,1,6500,29870,185143
65282171,1,4500,30817,185143
43581846,1,7000,32145,185143
85360088,1,10000,33361,185143
51133312,1,7000,34848,185143
25804512,1,2500,36374,185143
79093151,1,3000,37159,185143
40639323,1,4000,39569,185143
94713929,1,6000,41658,185143
19819569,1,1000,41889,185143
4312958,1,7000,44007,185143
95290079,1,1500,45149,185143
53520052,1,4500,46324,185143
67075263,1,8500,46470,185143
45023542,1,8500,46835,185143
19819569,1,1500,47001,185143
44594109,1,3500,47671,185143
50330067,1,7000,47873,185143
86308065,1,3000,50470,185143
85360088,1,9000,51353,185143
62178153,1,6000,52714,185143
91962132,1,4000,53759,185143
92044895,1,8500,53782,185143
45585267,1,2000,55343,185143
73418408,1,1500,55744,185143
34262661,1,1000,56031,185143
95290079,1,1500,56302,185143
58169160,1,8500,56605,185143
72523281,1,2500,56658,185143
12476853,1,9000,57401,185143
50330067,1,7000,58695,185143
25737248,1,9000,58994,185143
28425641,1,500,59234,185143
83752923,1,7000,59478,185143
73418408,1,1500,61055,185143
14838691,1,4000,61538,185143
68817033,1,2000,61641,185143
28425641,1,500,62425,185143
15079656,1,8500,63418,185143
62524424,1,4500,65169,185143
17718341,1,4000,65268,185143
79093151,1,500,66031,185143
85360088,1,10000,67099,185143
71332311,1,5000,69162,185143
85420429,1,9500,70334,185143
32967234,1,9000,70474,185143
57349059,1,6000,71237,185143
28425641,1,500,72459,185143
18004662,1,7000,72574,185143
85360088,1,10000,74909,185143
53520052,1,5500,77565,185143
34262661,1,1000,78268,185143
17668543,1,9000,83461,185143
7278441,1,2000,83808,185143
95290079,1,1500,84475,185143
42568529,1,7500,85707,185143
31133703,1,6000,87294,185143
23374822,1,2500,89867,185143
42568529,1,7500,90088,185143
66489138,1,500,91342,185143
44594109,1,3500,91556,185143
5956451,1,3500,91625,185143
294203,1,8000,91748,185143
29386080,1,6000,92157,185143
44594109,1,500,92608,185143
35944328,1,9500,94905,185143
85360088,1,10000,96384,185143
53520052,1,5000,97235,185143
11723396,1,6500,98557,185143
