key,value,eventTime,arrivalTime,processedTime
66489138,1,500,794,7061
34808167,1,500,810,7061
68264103,1,500,828,7061
7970409,1,500,860,7061
44139210,1,500,955,7061
87095283,1,500,961,7061
87926431,1,500,1019,7061
57934882,1,500,1072,7061
19819569,1,1000,1077,7061
43581846,1,1000,1205,7061
1296214,1,500,1242,7061
98997765,1,1000,1276,7061
75234615,1,500,1284,7061
44594109,1,500,1339,7061
71683416,1,1000,1387,7061
63670604,1,1500,1524,7061
63804775,1,1000,1549,7061
85420429,1,1500,1551,7061
34262661,1,1000,1553,7061
98887553,1,1000,1614,7061
31895428,1,1000,1626,7061
277782,1,500,1643,7061
6890257,1,1000,1646,7061
25737248,1,1500,1719,7061
32412154,1,1000,1721,7061
81340523,1,1500,1728,7061
30003784,1,1500,1772,7061
5023913,1,1500,1775,7061
43059832,1,500,1791,7061
33071850,1,1000,1793,7061
69395934,1,1500,1798,7061
93776043,1,1000,1802,7061
57934882,1,500,1882,7061
2673143,1,1500,1915,7061
11723396,1,1000,1971,7061
7278441,1,1500,1995,7061
90428799,1,1000,2008,7061
65176735,1,500,2027,7061
2982962,1,1500,2068,7061
16234480,1,1000,2175,7061
79093151,1,500,2193,7061
81783800,1,2000,2267,7061
13334730,1,2000,2299,7061
22610914,1,1500,2308,7061
83752923,1,1500,2360,7061
8345360,1,2000,2410,7061
71956427,1,500,2418,7061
16234480,1,500,2423,7061
67959054,1,1000,2490,7061
85905322,1,1000,2490,7061
59066148,1,1000,2526,7061
83488764,1,2500,2534,7061
57934882,1,500,2556,7061
20588947,1,1000,2636,7061
96673993,1,1500,2667,7061
1379020,1,2500,2670,7061
62607824,1,1000,2730,7061
66489138,1,500,2758,7061
91599990,1,2500,2771,7061
85420429,1,1500,2786,7061
95290079,1,1000,2794,7061
56119285,1,2000,2824,7061
10718755,1,500,2867,7061
28425641,1,500,2888,7061
32922355,1,2000,2903,7061
32227697,1,500,2907,7061
7723149,1,500,2925,7061
35200765,1,2500,2937,7061
91599990,1,1500,2996,7061
51209364,1,0,3012,7061
82934310,1,2000,3058,7061
87886855,1,500,3105,7061
44139210,1,500,3117,7061
85084675,1,1000,3123,7061
64667677,1,500,3139,7061
36488048,1,2500,3142,7061
60557969,1,3000,3171,7061
18305203,1,1000,3186,7061
12476853,1,2500,3203,7061
58357722,1,1000,3225,7061
77221734,1,1500,3226,7061
22726351,1,2500,3231,7061
5956451,1,3000,3238,7061
56219429,1,2500,3249,7061
34438281,1,500,3254,7061
84816354,1,1500,3277,7061
44594109,1,2500,3279,7061
52568071,1,2000,3309,7061
56544477,1,1500,3327,7061
44594109,1,2500,3342,7061
89915804,1,2000,3345,7061
25804512,1,2000,3364,7061
11723396,1,1500,3369,7061
2982962,1,1500,3380,7061
25804512,1,1500,3401,7061
85360088,1,1500,3413,7061
63670604,1,1500,3427,7061
4448187,1,1000,3444,7061
86318703,1,2000,3490,7061
72523281,1,2000,3506,7061
60223762,1,1500,3508,7061
60557969,1,2500,3514,7061
75282642,1,3500,3533,7061
89463455,1,2500,3540,7061
80685420,1,2000,3553,7061
72948369,1,3500,3553,7061
41455539,1,2000,3557,7061
73418408,1,1000,3566,7061
85360088,1,2500,3571,7061
86971226,1,500,3578,7061
73747214,1,3500,3590,7061
19819569,1,1000,3590,7061
76486238,1,3500,3605,7061
45023542,1,2500,3616,7061
32227697,1,500,3654,7061
25323265,1,1500,3672,7061
58169160,1,1500,3681,7061
47024088,1,2500,3697,7061
91962132,1,3500,3721,7061
80685420,1,2000,3724,7061
87095283,1,3000,3725,7061
51209364,1,500,3729,7061
70652512,1,3000,3756,7061
71593141,1,500,3756,7061
29755629,1,3000,3768,7061
84484364,1,500,3782,7061
5956451,1,500,3783,7061
28425641,1,3000,3785,7061
4312958,1,1500,3789,7061
77058654,1,1000,3790,7061
63670604,1,1500,3817,7061
89884176,1,3000,3837,7061
68817033,1,2000,3852,7061
4448187,1,1000,3881,7061
79093151,1,3000,3914,7061
72523281,1,2000,3926,7061
54482435,1,1000,3930,7061
99562230,1,3000,3932,7061
83488764,1,2500,3937,7061
64004616,1,500,3938,7061
17442783,1,3500,3941,7061
70946012,1,3500,3941,7061
91599990,1,2000,3953,7061
32747133,1,500,3956,7061
72523281,1,2500,3963,7061
76795485,1,500,3983,7061
5023913,1,1500,3984,7061
72148074,1,1500,4010,7061
7278441,1,1500,4042,7061
53203639,1,3500,4049,7061
44950042,1,4000,4062,7061
71725719,1,500,4070,7061
82758559,1,500,4100,7061
86308065,1,3000,4121,7061
8281885,1,4000,4129,7061
91599990,1,2000,4140,7061
6456186,1,1500,4159,7061
80694968,1,2000,4177,7061
82311436,1,4000,4178,7061
87095283,1,3000,4184,7061
67134223,1,1500,4191,7061
77589042,1,1000,4201,7061
55042914,1,1000,4204,7061
3053208,1,3000,4207,7061
22701764,1,2500,4210,7061
34577570,1,4000,4249,7061
91962132,1,4000,4288,7061
21362546,1,2000,4289,7061
81340523,1,1500,4300,7061
60557969,1,3000,4302,7061
90692355,1,4000,4307,7061
91599990,1,2000,4308,7061
23374822,1,2000,4309,7061
33200804,1,1000,4313,7061
86308065,1,2500,4319,7061
53520052,1,1000,4370,7061
17668543,1,2000,4398,7061
3887941,1,3500,4399,7061
91962132,1,3500,4422,7061
25804512,1,2000,4428,7061
22701764,1,3000,4460,7061
57061850,1,2500,4489,7061
49840988,1,1500,4490,7061
73079130,1,1500,4505,7061
4448187,1,1000,4509,7061
84484364,1,500,4550,7061
72523281,1,2000,4559,7061
86308065,1,2500,4561,7061
84484364,1,500,4581,7061
89636884,1,1000,4601,7061
6456186,1,1500,4609,7061
72523281,1,1500,4629,7061
89886461,1,4500,4632,7061
4448187,1,1000,4661,7061
