key,value,eventTime,arrivalTime,processedTime
66489138,1,500,794,7051
34808167,1,500,810,7051
68264103,1,500,828,7051
7970409,1,500,860,7051
44139210,1,500,955,7051
87095283,1,500,961,7051
87926431,1,500,1019,7051
57934882,1,500,1072,7051
19819569,1,1000,1077,7051
43581846,1,1000,1205,7051
1296214,1,500,1242,7051
98997765,1,1000,1276,7051
75234615,1,500,1284,7051
44594109,1,500,1339,7051
71683416,1,1000,1387,7051
63670604,1,1500,1524,7051
63804775,1,1000,1549,7051
85420429,1,1500,1551,7051
34262661,1,1000,1553,7051
98887553,1,1000,1614,7051
31895428,1,1000,1626,7051
277782,1,500,1643,7051
6890257,1,1000,1646,7051
25737248,1,1500,1719,7051
32412154,1,1000,1721,7051
81340523,1,1500,1728,7051
30003784,1,1500,1772,7051
5023913,1,1500,1775,7051
43059832,1,500,1791,7051
33071850,1,1000,1793,7051
69395934,1,1500,1798,7051
93776043,1,1000,1802,7051
57934882,1,500,1882,7051
2673143,1,1500,1915,7051
11723396,1,1000,1971,7051
7278441,1,1500,1995,7051
90428799,1,1000,2008,7051
65176735,1,500,2027,7051
2982962,1,1500,2068,7051
16234480,1,1000,2175,7051
79093151,1,500,2193,7051
81783800,1,2000,2267,7051
13334730,1,2000,2299,7051
22610914,1,1500,2308,7051
83752923,1,1500,2360,7051
8345360,1,2000,2410,7051
71956427,1,500,2418,7051
16234480,1,500,2423,7051
67959054,1,1000,2490,7051
85905322,1,1000,2490,7051
59066148,1,1000,2526,7051
83488764,1,2500,2534,7051
57934882,1,500,2556,7051
20588947,1,1000,2636,7051
96673993,1,1500,2667,7051
1379020,1,2500,2670,7051
62607824,1,1000,2730,7051
66489138,1,500,2758,7051
91599990,1,2500,2771,7051
85420429,1,1500,2786,7051
95290079,1,1000,2794,7051
56119285,1,2000,2824,7051
10718755,1,500,2867,7051
28425641,1,500,2888,7051
32922355,1,2000,2903,7051
32227697,1,500,2907,7051
7723149,1,500,2925,7051
35200765,1,2500,2937,7051
91599990,1,1500,2996,7051
51209364,1,0,3012,7051
82934310,1,2000,3058,7051
87886855,1,500,3105,7051
44139210,1,500,3117,7051
85084675,1,1000,3123,7051
64667677,1,500,3139,7051
36488048,1,2500,3142,7051
60557969,1,3000,3171,7051
18305203,1,1000,3186,7051
12476853,1,2500,3203,7051
58357722,1,1000,3225,7051
77221734,1,1500,3226,7051
22726351,1,2500,3231,7051
5956451,1,3000,3238,7051
56219429,1,2500,3249,7051
34438281,1,500,3254,7051
84816354,1,1500,3277,7051
44594109,1,2500,3279,7051
52568071,1,2000,3309,7051
56544477,1,1500,3327,7051
44594109,1,2500,3342,7051
89915804,1,2000,3345,7051
25804512,1,2000,3364,7051
11723396,1,1500,3369,7051
2982962,1,1500,3380,7051
25804512,1,1500,3401,7051
85360088,1,1500,3413,7051
63670604,1,1500,3427,7051
4448187,1,1000,3444,7051
86318703,1,2000,3490,7051
72523281,1,2000,3506,7051
60223762,1,1500,3508,7051
60557969,1,2500,3514,7051
75282642,1,3500,3533,7051
89463455,1,2500,3540,7051
80685420,1,2000,3553,7051
72948369,1,3500,3553,7051
41455539,1,2000,3557,7051
73418408,1,1000,3566,7051
85360088,1,2500,3571,7051
86971226,1,500,3578,7051
73747214,1,3500,3590,7051
19819569,1,1000,3590,7051
76486238,1,3500,3605,7051
45023542,1,2500,3616,7051
32227697,1,500,3654,7051
25323265,1,1500,3672,7051
58169160,1,1500,3681,7051
47024088,1,2500,3697,7051
91962132,1,3500,3721,7051
80685420,1,2000,3724,7051
87095283,1,3000,3725,7051
51209364,1,500,3729,7051
70652512,1,3000,3756,7051
71593141,1,500,3756,7051
29755629,1,3000,3768,7051
84484364,1,500,3782,7051
5956451,1,500,3783,7051
28425641,1,3000,3785,7051
4312958,1,1500,3789,7051
77058654,1,1000,3790,7051
63670604,1,1500,3817,7051
89884176,1,3000,3837,7051
68817033,1,2000,3852,7051
4448187,1,1000,3881,7051
79093151,1,3000,3914,7051
72523281,1,2000,3926,7051
54482435,1,1000,3930,7051
99562230,1,3000,3932,7051
83488764,1,2500,3937,7051
64004616,1,500,3938,7051
17442783,1,3500,3941,7051
70946012,1,3500,3941,7051
91599990,1,2000,3953,7051
32747133,1,500,3956,7051
72523281,1,2500,3963,7051
76795485,1,500,3983,7051
5023913,1,1500,3984,7051
72148074,1,1500,4010,7051
7278441,1,1500,4042,7051
53203639,1,3500,4049,7051
44950042,1,4000,4062,7051
71725719,1,500,4070,7051
82758559,1,500,4100,7051
86308065,1,3000,4121,7051
8281885,1,4000,4129,7051
91599990,1,2000,4140,7051
6456186,1,1500,4159,7051
80694968,1,2000,4177,7051
