key,value,eventTime,arrivalTime,processedTime
66489138,1,500,794,10040
34808167,1,500,810,10040
68264103,1,500,828,10040
7970409,1,500,860,10040
44139210,1,500,955,10040
87095283,1,500,961,10040
87926431,1,500,1019,10040
57934882,1,500,1072,10040
19819569,1,1000,1077,10040
43581846,1,1000,1205,10040
1296214,1,500,1242,10040
98997765,1,1000,1276,10040
75234615,1,500,1284,10040
44594109,1,500,1339,10040
71683416,1,1000,1387,10040
63670604,1,1500,1524,10040
63804775,1,1000,1549,10040
85420429,1,1500,1551,10040
34262661,1,1000,1553,10040
98887553,1,1000,1614,10040
31895428,1,1000,1626,10040
277782,1,500,1643,10040
6890257,1,1000,1646,10040
25737248,1,1500,1719,10040
32412154,1,1000,1721,10040
81340523,1,1500,1728,10040
30003784,1,1500,1772,10040
5023913,1,1500,1775,10040
43059832,1,500,1791,10040
33071850,1,1000,1793,10040
69395934,1,1500,1798,10040
93776043,1,1000,1802,10040
57934882,1,500,1882,10040
2673143,1,1500,1915,10040
11723396,1,1000,1971,10040
7278441,1,1500,1995,10040
90428799,1,1000,2008,10040
65176735,1,500,2027,10040
2982962,1,1500,2068,10040
16234480,1,1000,2175,10040
79093151,1,500,2193,10040
81783800,1,2000,2267,10040
13334730,1,2000,2299,10040
22610914,1,1500,2308,10040
83752923,1,1500,2360,10040
8345360,1,2000,2410,10040
71956427,1,500,2418,10040
16234480,1,500,2423,10040
67959054,1,1000,2490,10040
85905322,1,1000,2490,10040
59066148,1,1000,2526,10040
83488764,1,2500,2534,10040
57934882,1,500,2556,10040
20588947,1,1000,2636,10040
96673993,1,1500,2667,10040
1379020,1,2500,2670,10040
62607824,1,1000,2730,10040
66489138,1,500,2758,10040
91599990,1,2500,2771,10040
85420429,1,1500,2786,10040
95290079,1,1000,2794,10040
56119285,1,2000,2824,10040
10718755,1,500,2867,10040
28425641,1,500,2888,10040
32922355,1,2000,2903,10040
32227697,1,500,2907,10040
7723149,1,500,2925,10040
35200765,1,2500,2937,10040
91599990,1,1500,2996,10040
51209364,1,0,3012,10040
82934310,1,2000,3058,10040
87886855,1,500,3105,10040
44139210,1,500,3117,10040
85084675,1,1000,3123,10040
64667677,1,500,3139,10040
36488048,1,2500,3142,10040
60557969,1,3000,3171,10040
18305203,1,1000,3186,10040
12476853,1,2500,3203,10040
58357722,1,1000,3225,10040
77221734,1,1500,3226,10040
22726351,1,2500,3231,10040
5956451,1,3000,3238,10040
56219429,1,2500,3249,10040
34438281,1,500,3254,10040
84816354,1,1500,3277,10040
44594109,1,2500,3279,10040
52568071,1,2000,3309,10040
56544477,1,1500,3327,10040
44594109,1,2500,3342,10040
89915804,1,2000,3345,10040
25804512,1,2000,3364,10040
11723396,1,1500,3369,10040
2982962,1,1500,3380,10040
25804512,1,1500,3401,10040
85360088,1,1500,3413,10040
63670604,1,1500,3427,10040
4448187,1,1000,3444,10040
86318703,1,2000,3490,10040
72523281,1,2000,3506,10040
60223762,1,1500,3508,10040
60557969,1,2500,3514,10040
75282642,1,3500,3533,10040
89463455,1,2500,3540,10040
80685420,1,2000,3553,10040
72948369,1,3500,3553,10040
41455539,1,2000,3557,10040
73418408,1,1000,3566,10040
85360088,1,2500,3571,10040
86971226,1,500,3578,10040
73747214,1,3500,3590,10040
19819569,1,1000,3590,10040
76486238,1,3500,3605,10040
45023542,1,2500,3616,10040
32227697,1,500,3654,10040
25323265,1,1500,3672,10040
58169160,1,1500,3681,10040
47024088,1,2500,3697,10040
91962132,1,3500,3721,10040
80685420,1,2000,3724,10040
87095283,1,3000,3725,10040
51209364,1,500,3729,10040
70652512,1,3000,3756,10040
71593141,1,500,3756,10040
29755629,1,3000,3768,10040
84484364,1,500,3782,10040
5956451,1,500,3783,10040
28425641,1,3000,3785,10040
4312958,1,1500,3789,10040
77058654,1,1000,3790,10040
63670604,1,1500,3817,10040
89884176,1,3000,3837,10040
68817033,1,2000,3852,10040
4448187,1,1000,3881,10040
79093151,1,3000,3914,10040
72523281,1,2000,3926,10040
54482435,1,1000,3930,10040
99562230,1,3000,3932,10040
83488764,1,2500,3937,10040
64004616,1,500,3938,10040
17442783,1,3500,3941,10040
70946012,1,3500,3941,10040
91599990,1,2000,3953,10040
32747133,1,500,3956,10040
72523281,1,2500,3963,10040
76795485,1,500,3983,10040
5023913,1,1500,3984,10040
72148074,1,1500,4010,10040
7278441,1,1500,4042,10040
53203639,1,3500,4049,10040
44950042,1,4000,4062,10040
71725719,1,500,4070,10040
82758559,1,500,4100,10040
86308065,1,3000,4121,10040
8281885,1,4000,4129,10040
91599990,1,2000,4140,10040
6456186,1,1500,4159,10040
80694968,1,2000,4177,10040
82311436,1,4000,4178,10040
87095283,1,3000,4184,10040
67134223,1,1500,4191,10040
77589042,1,1000,4201,10040
55042914,1,1000,4204,10040
3053208,1,3000,4207,10040
22701764,1,2500,4210,10040
34577570,1,4000,4249,10040
91962132,1,4000,4288,10040
21362546,1,2000,4289,10040
81340523,1,1500,4300,10040
60557969,1,3000,4302,10040
90692355,1,4000,4307,10040
91599990,1,2000,4308,10040
