key,value,eventTime,arrivalTime,processedTime
66489138,1,500,794,12000
34808167,1,500,810,12000
68264103,1,500,828,12000
7970409,1,500,860,12000
44139210,1,500,955,12000
87095283,1,500,961,12000
87926431,1,500,1019,12000
57934882,1,500,1072,12000
19819569,1,1000,1077,12000
43581846,1,1000,1205,12000
1296214,1,500,1242,12000
98997765,1,1000,1276,12000
75234615,1,500,1284,12000
44594109,1,500,1339,12000
71683416,1,1000,1387,12000
63670604,1,1500,1524,12000
63804775,1,1000,1549,12000
85420429,1,1500,1551,12000
34262661,1,1000,1553,12000
98887553,1,1000,1614,12000
31895428,1,1000,1626,12000
277782,1,500,1643,12000
6890257,1,1000,1646,12000
25737248,1,1500,1719,12000
32412154,1,1000,1721,12000
81340523,1,1500,1728,12000
30003784,1,1500,1772,12000
5023913,1,1500,1775,12000
43059832,1,500,1791,12000
33071850,1,1000,1793,12000
69395934,1,1500,1798,12000
93776043,1,1000,1802,12000
57934882,1,500,1882,12000
2673143,1,1500,1915,12000
11723396,1,1000,1971,12000
7278441,1,1500,1995,12000
90428799,1,1000,2008,12000
65176735,1,500,2027,12000
2982962,1,1500,2068,12000
16234480,1,1000,2175,12000
79093151,1,500,2193,12000
81783800,1,2000,2267,12000
13334730,1,2000,2299,12000
22610914,1,1500,2308,12000
83752923,1,1500,2360,12000
8345360,1,2000,2410,12000
71956427,1,500,2418,12000
16234480,1,500,2423,12000
67959054,1,1000,2490,12000
85905322,1,1000,2490,12000
59066148,1,1000,2526,12000
83488764,1,2500,2534,12000
57934882,1,500,2556,12000
20588947,1,1000,2636,12000
96673993,1,1500,2667,12000
1379020,1,2500,2670,12000
62607824,1,1000,2730,12000
66489138,1,500,2758,12000
91599990,1,2500,2771,12000
85420429,1,1500,2786,12000
95290079,1,1000,2794,12000
56119285,1,2000,2824,12000
10718755,1,500,2867,12000
28425641,1,500,2888,12000
32922355,1,2000,2903,12000
32227697,1,500,2907,12000
7723149,1,500,2925,12000
35200765,1,2500,2937,12000
91599990,1,1500,2996,12000
51209364,1,0,3012,12000
82934310,1,2000,3058,12000
87886855,1,500,3105,12000
44139210,1,500,3117,12000
85084675,1,1000,3123,12000
64667677,1,500,3139,12000
36488048,1,2500,3142,12000
60557969,1,3000,3171,12000
18305203,1,1000,3186,12000
12476853,1,2500,3203,12000
58357722,1,1000,3225,12000
77221734,1,1500,3226,12000
22726351,1,2500,3231,12000
5956451,1,3000,3238,12000
56219429,1,2500,3249,12000
34438281,1,500,3254,12000
84816354,1,1500,3277,12000
44594109,1,2500,3279,12000
52568071,1,2000,3309,12000
56544477,1,1500,3327,12000
44594109,1,2500,3342,12000
89915804,1,2000,3345,12000
25804512,1,2000,3364,12000
11723396,1,1500,3369,12000
2982962,1,1500,3380,12000
25804512,1,1500,3401,12000
85360088,1,1500,3413,12000
63670604,1,1500,3427,12000
4448187,1,1000,3444,12000
86318703,1,2000,3490,12000
72523281,1,2000,3506,12000
60223762,1,1500,3508,12000
60557969,1,2500,3514,12000
75282642,1,3500,3533,12000
89463455,1,2500,3540,12000
80685420,1,2000,3553,12000
72948369,1,3500,3553,12000
41455539,1,2000,3557,12000
73418408,1,1000,3566,12000
85360088,1,2500,3571,12000
86971226,1,500,3578,12000
73747214,1,3500,3590,12000
19819569,1,1000,3590,12000
76486238,1,3500,3605,12000
45023542,1,2500,3616,12000
32227697,1,500,3654,12000
25323265,1,1500,3672,12000
58169160,1,1500,3681,12000
