key,value,eventTime,arrivalTime,processedTime
63670604,1,1500,6157,688415
33071850,1,5500,6569,688415
26622236,1,6500,6693,688415
52161111,1,6000,7942,688415
83488764,1,2500,9277,688415
75282642,1,3500,9923,688415
56544477,1,7000,10743,688415
85420429,1,1500,11554,688415
54921975,1,7000,11632,688415
72948369,1,3500,14040,688415
53520052,1,6000,14586,688415
42568529,1,8000,15926,688415
44950042,1,4000,16202,688415
19819569,1,1000,16346,688415
83752923,1,7500,17563,688415
54921975,1,9500,18723,688415
51133312,1,8500,20608,688415
54921975,1,9500,21247,688415
73747214,1,3500,21428,688415
21995918,1,6000,22993,688415
76486238,1,3500,24349,688415
15633768,1,5500,25537,688415
5537834,1,9500,25901,688415
88354479,1,5000,27916,688415
58169160,1,7000,28314,688415
89528679,1,5500,29237,688415
8281885,1,4000,29729,688415
31412746,1,6500,29870,688415
89886461,1,4500,30817,688415
81340523,1,7000,32145,688415
22726351,1,10000,33361,688415
462432,1,7000,34848,688415
1379020,1,2500,36374,688415
60557969,1,3000,37159,688415
82311436,1,4000,39569,688415
87926431,1,6000,41658,688415
43581846,1,1000,41889,688415
4312958,1,7000,44007,688415
25737248,1,1500,45149,688415
16234480,1,4500,46324,688415
84816354,1,8500,46470,688415
50330067,1,8500,46835,688415
81340523,1,1500,47001,688415
91962132,1,3500,47671,688415
60223762,1,7000,47873,688415
5956451,1,3000,50470,688415
43581846,1,9000,51353,688415
8993999,1,6000,52714,688415
34577570,1,4000,53759,688415
50246185,1,8500,53782,688415
81783800,1,2000,55343,688415
30003784,1,1500,55744,688415
98997765,1,1000,56031,688415
5023913,1,1500,56302,688415
43182572,1,8500,56605,688415
91599990,1,2500,56658,688415
60223762,1,9000,57401,688415
26564371,1,7000,58695,688415
58169160,1,9000,58994,688415
66489138,1,500,59234,688415
97747889,1,7000,59478,688415
69395934,1,1500,61055,688415
91962132,1,4000,61538,688415
13334730,1,2000,61641,688415
34808167,1,500,62425,688415
67549101,1,8500,63418,688415
31412746,1,4500,65169,688415
90692355,1,4000,65268,688415
68264103,1,500,66031,688415
23374822,1,10000,67099,688415
29386080,1,5000,69162,688415
15079656,1,9500,70334,688415
81340523,1,9000,70474,688415
99970880,1,6000,71237,688415
7970409,1,500,72459,688415
67549101,1,7000,72574,688415
32464878,1,10000,74909,688415
53520052,1,5500,77565,688415
71683416,1,1000,78268,688415
51133312,1,9000,83461,688415
8345360,1,2000,83808,688415
2673143,1,1500,84475,688415
