key,value,eventTime,arrivalTime,processedTime
63670604,1,1500,6157,585129
33071850,1,5500,6569,585129
26622236,1,6500,6693,585129
52161111,1,6000,7942,585129
83488764,1,2500,9277,585129
75282642,1,3500,9923,585129
56544477,1,7000,10743,585129
85420429,1,1500,11554,585129
54921975,1,7000,11632,585129
72948369,1,3500,14040,585129
53520052,1,6000,14586,585129
42568529,1,8000,15926,585129
44950042,1,4000,16202,585129
19819569,1,1000,16346,585129
83752923,1,7500,17563,585129
54921975,1,9500,18723,585129
51133312,1,8500,20608,585129
54921975,1,9500,21247,585129
73747214,1,3500,21428,585129
21995918,1,6000,22993,585129
76486238,1,3500,24349,585129
15633768,1,5500,25537,585129
5537834,1,9500,25901,585129
88354479,1,5000,27916,585129
58169160,1,7000,28314,585129
89528679,1,5500,29237,585129
8281885,1,4000,29729,585129
31412746,1,6500,29870,585129
89886461,1,4500,30817,585129
81340523,1,7000,32145,585129
22726351,1,10000,33361,585129
462432,1,7000,34848,585129
1379020,1,2500,36374,585129
60557969,1,3000,37159,585129
82311436,1,4000,39569,585129
87926431,1,6000,41658,585129
43581846,1,1000,41889,585129
4312958,1,7000,44007,585129
25737248,1,1500,45149,585129
16234480,1,4500,46324,585129
84816354,1,8500,46470,585129
50330067,1,8500,46835,585129
81340523,1,1500,47001,585129
91962132,1,3500,47671,585129
60223762,1,7000,47873,585129
5956451,1,3000,50470,585129
43581846,1,9000,51353,585129
8993999,1,6000,52714,585129
34577570,1,4000,53759,585129
50246185,1,8500,53782,585129
81783800,1,2000,55343,585129
30003784,1,1500,55744,585129
98997765,1,1000,56031,585129
5023913,1,1500,56302,585129
43182572,1,8500,56605,585129
91599990,1,2500,56658,585129
60223762,1,9000,57401,585129
26564371,1,7000,58695,585129
58169160,1,9000,58994,585129
66489138,1,500,59234,585129
97747889,1,7000,59478,585129
69395934,1,1500,61055,585129
91962132,1,4000,61538,585129
13334730,1,2000,61641,585129
34808167,1,500,62425,585129
67549101,1,8500,63418,585129
31412746,1,4500,65169,585129
90692355,1,4000,65268,585129
68264103,1,500,66031,585129
23374822,1,10000,67099,585129
29386080,1,5000,69162,585129
15079656,1,9500,70334,585129
81340523,1,9000,70474,585129
99970880,1,6000,71237,585129
7970409,1,500,72459,585129
67549101,1,7000,72574,585129
32464878,1,10000,74909,585129
53520052,1,5500,77565,585129
71683416,1,1000,78268,585129
51133312,1,9000,83461,585129
8345360,1,2000,83808,585129
2673143,1,1500,84475,585129
83752923,1,7500,85707,585129
52161111,1,6000,87294,585129
35200765,1,2500,89867,585129
43581846,1,7500,90088,585129
44139210,1,500,91342,585129
17442783,1,3500,91556,585129
70946012,1,3500,91625,585129
58169160,1,8000,91748,585129
31133703,1,6000,92157,585129
87095283,1,500,92608,585129
4439928,1,9500,94905,585129
85360088,1,10000,96384,585129
95670526,1,5000,97235,585129
62178153,1,6500,98557,585129
97747889,1,9500,100362,585129
7278441,1,1500,100423,585129
63670604,1,8000,100785,585129
93885641,1,6000,101771,585129
29386080,1,6000,102386,585129
87926431,1,500,104299,585129
53520052,1,4500,105059,585129
2982962,1,9000,105359,585129
54779257,1,10000,106400,585129
4158865,1,4500,107644,585129
75881404,1,6500,109278,585129
63804775,1,1000,110785,585129
53520052,1,5000,111166,585129
52161111,1,4500,111289,585129
34262661,1,1000,111426,585129
57934882,1,6000,112674,585129
53203639,1,3500,113228,585129
57934882,1,500,114868,585129
2982962,1,1500,114987,585129
7278441,1,9500,118853,585129
67571357,1,6000,121014,585129
57934882,1,4500,122650,585129
53520052,1,4500,122709,585129
98887553,1,1000,123707,585129
43581846,1,9000,123888,585129
6890257,1,9000,125317,585129
29386080,1,5000,126006,585129
31895428,1,1000,126111,585129
13749309,1,10000,126345,585129
31412746,1,5000,127123,585129
69395934,1,7500,127161,585129
54770126,1,5000,130033,585129
6890257,1,1000,130184,585129
95837972,1,8500,130223,585129
50330067,1,8000,130387,585129
41125719,1,9500,130509,585129
58169160,1,7500,130655,585129
36488048,1,2500,130891,585129
57934882,1,5000,132409,585129
