key,value,eventTime,arrivalTime,processedTime
66489138,1,500,794,12008
34808167,1,500,810,12008
68264103,1,500,828,12008
7970409,1,500,860,12008
44139210,1,500,955,12008
87095283,1,500,961,12008
87926431,1,500,1019,12008
57934882,1,500,1072,12008
19819569,1,1000,1077,12008
43581846,1,1000,1205,12008
1296214,1,500,1242,12008
98997765,1,1000,1276,12008
75234615,1,500,1284,12008
44594109,1,500,1339,12008
71683416,1,1000,1387,12008
63670604,1,1500,1524,12008
63804775,1,1000,1549,12008
85420429,1,1500,1551,12008
34262661,1,1000,1553,12008
98887553,1,1000,1614,12008
31895428,1,1000,1626,12008
277782,1,500,1643,12008
6890257,1,1000,1646,12008
25737248,1,1500,1719,12008
32412154,1,1000,1721,12008
81340523,1,1500,1728,12008
30003784,1,1500,1772,12008
5023913,1,1500,1775,12008
43059832,1,500,1791,12008
33071850,1,1000,1793,12008
69395934,1,1500,1798,12008
93776043,1,1000,1802,12008
57934882,1,500,1882,12008
2673143,1,1500,1915,12008
11723396,1,1000,1971,12008
7278441,1,1500,1995,12008
90428799,1,1000,2008,12008
65176735,1,500,2027,12008
2982962,1,1500,2068,12008
16234480,1,1000,2175,12008
79093151,1,500,2193,12008
81783800,1,2000,2267,12008
13334730,1,2000,2299,12008
22610914,1,1500,2308,12008
83752923,1,1500,2360,12008
8345360,1,2000,2410,12008
71956427,1,500,2418,12008
16234480,1,500,2423,12008
67959054,1,1000,2490,12008
85905322,1,1000,2490,12008
59066148,1,1000,2526,12008
83488764,1,2500,2534,12008
57934882,1,500,2556,12008
20588947,1,1000,2636,12008
96673993,1,1500,2667,12008
1379020,1,2500,2670,12008
62607824,1,1000,2730,12008
66489138,1,500,2758,12008
91599990,1,2500,2771,12008
85420429,1,1500,2786,12008
95290079,1,1000,2794,12008
56119285,1,2000,2824,12008
10718755,1,500,2867,12008
28425641,1,500,2888,12008
32922355,1,2000,2903,12008
32227697,1,500,2907,12008
7723149,1,500,2925,12008
35200765,1,2500,2937,12008
91599990,1,1500,2996,12008
51209364,1,0,3012,12008
82934310,1,2000,3058,12008
87886855,1,500,3105,12008
44139210,1,500,3117,12008
85084675,1,1000,3123,12008
64667677,1,500,3139,12008
36488048,1,2500,3142,12008
60557969,1,3000,3171,12008
18305203,1,1000,3186,12008
12476853,1,2500,3203,12008
58357722,1,1000,3225,12008
77221734,1,1500,3226,12008
22726351,1,2500,3231,12008
5956451,1,3000,3238,12008
56219429,1,2500,3249,12008
34438281,1,500,3254,12008
84816354,1,1500,3277,12008
44594109,1,2500,3279,12008
52568071,1,2000,3309,12008
56544477,1,1500,3327,12008
44594109,1,2500,3342,12008
89915804,1,2000,3345,12008
25804512,1,2000,3364,12008
11723396,1,1500,3369,12008
2982962,1,1500,3380,12008
25804512,1,1500,3401,12008
85360088,1,1500,3413,12008
63670604,1,1500,3427,12008
4448187,1,1000,3444,12008
86318703,1,2000,3490,12008
72523281,1,2000,3506,12008
60223762,1,1500,3508,12008
60557969,1,2500,3514,12008
75282642,1,3500,3533,12008
89463455,1,2500,3540,12008
80685420,1,2000,3553,12008
72948369,1,3500,3553,12008
41455539,1,2000,3557,12008
73418408,1,1000,3566,12008
85360088,1,2500,3571,12008
86971226,1,500,3578,12008
73747214,1,3500,3590,12008
19819569,1,1000,3590,12008
76486238,1,3500,3605,12008
45023542,1,2500,3616,12008
32227697,1,500,3654,12008
25323265,1,1500,3672,12008
58169160,1,1500,3681,12008
47024088,1,2500,3697,12008
91962132,1,3500,3721,12008
80685420,1,2000,3724,12008
87095283,1,3000,3725,12008
51209364,1,500,3729,12008
70652512,1,3000,3756,12008
71593141,1,500,3756,12008
29755629,1,3000,3768,12008
84484364,1,500,3782,12008
5956451,1,500,3783,12008
28425641,1,3000,3785,12008
4312958,1,1500,3789,12008
77058654,1,1000,3790,12008
63670604,1,1500,3817,12008
89884176,1,3000,3837,12008
68817033,1,2000,3852,12008
4448187,1,1000,3881,12008
79093151,1,3000,3914,12008
72523281,1,2000,3926,12008
54482435,1,1000,3930,12008
99562230,1,3000,3932,12008
83488764,1,2500,3937,12008
64004616,1,500,3938,12008
17442783,1,3500,3941,12008
70946012,1,3500,3941,12008
91599990,1,2000,3953,12008
32747133,1,500,3956,12008
72523281,1,2500,3963,12008
76795485,1,500,3983,12008
5023913,1,1500,3984,12008
72148074,1,1500,4010,12008
7278441,1,1500,4042,12008
53203639,1,3500,4049,12008
44950042,1,4000,4062,12008
71725719,1,500,4070,12008
82758559,1,500,4100,12008
86308065,1,3000,4121,12008
8281885,1,4000,4129,12008
91599990,1,2000,4140,12008
6456186,1,1500,4159,12008
80694968,1,2000,4177,12008
82311436,1,4000,4178,12008
87095283,1,3000,4184,12008
67134223,1,1500,4191,12008
77589042,1,1000,4201,12008
55042914,1,1000,4204,12008
3053208,1,3000,4207,12008
22701764,1,2500,4210,12008
34577570,1,4000,4249,12008
91962132,1,4000,4288,12008
21362546,1,2000,4289,12008
81340523,1,1500,4300,12008
60557969,1,3000,4302,12008
90692355,1,4000,4307,12008
91599990,1,2000,4308,12008
23374822,1,2000,4309,12008
33200804,1,1000,4313,12008
86308065,1,2500,4319,12008
53520052,1,1000,4370,12008
17668543,1,2000,4398,12008
3887941,1,3500,4399,12008
91962132,1,3500,4422,12008
25804512,1,2000,4428,12008
22701764,1,3000,4460,12008
57061850,1,2500,4489,12008
49840988,1,1500,4490,12008
73079130,1,1500,4505,12008
4448187,1,1000,4509,12008
84484364,1,500,4550,12008
72523281,1,2000,4559,12008
86308065,1,2500,4561,12008
84484364,1,500,4581,12008
89636884,1,1000,4601,12008
6456186,1,1500,4609,12008
72523281,1,1500,4629,12008
89886461,1,4500,4632,12008
4448187,1,1000,4661,12008
5956451,1,3500,4682,12008
75282642,1,3500,4683,12008
61517939,1,500,4694,12008
22701764,1,2500,4707,12008
44594109,1,3500,4707,12008
50705689,1,2000,4709,12008
16234480,1,4500,4710,12008
16133749,1,1500,4715,12008
66538156,1,2500,4715,12008
22726351,1,2000,4728,12008
72523281,1,1500,4729,12008
55928577,1,3000,4734,12008
27983087,1,3500,4759,12008
3225441,1,3000,4771,12008
23374822,1,2000,4790,12008
66049973,1,1000,4799,12008
99048844,1,500,4802,12008
31412746,1,4500,4804,12008
81783800,1,2500,4843,12008
15983979,1,1000,4874,12008
11683730,1,500,4884,12008
5023913,1,2000,4894,12008
8281885,1,4000,4943,12008
77058654,1,1000,4962,12008
5023913,1,2000,4976,12008
53520052,1,4500,5003,12008
44594109,1,500,5005,12008
56511357,1,1000,5006,12008
70327277,1,3500,5012,12008
4158865,1,4500,5016,12008
99275943,1,2000,5033,12008
52161111,1,4500,5034,12008
70395304,1,1500,5048,12008
21362546,1,2500,5052,12008
50362556,1,500,5055,12008
68486918,1,1000,5059,12008
79093151,1,500,5067,12008
4853279,1,2000,5067,12008
99027874,1,2000,5071,12008
79093151,1,3000,5087,12008
57934882,1,4500,5091,12008
53520052,1,4500,5092,12008
99970880,1,500,5094,12008
79479896,1,500,5106,12008
88354479,1,5000,5115,12008
22726351,1,2500,5164,12008
82311436,1,4500,5168,12008
63804775,1,4500,5183,12008
99584774,1,3500,5187,12008
17442783,1,4000,5190,12008
43059832,1,3000,5192,12008
43994260,1,4000,5205,12008
54381700,1,3000,5216,12008
57006,1,3500,5217,12008
21863909,1,500,5221,12008
89886461,1,4000,5234,12008
88000019,1,4000,5243,12008
85084675,1,1000,5249,12008
49758877,1,4000,5263,12008
43059832,1,3000,5273,12008
95670526,1,4500,5281,12008
70327277,1,3000,5282,12008
83999598,1,2500,5299,12008
51799292,1,4000,5300,12008
45585267,1,2000,5302,12008
29386080,1,5000,5321,12008
44950042,1,4500,5321,12008
34451729,1,1500,5324,12008
97339803,1,3000,5336,12008
95290079,1,1000,5352,12008
76040889,1,2500,5356,12008
22311271,1,1500,5393,12008
65282171,1,4000,5398,12008
79093151,1,3000,5416,12008
2673143,1,2500,5419,12008
92228386,1,4000,5421,12008
81783800,1,2000,5434,12008
9928127,1,2000,5442,12008
31412746,1,4500,5456,12008
95670526,1,5000,5462,12008
57934882,1,4500,5466,12008
40639323,1,3500,5496,12008
33071850,1,5500,5506,12008
97064747,1,3000,5515,12008
78434081,1,3500,5520,12008
38757022,1,1500,5524,12008
53520052,1,5000,5531,12008
81783800,1,2000,5532,12008
53520052,1,4500,5547,12008
33071850,1,1000,5557,12008
88354479,1,4500,5589,12008
92634603,1,4500,5594,12008
15633768,1,5500,5601,12008
29386080,1,5000,5606,12008
31412746,1,5000,5611,12008
89528679,1,5500,5619,12008
54770126,1,5000,5626,12008
73877266,1,4000,5632,12008
57934882,1,5000,5638,12008
68817033,1,2000,5641,12008
21554478,1,4000,5652,12008
277782,1,4500,5662,12008
46289212,1,4500,5679,12008
92634603,1,4000,5689,12008
53203639,1,4500,5689,12008
33949432,1,4000,5691,12008
7544903,1,3000,5723,12008
34438281,1,4500,5728,12008
75282642,1,3500,5741,12008
69395934,1,1500,5750,12008
51799292,1,4000,5772,12008
77589042,1,1000,5798,12008
54882876,1,3500,5812,12008
70395304,1,1000,5824,12008
83752923,1,1500,5841,12008
54381700,1,3500,5847,12008
53520052,1,5500,5861,12008
57006,1,3500,5870,12008
83488764,1,2500,5879,12008
19819569,1,1000,5880,12008
7970409,1,2500,5887,12008
2705413,1,2500,5887,12008
89886461,1,3500,5917,12008
7544903,1,3000,5917,12008
99275943,1,2000,5920,12008
60557969,1,3000,5923,12008
67549101,1,1000,5933,12008
92735016,1,2000,5949,12008
70106168,1,4500,5949,12008
55042840,1,4500,5970,12008
68486918,1,4500,5978,12008
1296214,1,1000,5995,12008
6456186,1,1500,6002,12008
36374194,1,1500,6004,12008
52161111,1,6000,6010,12008
82934310,1,2500,6031,12008
57006,1,4000,6033,12008
53520052,1,6000,6043,12008
7544903,1,2500,6043,12008
34438281,1,4500,6076,12008
54882876,1,3500,6079,12008
21995918,1,6000,6085,12008
4853279,1,1500,6097,12008
50467325,1,3000,6106,12008
31412746,1,5500,6141,12008
54921975,1,1500,6151,12008
1438364,1,3500,6165,12008
15633768,1,4500,6174,12008
87926431,1,6000,6179,12008
46289212,1,5500,6202,12008
86308065,1,2500,6203,12008
57934882,1,5500,6203,12008
25804512,1,2000,6208,12008
37667269,1,3000,6221,12008
16234480,1,4500,6232,12008
8993999,1,6000,6234,12008
66538156,1,2000,6242,12008
27605310,1,3000,6250,12008
46289212,1,5500,6317,12008
99970880,1,6000,6327,12008
68486918,1,5000,6337,12008
82725136,1,5000,6347,12008
4647267,1,2500,6350,12008
2673143,1,2000,6355,12008
5023913,1,2500,6357,12008
36812488,1,2000,6370,12008
57934882,1,5500,6382,12008
18591930,1,2000,6403,12008
52161111,1,6000,6407,12008
3628,1,5000,6408,12008
79093151,1,3000,6410,12008
31508574,1,2000,6415,12008
17718341,1,3500,6420,12008
31133703,1,6000,6431,12008
29386080,1,5000,6458,12008
93885641,1,6000,6479,12008
29386080,1,6000,6482,12008
36488048,1,2500,6496,12008
26622236,1,6500,6501,12008
41009277,1,5000,6506,12008
65325847,1,4500,6519,12008
35089198,1,4000,6530,12008
27613627,1,5500,6531,12008
57934882,1,6000,6534,12008
40639323,1,4000,6555,12008
51799292,1,3500,6564,12008
67571357,1,6000,6576,12008
89886461,1,3500,6601,12008
91599990,1,2000,6615,12008
31412746,1,6500,6617,12008
51120765,1,3000,6621,12008
79093151,1,2500,6623,12008
3887941,1,3500,6632,12008
36488048,1,3000,6634,12008
99283724,1,4000,6636,12008
72948369,1,4000,6654,12008
63604024,1,5500,6660,12008
34438281,1,5000,6664,12008
88354479,1,4500,6673,12008
35200765,1,3000,6678,12008
51799292,1,3500,6702,12008
