key,value,eventTime,arrivalTime,processedTime
66489138,1,500,794,6048
34808167,1,500,810,6048
68264103,1,500,828,6048
7970409,1,500,860,6048
44139210,1,500,955,6048
87095283,1,500,961,6048
87926431,1,500,1019,6048
57934882,1,500,1072,6048
19819569,1,1000,1077,6048
43581846,1,1000,1205,6048
1296214,1,500,1242,6048
98997765,1,1000,1276,6048
75234615,1,500,1284,6048
44594109,1,500,1339,6048
71683416,1,1000,1387,6048
63670604,1,1500,1524,6048
63804775,1,1000,1549,6048
85420429,1,1500,1551,6048
34262661,1,1000,1553,6048
98887553,1,1000,1614,6048
31895428,1,1000,1626,6048
277782,1,500,1643,6048
6890257,1,1000,1646,6048
25737248,1,1500,1719,6048
32412154,1,1000,1721,6048
81340523,1,1500,1728,6048
30003784,1,1500,1772,6048
5023913,1,1500,1775,6048
43059832,1,500,1791,6048
33071850,1,1000,1793,6048
69395934,1,1500,1798,6048
93776043,1,1000,1802,6048
57934882,1,500,1882,6048
2673143,1,1500,1915,6048
11723396,1,1000,1971,6048
7278441,1,1500,1995,6048
90428799,1,1000,2008,6048
65176735,1,500,2027,6048
2982962,1,1500,2068,6048
16234480,1,1000,2175,6048
79093151,1,500,2193,6048
81783800,1,2000,2267,6048
13334730,1,2000,2299,6048
22610914,1,1500,2308,6048
83752923,1,1500,2360,6048
8345360,1,2000,2410,6048
71956427,1,500,2418,6048
16234480,1,500,2423,6048
67959054,1,1000,2490,6048
85905322,1,1000,2490,6048
59066148,1,1000,2526,6048
83488764,1,2500,2534,6048
57934882,1,500,2556,6048
20588947,1,1000,2636,6048
96673993,1,1500,2667,6048
1379020,1,2500,2670,6048
62607824,1,1000,2730,6048
66489138,1,500,2758,6048
91599990,1,2500,2771,6048
85420429,1,1500,2786,6048
95290079,1,1000,2794,6048
56119285,1,2000,2824,6048
10718755,1,500,2867,6048
28425641,1,500,2888,6048
32922355,1,2000,2903,6048
32227697,1,500,2907,6048
7723149,1,500,2925,6048
35200765,1,2500,2937,6048
91599990,1,1500,2996,6048
51209364,1,0,3012,6048
82934310,1,2000,3058,6048
87886855,1,500,3105,6048
44139210,1,500,3117,6048
85084675,1,1000,3123,6048
64667677,1,500,3139,6048
36488048,1,2500,3142,6048
60557969,1,3000,3171,6048
18305203,1,1000,3186,6048
12476853,1,2500,3203,6048
58357722,1,1000,3225,6048
77221734,1,1500,3226,6048
22726351,1,2500,3231,6048
5956451,1,3000,3238,6048
56219429,1,2500,3249,6048
34438281,1,500,3254,6048
84816354,1,1500,3277,6048
44594109,1,2500,3279,6048
52568071,1,2000,3309,6048
56544477,1,1500,3327,6048
44594109,1,2500,3342,6048
89915804,1,2000,3345,6048
25804512,1,2000,3364,6048
11723396,1,1500,3369,6048
2982962,1,1500,3380,6048
25804512,1,1500,3401,6048
85360088,1,1500,3413,6048
63670604,1,1500,3427,6048
4448187,1,1000,3444,6048
86318703,1,2000,3490,6048
72523281,1,2000,3506,6048
60223762,1,1500,3508,6048
60557969,1,2500,3514,6048
75282642,1,3500,3533,6048
89463455,1,2500,3540,6048
80685420,1,2000,3553,6048
72948369,1,3500,3553,6048
41455539,1,2000,3557,6048
73418408,1,1000,3566,6048
85360088,1,2500,3571,6048
86971226,1,500,3578,6048
73747214,1,3500,3590,6048
19819569,1,1000,3590,6048
76486238,1,3500,3605,6048
45023542,1,2500,3616,6048
32227697,1,500,3654,6048
25323265,1,1500,3672,6048
58169160,1,1500,3681,6048
47024088,1,2500,3697,6048
91962132,1,3500,3721,6048
80685420,1,2000,3724,6048
87095283,1,3000,3725,6048
51209364,1,500,3729,6048
70652512,1,3000,3756,6048
71593141,1,500,3756,6048
29755629,1,3000,3768,6048
84484364,1,500,3782,6048
5956451,1,500,3783,6048
28425641,1,3000,3785,6048
4312958,1,1500,3789,6048
77058654,1,1000,3790,6048
63670604,1,1500,3817,6048
89884176,1,3000,3837,6048
68817033,1,2000,3852,6048
4448187,1,1000,3881,6048
79093151,1,3000,3914,6048
72523281,1,2000,3926,6048
54482435,1,1000,3930,6048
99562230,1,3000,3932,6048
83488764,1,2500,3937,6048
64004616,1,500,3938,6048
17442783,1,3500,3941,6048
70946012,1,3500,3941,6048
91599990,1,2000,3953,6048
32747133,1,500,3956,6048
72523281,1,2500,3963,6048
76795485,1,500,3983,6048
5023913,1,1500,3984,6048
72148074,1,1500,4010,6048
7278441,1,1500,4042,6048
53203639,1,3500,4049,6048
44950042,1,4000,4062,6048
71725719,1,500,4070,6048
82758559,1,500,4100,6048
86308065,1,3000,4121,6048
8281885,1,4000,4129,6048
91599990,1,2000,4140,6048
6456186,1,1500,4159,6048
80694968,1,2000,4177,6048
82311436,1,4000,4178,6048
87095283,1,3000,4184,6048
67134223,1,1500,4191,6048
77589042,1,1000,4201,6048
55042914,1,1000,4204,6048
3053208,1,3000,4207,6048
22701764,1,2500,4210,6048
34577570,1,4000,4249,6048
91962132,1,4000,4288,6048
21362546,1,2000,4289,6048
81340523,1,1500,4300,6048
60557969,1,3000,4302,6048
90692355,1,4000,4307,6048
91599990,1,2000,4308,6048
23374822,1,2000,4309,6048
33200804,1,1000,4313,6048
86308065,1,2500,4319,6048
53520052,1,1000,4370,6048
17668543,1,2000,4398,6048
3887941,1,3500,4399,6048
91962132,1,3500,4422,6048
25804512,1,2000,4428,6048
22701764,1,3000,4460,6048
57061850,1,2500,4489,6048
49840988,1,1500,4490,6048
73079130,1,1500,4505,6048
4448187,1,1000,4509,6048
84484364,1,500,4550,6048
72523281,1,2000,4559,6048
86308065,1,2500,4561,6048
84484364,1,500,4581,6048
89636884,1,1000,4601,6048
6456186,1,1500,4609,6048
72523281,1,1500,4629,6048
89886461,1,4500,4632,6048
4448187,1,1000,4661,6048
5956451,1,3500,4682,6048
75282642,1,3500,4683,6048
61517939,1,500,4694,6048
22701764,1,2500,4707,6048
44594109,1,3500,4707,6048
50705689,1,2000,4709,6048
16234480,1,4500,4710,6048
16133749,1,1500,4715,6048
66538156,1,2500,4715,6048
22726351,1,2000,4728,6048
72523281,1,1500,4729,6048
55928577,1,3000,4734,6048
27983087,1,3500,4759,6048
3225441,1,3000,4771,6048
23374822,1,2000,4790,6048
66049973,1,1000,4799,6048
99048844,1,500,4802,6048
31412746,1,4500,4804,6048
81783800,1,2500,4843,6048
15983979,1,1000,4874,6048
11683730,1,500,4884,6048
5023913,1,2000,4894,6048
8281885,1,4000,4943,6048
77058654,1,1000,4962,6048
5023913,1,2000,4976,6048
53520052,1,4500,5003,6048
44594109,1,500,5005,6048
