key,value,eventTime,arrivalTime,processedTime
63670604,1,1500,6157,280695
33071850,1,5500,6569,280695
26622236,1,6500,6693,280695
52161111,1,6000,7942,280695
83488764,1,2500,9277,280695
75282642,1,3500,9923,280695
56544477,1,7000,10743,280695
85420429,1,1500,11554,280695
54921975,1,7000,11632,280695
72948369,1,3500,14040,280695
53520052,1,6000,14586,280695
42568529,1,8000,15926,280695
44950042,1,4000,16202,280695
19819569,1,1000,16346,280695
83752923,1,7500,17563,280695
54921975,1,9500,18723,280695
51133312,1,8500,20608,280695
54921975,1,9500,21247,280695
73747214,1,3500,21428,280695
21995918,1,6000,22993,280695
76486238,1,3500,24349,280695
15633768,1,5500,25537,280695
5537834,1,9500,25901,280695
88354479,1,5000,27916,280695
58169160,1,7000,28314,280695
89528679,1,5500,29237,280695
8281885,1,4000,29729,280695
31412746,1,6500,29870,280695
89886461,1,4500,30817,280695
81340523,1,7000,32145,280695
22726351,1,10000,33361,280695
462432,1,7000,34848,280695
1379020,1,2500,36374,280695
60557969,1,3000,37159,280695
82311436,1,4000,39569,280695
87926431,1,6000,41658,280695
43581846,1,1000,41889,280695
4312958,1,7000,44007,280695
25737248,1,1500,45149,280695
16234480,1,4500,46324,280695
84816354,1,8500,46470,280695
50330067,1,8500,46835,280695
81340523,1,1500,47001,280695
91962132,1,3500,47671,280695
60223762,1,7000,47873,280695
5956451,1,3000,50470,280695
43581846,1,9000,51353,280695
8993999,1,6000,52714,280695
34577570,1,4000,53759,280695
50246185,1,8500,53782,280695
81783800,1,2000,55343,280695
30003784,1,1500,55744,280695
98997765,1,1000,56031,280695
5023913,1,1500,56302,280695
43182572,1,8500,56605,280695
91599990,1,2500,56658,280695
60223762,1,9000,57401,280695
26564371,1,7000,58695,280695
58169160,1,9000,58994,280695
66489138,1,500,59234,280695
97747889,1,7000,59478,280695
69395934,1,1500,61055,280695
91962132,1,4000,61538,280695
13334730,1,2000,61641,280695
34808167,1,500,62425,280695
67549101,1,8500,63418,280695
31412746,1,4500,65169,280695
90692355,1,4000,65268,280695
68264103,1,500,66031,280695
23374822,1,10000,67099,280695
29386080,1,5000,69162,280695
15079656,1,9500,70334,280695
81340523,1,9000,70474,280695
99970880,1,6000,71237,280695
7970409,1,500,72459,280695
67549101,1,7000,72574,280695
32464878,1,10000,74909,280695
53520052,1,5500,77565,280695
71683416,1,1000,78268,280695
51133312,1,9000,83461,280695
8345360,1,2000,83808,280695
2673143,1,1500,84475,280695
83752923,1,7500,85707,280695
52161111,1,6000,87294,280695
35200765,1,2500,89867,280695
43581846,1,7500,90088,280695
44139210,1,500,91342,280695
17442783,1,3500,91556,280695
70946012,1,3500,91625,280695
58169160,1,8000,91748,280695
31133703,1,6000,92157,280695
87095283,1,500,92608,280695
4439928,1,9500,94905,280695
85360088,1,10000,96384,280695
95670526,1,5000,97235,280695
62178153,1,6500,98557,280695
97747889,1,9500,100362,280695
