key,value,eventTime,arrivalTime,processedTime
63670604,1,1500,6157,100071
33071850,1,5500,6569,100071
26622236,1,6500,6693,100071
52161111,1,6000,7942,100071
83488764,1,2500,9277,100071
75282642,1,3500,9923,100071
56544477,1,7000,10743,100071
85420429,1,1500,11554,100071
54921975,1,7000,11632,100071
72948369,1,3500,14040,100071
53520052,1,6000,14586,100071
42568529,1,8000,15926,100071
44950042,1,4000,16202,100071
19819569,1,1000,16346,100071
83752923,1,7500,17563,100071
54921975,1,9500,18723,100071
51133312,1,8500,20608,100071
54921975,1,9500,21247,100071
73747214,1,3500,21428,100071
21995918,1,6000,22993,100071
76486238,1,3500,24349,100071
15633768,1,5500,25537,100071
5537834,1,9500,25901,100071
88354479,1,5000,27916,100071
58169160,1,7000,28314,100071
89528679,1,5500,29237,100071
8281885,1,4000,29729,100071
31412746,1,6500,29870,100071
89886461,1,4500,30817,100071
81340523,1,7000,32145,100071
22726351,1,10000,33361,100071
462432,1,7000,34848,100071
1379020,1,2500,36374,100071
60557969,1,3000,37159,100071
82311436,1,4000,39569,100071
87926431,1,6000,41658,100071
43581846,1,1000,41889,100071
4312958,1,7000,44007,100071
25737248,1,1500,45149,100071
16234480,1,4500,46324,100071
84816354,1,8500,46470,100071
50330067,1,8500,46835,100071
81340523,1,1500,47001,100071
91962132,1,3500,47671,100071
60223762,1,7000,47873,100071
5956451,1,3000,50470,100071
43581846,1,9000,51353,100071
8993999,1,6000,52714,100071
34577570,1,4000,53759,100071
50246185,1,8500,53782,100071
81783800,1,2000,55343,100071
30003784,1,1500,55744,100071
98997765,1,1000,56031,100071
5023913,1,1500,56302,100071
43182572,1,8500,56605,100071
91599990,1,2500,56658,100071
60223762,1,9000,57401,100071
26564371,1,7000,58695,100071
58169160,1,9000,58994,100071
66489138,1,500,59234,100071
97747889,1,7000,59478,100071
69395934,1,1500,61055,100071
91962132,1,4000,61538,100071
13334730,1,2000,61641,100071
34808167,1,500,62425,100071
67549101,1,8500,63418,100071
31412746,1,4500,65169,100071
90692355,1,4000,65268,100071
68264103,1,500,66031,100071
23374822,1,10000,67099,100071
29386080,1,5000,69162,100071
15079656,1,9500,70334,100071
81340523,1,9000,70474,100071
99970880,1,6000,71237,100071
7970409,1,500,72459,100071
67549101,1,7000,72574,100071
32464878,1,10000,74909,100071
53520052,1,5500,77565,100071
71683416,1,1000,78268,100071
51133312,1,9000,83461,100071
8345360,1,2000,83808,100071
2673143,1,1500,84475,100071
83752923,1,7500,85707,100071
52161111,1,6000,87294,100071
35200765,1,2500,89867,100071
43581846,1,7500,90088,100071
44139210,1,500,91342,100071
17442783,1,3500,91556,100071
70946012,1,3500,91625,100071
58169160,1,8000,91748,100071
31133703,1,6000,92157,100071
87095283,1,500,92608,100071
4439928,1,9500,94905,100071
85360088,1,10000,96384,100071
95670526,1,5000,97235,100071
62178153,1,6500,98557,100071
