key,value,eventTime,arrivalTime,processedTime
63670604,1,1500,6157,602127
33071850,1,5500,6569,602127
26622236,1,6500,6693,602127
52161111,1,6000,7942,602127
83488764,1,2500,9277,602127
75282642,1,3500,9923,602127
56544477,1,7000,10743,602127
85420429,1,1500,11554,602127
54921975,1,7000,11632,602127
72948369,1,3500,14040,602127
53520052,1,6000,14586,602127
42568529,1,8000,15926,602127
44950042,1,4000,16202,602127
19819569,1,1000,16346,602127
83752923,1,7500,17563,602127
54921975,1,9500,18723,602127
51133312,1,8500,20608,602127
54921975,1,9500,21247,602127
73747214,1,3500,21428,602127
21995918,1,6000,22993,602127
76486238,1,3500,24349,602127
15633768,1,5500,25537,602127
5537834,1,9500,25901,602127
88354479,1,5000,27916,602127
58169160,1,7000,28314,602127
89528679,1,5500,29237,602127
8281885,1,4000,29729,602127
31412746,1,6500,29870,602127
89886461,1,4500,30817,602127
81340523,1,7000,32145,602127
22726351,1,10000,33361,602127
462432,1,7000,34848,602127
1379020,1,2500,36374,602127
60557969,1,3000,37159,602127
82311436,1,4000,39569,602127
87926431,1,6000,41658,602127
43581846,1,1000,41889,602127
4312958,1,7000,44007,602127
25737248,1,1500,45149,602127
16234480,1,4500,46324,602127
84816354,1,8500,46470,602127
50330067,1,8500,46835,602127
81340523,1,1500,47001,602127
91962132,1,3500,47671,602127
60223762,1,7000,47873,602127
5956451,1,3000,50470,602127
43581846,1,9000,51353,602127
8993999,1,6000,52714,602127
34577570,1,4000,53759,602127
50246185,1,8500,53782,602127
81783800,1,2000,55343,602127
30003784,1,1500,55744,602127
98997765,1,1000,56031,602127
5023913,1,1500,56302,602127
43182572,1,8500,56605,602127
91599990,1,2500,56658,602127
60223762,1,9000,57401,602127
26564371,1,7000,58695,602127
58169160,1,9000,58994,602127
66489138,1,500,59234,602127
97747889,1,7000,59478,602127
69395934,1,1500,61055,602127
91962132,1,4000,61538,602127
13334730,1,2000,61641,602127
34808167,1,500,62425,602127
67549101,1,8500,63418,602127
31412746,1,4500,65169,602127
90692355,1,4000,65268,602127
68264103,1,500,66031,602127
23374822,1,10000,67099,602127
29386080,1,5000,69162,602127
15079656,1,9500,70334,602127
81340523,1,9000,70474,602127
99970880,1,6000,71237,602127
7970409,1,500,72459,602127
67549101,1,7000,72574,602127
32464878,1,10000,74909,602127
53520052,1,5500,77565,602127
71683416,1,1000,78268,602127
51133312,1,9000,83461,602127
8345360,1,2000,83808,602127
2673143,1,1500,84475,602127
