key,value,eventTime,arrivalTime,processedTime
66489138,1,500,794,7063
34808167,1,500,810,7063
68264103,1,500,828,7063
7970409,1,500,860,7063
44139210,1,500,955,7063
87095283,1,500,961,7063
87926431,1,500,1019,7063
57934882,1,500,1072,7063
19819569,1,1000,1077,7063
43581846,1,1000,1205,7063
1296214,1,500,1242,7063
98997765,1,1000,1276,7063
75234615,1,500,1284,7063
44594109,1,500,1339,7063
71683416,1,1000,1387,7063
63670604,1,1500,1524,7063
63804775,1,1000,1549,7063
85420429,1,1500,1551,7063
34262661,1,1000,1553,7063
98887553,1,1000,1614,7063
31895428,1,1000,1626,7063
277782,1,500,1643,7063
6890257,1,1000,1646,7063
25737248,1,1500,1719,7063
32412154,1,1000,1721,7063
81340523,1,1500,1728,7063
30003784,1,1500,1772,7063
5023913,1,1500,1775,7063
43059832,1,500,1791,7063
33071850,1,1000,1793,7063
69395934,1,1500,1798,7063
93776043,1,1000,1802,7063
57934882,1,500,1882,7063
2673143,1,1500,1915,7063
11723396,1,1000,1971,7063
7278441,1,1500,1995,7063
90428799,1,1000,2008,7063
65176735,1,500,2027,7063
2982962,1,1500,2068,7063
16234480,1,1000,2175,7063
79093151,1,500,2193,7063
81783800,1,2000,2267,7063
13334730,1,2000,2299,7063
22610914,1,1500,2308,7063
83752923,1,1500,2360,7063
8345360,1,2000,2410,7063
71956427,1,500,2418,7063
16234480,1,500,2423,7063
67959054,1,1000,2490,7063
85905322,1,1000,2490,7063
59066148,1,1000,2526,7063
83488764,1,2500,2534,7063
57934882,1,500,2556,7063
20588947,1,1000,2636,7063
96673993,1,1500,2667,7063
1379020,1,2500,2670,7063
62607824,1,1000,2730,7063
66489138,1,500,2758,7063
91599990,1,2500,2771,7063
85420429,1,1500,2786,7063
95290079,1,1000,2794,7063
56119285,1,2000,2824,7063
10718755,1,500,2867,7063
28425641,1,500,2888,7063
32922355,1,2000,2903,7063
32227697,1,500,2907,7063
7723149,1,500,2925,7063
35200765,1,2500,2937,7063
91599990,1,1500,2996,7063
51209364,1,0,3012,7063
82934310,1,2000,3058,7063
87886855,1,500,3105,7063
44139210,1,500,3117,7063
85084675,1,1000,3123,7063
64667677,1,500,3139,7063
36488048,1,2500,3142,7063
60557969,1,3000,3171,7063
18305203,1,1000,3186,7063
12476853,1,2500,3203,7063
58357722,1,1000,3225,7063
77221734,1,1500,3226,7063
22726351,1,2500,3231,7063
5956451,1,3000,3238,7063
56219429,1,2500,3249,7063
34438281,1,500,3254,7063
84816354,1,1500,3277,7063
44594109,1,2500,3279,7063
52568071,1,2000,3309,7063
56544477,1,1500,3327,7063
44594109,1,2500,3342,7063
89915804,1,2000,3345,7063
25804512,1,2000,3364,7063
11723396,1,1500,3369,7063
2982962,1,1500,3380,7063
25804512,1,1500,3401,7063
85360088,1,1500,3413,7063
63670604,1,1500,3427,7063
4448187,1,1000,3444,7063
86318703,1,2000,3490,7063
72523281,1,2000,3506,7063
60223762,1,1500,3508,7063
60557969,1,2500,3514,7063
75282642,1,3500,3533,7063
89463455,1,2500,3540,7063
80685420,1,2000,3553,7063
72948369,1,3500,3553,7063
41455539,1,2000,3557,7063
73418408,1,1000,3566,7063
85360088,1,2500,3571,7063
86971226,1,500,3578,7063
73747214,1,3500,3590,7063
19819569,1,1000,3590,7063
76486238,1,3500,3605,7063
45023542,1,2500,3616,7063
32227697,1,500,3654,7063
25323265,1,1500,3672,7063
58169160,1,1500,3681,7063
47024088,1,2500,3697,7063
91962132,1,3500,3721,7063
80685420,1,2000,3724,7063
87095283,1,3000,3725,7063
51209364,1,500,3729,7063
70652512,1,3000,3756,7063
71593141,1,500,3756,7063
29755629,1,3000,3768,7063
84484364,1,500,3782,7063
5956451,1,500,3783,7063
28425641,1,3000,3785,7063
4312958,1,1500,3789,7063
77058654,1,1000,3790,7063
63670604,1,1500,3817,7063
89884176,1,3000,3837,7063
68817033,1,2000,3852,7063
4448187,1,1000,3881,7063
79093151,1,3000,3914,7063
72523281,1,2000,3926,7063
54482435,1,1000,3930,7063
99562230,1,3000,3932,7063
83488764,1,2500,3937,7063
64004616,1,500,3938,7063
17442783,1,3500,3941,7063
70946012,1,3500,3941,7063
91599990,1,2000,3953,7063
32747133,1,500,3956,7063
72523281,1,2500,3963,7063
76795485,1,500,3983,7063
5023913,1,1500,3984,7063
72148074,1,1500,4010,7063
7278441,1,1500,4042,7063
53203639,1,3500,4049,7063
44950042,1,4000,4062,7063
71725719,1,500,4070,7063
82758559,1,500,4100,7063
86308065,1,3000,4121,7063
8281885,1,4000,4129,7063
91599990,1,2000,4140,7063
6456186,1,1500,4159,7063
80694968,1,2000,4177,7063
82311436,1,4000,4178,7063
87095283,1,3000,4184,7063
67134223,1,1500,4191,7063
77589042,1,1000,4201,7063
55042914,1,1000,4204,7063
3053208,1,3000,4207,7063
22701764,1,2500,4210,7063
34577570,1,4000,4249,7063
91962132,1,4000,4288,7063
21362546,1,2000,4289,7063
81340523,1,1500,4300,7063
60557969,1,3000,4302,7063
90692355,1,4000,4307,7063
91599990,1,2000,4308,7063
23374822,1,2000,4309,7063
33200804,1,1000,4313,7063
86308065,1,2500,4319,7063
53520052,1,1000,4370,7063
17668543,1,2000,4398,7063
3887941,1,3500,4399,7063
91962132,1,3500,4422,7063
25804512,1,2000,4428,7063
22701764,1,3000,4460,7063
57061850,1,2500,4489,7063
49840988,1,1500,4490,7063
73079130,1,1500,4505,7063
4448187,1,1000,4509,7063
84484364,1,500,4550,7063
72523281,1,2000,4559,7063
86308065,1,2500,4561,7063
84484364,1,500,4581,7063
