key,value,eventTime,arrivalTime,processedTime
66489138,1,500,794,9056
34808167,1,500,810,9056
68264103,1,500,828,9056
7970409,1,500,860,9056
44139210,1,500,955,9056
87095283,1,500,961,9056
87926431,1,500,1019,9056
57934882,1,500,1072,9056
19819569,1,1000,1077,9056
43581846,1,1000,1205,9056
1296214,1,500,1242,9056
98997765,1,1000,1276,9056
75234615,1,500,1284,9056
44594109,1,500,1339,9056
71683416,1,1000,1387,9056
63670604,1,1500,1524,9056
63804775,1,1000,1549,9056
85420429,1,1500,1551,9056
34262661,1,1000,1553,9056
98887553,1,1000,1614,9056
31895428,1,1000,1626,9056
277782,1,500,1643,9056
6890257,1,1000,1646,9056
25737248,1,1500,1719,9056
32412154,1,1000,1721,9056
81340523,1,1500,1728,9056
30003784,1,1500,1772,9056
5023913,1,1500,1775,9056
43059832,1,500,1791,9056
33071850,1,1000,1793,9056
69395934,1,1500,1798,9056
93776043,1,1000,1802,9056
57934882,1,500,1882,9056
2673143,1,1500,1915,9056
11723396,1,1000,1971,9056
7278441,1,1500,1995,9056
90428799,1,1000,2008,9056
65176735,1,500,2027,9056
2982962,1,1500,2068,9056
16234480,1,1000,2175,9056
79093151,1,500,2193,9056
81783800,1,2000,2267,9056
13334730,1,2000,2299,9056
22610914,1,1500,2308,9056
83752923,1,1500,2360,9056
8345360,1,2000,2410,9056
71956427,1,500,2418,9056
16234480,1,500,2423,9056
67959054,1,1000,2490,9056
85905322,1,1000,2490,9056
59066148,1,1000,2526,9056
83488764,1,2500,2534,9056
57934882,1,500,2556,9056
20588947,1,1000,2636,9056
96673993,1,1500,2667,9056
1379020,1,2500,2670,9056
62607824,1,1000,2730,9056
66489138,1,500,2758,9056
91599990,1,2500,2771,9056
85420429,1,1500,2786,9056
95290079,1,1000,2794,9056
56119285,1,2000,2824,9056
10718755,1,500,2867,9056
28425641,1,500,2888,9056
32922355,1,2000,2903,9056
32227697,1,500,2907,9056
7723149,1,500,2925,9056
35200765,1,2500,2937,9056
91599990,1,1500,2996,9056
51209364,1,0,3012,9056
82934310,1,2000,3058,9056
87886855,1,500,3105,9056
44139210,1,500,3117,9056
85084675,1,1000,3123,9056
64667677,1,500,3139,9056
36488048,1,2500,3142,9056
60557969,1,3000,3171,9056
18305203,1,1000,3186,9056
12476853,1,2500,3203,9056
58357722,1,1000,3225,9056
77221734,1,1500,3226,9056
22726351,1,2500,3231,9056
5956451,1,3000,3238,9056
56219429,1,2500,3249,9056
34438281,1,500,3254,9056
84816354,1,1500,3277,9056
44594109,1,2500,3279,9056
52568071,1,2000,3309,9056
56544477,1,1500,3327,9056
44594109,1,2500,3342,9056
89915804,1,2000,3345,9056
25804512,1,2000,3364,9056
11723396,1,1500,3369,9056
2982962,1,1500,3380,9056
25804512,1,1500,3401,9056
85360088,1,1500,3413,9056
63670604,1,1500,3427,9056
4448187,1,1000,3444,9056
86318703,1,2000,3490,9056
72523281,1,2000,3506,9056
60223762,1,1500,3508,9056
60557969,1,2500,3514,9056
75282642,1,3500,3533,9056
89463455,1,2500,3540,9056
80685420,1,2000,3553,9056
72948369,1,3500,3553,9056
41455539,1,2000,3557,9056
73418408,1,1000,3566,9056
85360088,1,2500,3571,9056
86971226,1,500,3578,9056
73747214,1,3500,3590,9056
19819569,1,1000,3590,9056
76486238,1,3500,3605,9056
45023542,1,2500,3616,9056
32227697,1,500,3654,9056
25323265,1,1500,3672,9056
58169160,1,1500,3681,9056
47024088,1,2500,3697,9056
91962132,1,3500,3721,9056
80685420,1,2000,3724,9056
87095283,1,3000,3725,9056
51209364,1,500,3729,9056
70652512,1,3000,3756,9056
71593141,1,500,3756,9056
29755629,1,3000,3768,9056
84484364,1,500,3782,9056
5956451,1,500,3783,9056
28425641,1,3000,3785,9056
4312958,1,1500,3789,9056
77058654,1,1000,3790,9056
63670604,1,1500,3817,9056
89884176,1,3000,3837,9056
68817033,1,2000,3852,9056
4448187,1,1000,3881,9056
79093151,1,3000,3914,9056
72523281,1,2000,3926,9056
54482435,1,1000,3930,9056
99562230,1,3000,3932,9056
83488764,1,2500,3937,9056
64004616,1,500,3938,9056
17442783,1,3500,3941,9056
70946012,1,3500,3941,9056
91599990,1,2000,3953,9056
32747133,1,500,3956,9056
72523281,1,2500,3963,9056
76795485,1,500,3983,9056
5023913,1,1500,3984,9056
72148074,1,1500,4010,9056
7278441,1,1500,4042,9056
53203639,1,3500,4049,9056
44950042,1,4000,4062,9056
71725719,1,500,4070,9056
82758559,1,500,4100,9056
86308065,1,3000,4121,9056
8281885,1,4000,4129,9056
91599990,1,2000,4140,9056
6456186,1,1500,4159,9056
80694968,1,2000,4177,9056
82311436,1,4000,4178,9056
87095283,1,3000,4184,9056
67134223,1,1500,4191,9056
77589042,1,1000,4201,9056
55042914,1,1000,4204,9056
3053208,1,3000,4207,9056
22701764,1,2500,4210,9056
34577570,1,4000,4249,9056
91962132,1,4000,4288,9056
21362546,1,2000,4289,9056
81340523,1,1500,4300,9056
60557969,1,3000,4302,9056
90692355,1,4000,4307,9056
91599990,1,2000,4308,9056
23374822,1,2000,4309,9056
33200804,1,1000,4313,9056
86308065,1,2500,4319,9056
53520052,1,1000,4370,9056
17668543,1,2000,4398,9056
3887941,1,3500,4399,9056
91962132,1,3500,4422,9056
25804512,1,2000,4428,9056
22701764,1,3000,4460,9056
57061850,1,2500,4489,9056
49840988,1,1500,4490,9056
73079130,1,1500,4505,9056
4448187,1,1000,4509,9056
84484364,1,500,4550,9056
72523281,1,2000,4559,9056
86308065,1,2500,4561,9056
84484364,1,500,4581,9056
89636884,1,1000,4601,9056
6456186,1,1500,4609,9056
72523281,1,1500,4629,9056
89886461,1,4500,4632,9056
4448187,1,1000,4661,9056
5956451,1,3500,4682,9056
75282642,1,3500,4683,9056
61517939,1,500,4694,9056
22701764,1,2500,4707,9056
44594109,1,3500,4707,9056
50705689,1,2000,4709,9056
16234480,1,4500,4710,9056
16133749,1,1500,4715,9056
66538156,1,2500,4715,9056
22726351,1,2000,4728,9056
72523281,1,1500,4729,9056
55928577,1,3000,4734,9056
27983087,1,3500,4759,9056
3225441,1,3000,4771,9056
23374822,1,2000,4790,9056
66049973,1,1000,4799,9056
99048844,1,500,4802,9056
31412746,1,4500,4804,9056
81783800,1,2500,4843,9056
15983979,1,1000,4874,9056
11683730,1,500,4884,9056
5023913,1,2000,4894,9056
8281885,1,4000,4943,9056
77058654,1,1000,4962,9056
5023913,1,2000,4976,9056
53520052,1,4500,5003,9056
44594109,1,500,5005,9056
56511357,1,1000,5006,9056
70327277,1,3500,5012,9056
4158865,1,4500,5016,9056
99275943,1,2000,5033,9056
52161111,1,4500,5034,9056
70395304,1,1500,5048,9056
21362546,1,2500,5052,9056
50362556,1,500,5055,9056
68486918,1,1000,5059,9056
79093151,1,500,5067,9056
4853279,1,2000,5067,9056
99027874,1,2000,5071,9056
79093151,1,3000,5087,9056
57934882,1,4500,5091,9056
53520052,1,4500,5092,9056
99970880,1,500,5094,9056
79479896,1,500,5106,9056
88354479,1,5000,5115,9056
22726351,1,2500,5164,9056
82311436,1,4500,5168,9056
63804775,1,4500,5183,9056
99584774,1,3500,5187,9056
17442783,1,4000,5190,9056
43059832,1,3000,5192,9056
43994260,1,4000,5205,9056
54381700,1,3000,5216,9056
57006,1,3500,5217,9056
21863909,1,500,5221,9056
89886461,1,4000,5234,9056
88000019,1,4000,5243,9056
85084675,1,1000,5249,9056
49758877,1,4000,5263,9056
43059832,1,3000,5273,9056
95670526,1,4500,5281,9056
70327277,1,3000,5282,9056
83999598,1,2500,5299,9056
51799292,1,4000,5300,9056
45585267,1,2000,5302,9056
29386080,1,5000,5321,9056
44950042,1,4500,5321,9056
34451729,1,1500,5324,9056
97339803,1,3000,5336,9056
95290079,1,1000,5352,9056
76040889,1,2500,5356,9056
22311271,1,1500,5393,9056
65282171,1,4000,5398,9056
79093151,1,3000,5416,9056
2673143,1,2500,5419,9056
92228386,1,4000,5421,9056
81783800,1,2000,5434,9056
9928127,1,2000,5442,9056
31412746,1,4500,5456,9056
95670526,1,5000,5462,9056
57934882,1,4500,5466,9056
40639323,1,3500,5496,9056
33071850,1,5500,5506,9056
97064747,1,3000,5515,9056
78434081,1,3500,5520,9056
38757022,1,1500,5524,9056
53520052,1,5000,5531,9056
81783800,1,2000,5532,9056
53520052,1,4500,5547,9056
33071850,1,1000,5557,9056
88354479,1,4500,5589,9056
92634603,1,4500,5594,9056
15633768,1,5500,5601,9056
29386080,1,5000,5606,9056
