key,value,eventTime,arrivalTime,processedTime
66489138,1,500,794,5039
34808167,1,500,810,5039
68264103,1,500,828,5039
7970409,1,500,860,5039
44139210,1,500,955,5039
87095283,1,500,961,5039
87926431,1,500,1019,5039
57934882,1,500,1072,5039
19819569,1,1000,1077,5039
43581846,1,1000,1205,5039
1296214,1,500,1242,5039
98997765,1,1000,1276,5039
75234615,1,500,1284,5039
44594109,1,500,1339,5039
71683416,1,1000,1387,5039
63670604,1,1500,1524,5039
63804775,1,1000,1549,5039
85420429,1,1500,1551,5039
34262661,1,1000,1553,5039
98887553,1,1000,1614,5039
31895428,1,1000,1626,5039
277782,1,500,1643,5039
6890257,1,1000,1646,5039
25737248,1,1500,1719,5039
32412154,1,1000,1721,5039
81340523,1,1500,1728,5039
30003784,1,1500,1772,5039
5023913,1,1500,1775,5039
43059832,1,500,1791,5039
33071850,1,1000,1793,5039
69395934,1,1500,1798,5039
93776043,1,1000,1802,5039
57934882,1,500,1882,5039
2673143,1,1500,1915,5039
11723396,1,1000,1971,5039
7278441,1,1500,1995,5039
90428799,1,1000,2008,5039
65176735,1,500,2027,5039
2982962,1,1500,2068,5039
16234480,1,1000,2175,5039
79093151,1,500,2193,5039
81783800,1,2000,2267,5039
13334730,1,2000,2299,5039
22610914,1,1500,2308,5039
83752923,1,1500,2360,5039
8345360,1,2000,2410,5039
71956427,1,500,2418,5039
16234480,1,500,2423,5039
67959054,1,1000,2490,5039
85905322,1,1000,2490,5039
59066148,1,1000,2526,5039
83488764,1,2500,2534,5039
57934882,1,500,2556,5039
20588947,1,1000,2636,5039
96673993,1,1500,2667,5039
1379020,1,2500,2670,5039
62607824,1,1000,2730,5039
66489138,1,500,2758,5039
91599990,1,2500,2771,5039
85420429,1,1500,2786,5039
95290079,1,1000,2794,5039
56119285,1,2000,2824,5039
10718755,1,500,2867,5039
28425641,1,500,2888,5039
32922355,1,2000,2903,5039
32227697,1,500,2907,5039
7723149,1,500,2925,5039
35200765,1,2500,2937,5039
91599990,1,1500,2996,5039
51209364,1,0,3012,5039
82934310,1,2000,3058,5039
87886855,1,500,3105,5039
44139210,1,500,3117,5039
85084675,1,1000,3123,5039
64667677,1,500,3139,5039
36488048,1,2500,3142,5039
60557969,1,3000,3171,5039
18305203,1,1000,3186,5039
12476853,1,2500,3203,5039
58357722,1,1000,3225,5039
77221734,1,1500,3226,5039
22726351,1,2500,3231,5039
5956451,1,3000,3238,5039
56219429,1,2500,3249,5039
34438281,1,500,3254,5039
84816354,1,1500,3277,5039
44594109,1,2500,3279,5039
52568071,1,2000,3309,5039
