key,value,eventTime,arrivalTime,processedTime
66489138,1,500,794,14561
34808167,1,500,810,14561
68264103,1,500,828,14561
7970409,1,500,860,14561
44139210,1,500,955,14561
87095283,1,500,961,14561
87926431,1,500,1019,14561
57934882,1,500,1072,14561
19819569,1,1000,1077,14561
43581846,1,1000,1205,14561
1296214,1,500,1242,14561
98997765,1,1000,1276,14561
75234615,1,500,1284,14561
44594109,1,500,1339,14561
71683416,1,1000,1387,14561
63670604,1,1500,1524,14561
63804775,1,1000,1549,14561
85420429,1,1500,1551,14561
34262661,1,1000,1553,14561
98887553,1,1000,1614,14561
31895428,1,1000,1626,14561
277782,1,500,1643,14561
6890257,1,1000,1646,14561
25737248,1,1500,1719,14561
32412154,1,1000,1721,14561
81340523,1,1500,1728,14561
30003784,1,1500,1772,14561
5023913,1,1500,1775,14561
43059832,1,500,1791,14561
33071850,1,1000,1793,14561
69395934,1,1500,1798,14561
93776043,1,1000,1802,14561
57934882,1,500,1882,14561
2673143,1,1500,1915,14561
11723396,1,1000,1971,14561
7278441,1,1500,1995,14561
90428799,1,1000,2008,14561
65176735,1,500,2027,14561
2982962,1,1500,2068,14561
16234480,1,1000,2175,14561
79093151,1,500,2193,14561
81783800,1,2000,2267,14561
13334730,1,2000,2299,14561
22610914,1,1500,2308,14561
83752923,1,1500,2360,14561
8345360,1,2000,2410,14561
71956427,1,500,2418,14561
16234480,1,500,2423,14561
67959054,1,1000,2490,14561
85905322,1,1000,2490,14561
59066148,1,1000,2526,14561
83488764,1,2500,2534,14561
57934882,1,500,2556,14561
20588947,1,1000,2636,14561
96673993,1,1500,2667,14561
1379020,1,2500,2670,14561
62607824,1,1000,2730,14561
66489138,1,500,2758,14561
91599990,1,2500,2771,14561
85420429,1,1500,2786,14561
95290079,1,1000,2794,14561
56119285,1,2000,2824,14561
10718755,1,500,2867,14561
28425641,1,500,2888,14561
32922355,1,2000,2903,14561
32227697,1,500,2907,14561
7723149,1,500,2925,14561
35200765,1,2500,2937,14561
91599990,1,1500,2996,14561
51209364,1,0,3012,14561
82934310,1,2000,3058,14561
87886855,1,500,3105,14561
