key,value,eventTime,arrivalTime,processedTime
66489138,1,500,794,16620
34808167,1,500,810,16620
68264103,1,500,828,16620
7970409,1,500,860,16620
44139210,1,500,955,16620
87095283,1,500,961,16620
87926431,1,500,1019,16620
57934882,1,500,1072,16620
19819569,1,1000,1077,16620
43581846,1,1000,1205,16620
1296214,1,500,1242,16620
98997765,1,1000,1276,16620
75234615,1,500,1284,16620
44594109,1,500,1339,16620
71683416,1,1000,1387,16620
63670604,1,1500,1524,16620
63804775,1,1000,1549,16620
85420429,1,1500,1551,16620
34262661,1,1000,1553,16620
98887553,1,1000,1614,16620
31895428,1,1000,1626,16620
277782,1,500,1643,16620
6890257,1,1000,1646,16620
25737248,1,1500,1719,16620
32412154,1,1000,1721,16620
81340523,1,1500,1728,16620
30003784,1,1500,1772,16620
5023913,1,1500,1775,16620
43059832,1,500,1791,16620
33071850,1,1000,1793,16620
69395934,1,1500,1798,16620
93776043,1,1000,1802,16620
57934882,1,500,1882,16620
2673143,1,1500,1915,16620
11723396,1,1000,1971,16620
7278441,1,1500,1995,16620
90428799,1,1000,2008,16620
65176735,1,500,2027,16620
2982962,1,1500,2068,16620
16234480,1,1000,2175,16620
79093151,1,500,2193,16620
81783800,1,2000,2267,16620
13334730,1,2000,2299,16620
22610914,1,1500,2308,16620
83752923,1,1500,2360,16620
8345360,1,2000,2410,16620
71956427,1,500,2418,16620
16234480,1,500,2423,16620
67959054,1,1000,2490,16620
85905322,1,1000,2490,16620
59066148,1,1000,2526,16620
83488764,1,2500,2534,16620
57934882,1,500,2556,16620
20588947,1,1000,2636,16620
96673993,1,1500,2667,16620
1379020,1,2500,2670,16620
62607824,1,1000,2730,16620
66489138,1,500,2758,16620
91599990,1,2500,2771,16620
85420429,1,1500,2786,16620
95290079,1,1000,2794,16620
56119285,1,2000,2824,16620
10718755,1,500,2867,16620
28425641,1,500,2888,16620
32922355,1,2000,2903,16620
32227697,1,500,2907,16620
7723149,1,500,2925,16620
35200765,1,2500,2937,16620
91599990,1,1500,2996,16620
51209364,1,0,3012,16620
82934310,1,2000,3058,16620
87886855,1,500,3105,16620
44139210,1,500,3117,16620
85084675,1,1000,3123,16620
64667677,1,500,3139,16620
36488048,1,2500,3142,16620
60557969,1,3000,3171,16620
18305203,1,1000,3186,16620
12476853,1,2500,3203,16620
58357722,1,1000,3225,16620
77221734,1,1500,3226,16620
22726351,1,2500,3231,16620
5956451,1,3000,3238,16620
56219429,1,2500,3249,16620
34438281,1,500,3254,16620
84816354,1,1500,3277,16620
44594109,1,2500,3279,16620
52568071,1,2000,3309,16620
56544477,1,1500,3327,16620
44594109,1,2500,3342,16620
89915804,1,2000,3345,16620
25804512,1,2000,3364,16620
11723396,1,1500,3369,16620
2982962,1,1500,3380,16620
25804512,1,1500,3401,16620
85360088,1,1500,3413,16620
63670604,1,1500,3427,16620
4448187,1,1000,3444,16620
86318703,1,2000,3490,16620
