key,value,eventTime,arrivalTime,processedTime
66489138,1,500,794,12297
34808167,1,500,810,12297
68264103,1,500,828,12297
7970409,1,500,860,12297
44139210,1,500,955,12297
87095283,1,500,961,12297
87926431,1,500,1019,12297
57934882,1,500,1072,12297
19819569,1,1000,1077,12297
43581846,1,1000,1205,12297
1296214,1,500,1242,12297
98997765,1,1000,1276,12297
75234615,1,500,1284,12297
44594109,1,500,1339,12297
71683416,1,1000,1387,12297
63670604,1,1500,1524,12297
63804775,1,1000,1549,12297
85420429,1,1500,1551,12297
34262661,1,1000,1553,12297
98887553,1,1000,1614,12297
31895428,1,1000,1626,12297
277782,1,500,1643,12297
6890257,1,1000,1646,12297
25737248,1,1500,1719,12297
32412154,1,1000,1721,12297
81340523,1,1500,1728,12297
30003784,1,1500,1772,12297
5023913,1,1500,1775,12297
43059832,1,500,1791,12297
33071850,1,1000,1793,12297
69395934,1,1500,1798,12297
93776043,1,1000,1802,12297
57934882,1,500,1882,12297
2673143,1,1500,1915,12297
11723396,1,1000,1971,12297
7278441,1,1500,1995,12297
90428799,1,1000,2008,12297
65176735,1,500,2027,12297
2982962,1,1500,2068,12297
16234480,1,1000,2175,12297
79093151,1,500,2193,12297
81783800,1,2000,2267,12297
13334730,1,2000,2299,12297
22610914,1,1500,2308,12297
83752923,1,1500,2360,12297
8345360,1,2000,2410,12297
71956427,1,500,2418,12297
16234480,1,500,2423,12297
67959054,1,1000,2490,12297
85905322,1,1000,2490,12297
59066148,1,1000,2526,12297
83488764,1,2500,2534,12297
57934882,1,500,2556,12297
20588947,1,1000,2636,12297
96673993,1,1500,2667,12297
1379020,1,2500,2670,12297
62607824,1,1000,2730,12297
66489138,1,500,2758,12297
91599990,1,2500,2771,12297
85420429,1,1500,2786,12297
95290079,1,1000,2794,12297
56119285,1,2000,2824,12297
10718755,1,500,2867,12297
28425641,1,500,2888,12297
32922355,1,2000,2903,12297
32227697,1,500,2907,12297
7723149,1,500,2925,12297
35200765,1,2500,2937,12297
91599990,1,1500,2996,12297
51209364,1,0,3012,12297
82934310,1,2000,3058,12297
87886855,1,500,3105,12297
44139210,1,500,3117,12297
85084675,1,1000,3123,12297
64667677,1,500,3139,12297
36488048,1,2500,3142,12297
60557969,1,3000,3171,12297
18305203,1,1000,3186,12297
12476853,1,2500,3203,12297
58357722,1,1000,3225,12297
77221734,1,1500,3226,12297
22726351,1,2500,3231,12297
5956451,1,3000,3238,12297
56219429,1,2500,3249,12297
34438281,1,500,3254,12297
84816354,1,1500,3277,12297
44594109,1,2500,3279,12297
52568071,1,2000,3309,12297
56544477,1,1500,3327,12297
44594109,1,2500,3342,12297
89915804,1,2000,3345,12297
25804512,1,2000,3364,12297
11723396,1,1500,3369,12297
2982962,1,1500,3380,12297
25804512,1,1500,3401,12297
85360088,1,1500,3413,12297
63670604,1,1500,3427,12297
4448187,1,1000,3444,12297
