key,value,eventTime,arrivalTime,processedTime
66489138,1,500,794,10046
34808167,1,500,810,10046
68264103,1,500,828,10046
7970409,1,500,860,10046
44139210,1,500,955,10046
87095283,1,500,961,10046
87926431,1,500,1019,10046
57934882,1,500,1072,10046
19819569,1,1000,1077,10046
43581846,1,1000,1205,10046
1296214,1,500,1242,10046
98997765,1,1000,1276,10046
75234615,1,500,1284,10046
44594109,1,500,1339,10046
71683416,1,1000,1387,10046
63670604,1,1500,1524,10046
63804775,1,1000,1549,10046
85420429,1,1500,1551,10046
34262661,1,1000,1553,10046
98887553,1,1000,1614,10046
31895428,1,1000,1626,10046
277782,1,500,1643,10046
6890257,1,1000,1646,10046
25737248,1,1500,1719,10046
32412154,1,1000,1721,10046
81340523,1,1500,1728,10046
30003784,1,1500,1772,10046
5023913,1,1500,1775,10046
43059832,1,500,1791,10046
33071850,1,1000,1793,10046
69395934,1,1500,1798,10046
93776043,1,1000,1802,10046
57934882,1,500,1882,10046
2673143,1,1500,1915,10046
11723396,1,1000,1971,10046
7278441,1,1500,1995,10046
90428799,1,1000,2008,10046
65176735,1,500,2027,10046
2982962,1,1500,2068,10046
16234480,1,1000,2175,10046
79093151,1,500,2193,10046
81783800,1,2000,2267,10046
13334730,1,2000,2299,10046
22610914,1,1500,2308,10046
83752923,1,1500,2360,10046
8345360,1,2000,2410,10046
71956427,1,500,2418,10046
16234480,1,500,2423,10046
67959054,1,1000,2490,10046
85905322,1,1000,2490,10046
59066148,1,1000,2526,10046
83488764,1,2500,2534,10046
57934882,1,500,2556,10046
20588947,1,1000,2636,10046
96673993,1,1500,2667,10046
1379020,1,2500,2670,10046
62607824,1,1000,2730,10046
66489138,1,500,2758,10046
91599990,1,2500,2771,10046
85420429,1,1500,2786,10046
95290079,1,1000,2794,10046
56119285,1,2000,2824,10046
10718755,1,500,2867,10046
28425641,1,500,2888,10046
32922355,1,2000,2903,10046
32227697,1,500,2907,10046
7723149,1,500,2925,10046
35200765,1,2500,2937,10046
91599990,1,1500,2996,10046
51209364,1,0,3012,10046
82934310,1,2000,3058,10046
87886855,1,500,3105,10046
44139210,1,500,3117,10046
85084675,1,1000,3123,10046
64667677,1,500,3139,10046
36488048,1,2500,3142,10046
60557969,1,3000,3171,10046
18305203,1,1000,3186,10046
12476853,1,2500,3203,10046
58357722,1,1000,3225,10046
77221734,1,1500,3226,10046
22726351,1,2500,3231,10046
5956451,1,3000,3238,10046
56219429,1,2500,3249,10046
34438281,1,500,3254,10046
84816354,1,1500,3277,10046
44594109,1,2500,3279,10046
52568071,1,2000,3309,10046
56544477,1,1500,3327,10046
44594109,1,2500,3342,10046
89915804,1,2000,3345,10046
25804512,1,2000,3364,10046
11723396,1,1500,3369,10046
2982962,1,1500,3380,10046
25804512,1,1500,3401,10046
85360088,1,1500,3413,10046
63670604,1,1500,3427,10046
4448187,1,1000,3444,10046
86318703,1,2000,3490,10046
72523281,1,2000,3506,10046
60223762,1,1500,3508,10046
60557969,1,2500,3514,10046
75282642,1,3500,3533,10046
89463455,1,2500,3540,10046
80685420,1,2000,3553,10046
72948369,1,3500,3553,10046
41455539,1,2000,3557,10046
73418408,1,1000,3566,10046
85360088,1,2500,3571,10046
86971226,1,500,3578,10046
73747214,1,3500,3590,10046
19819569,1,1000,3590,10046
76486238,1,3500,3605,10046
45023542,1,2500,3616,10046
32227697,1,500,3654,10046
25323265,1,1500,3672,10046
58169160,1,1500,3681,10046
47024088,1,2500,3697,10046
91962132,1,3500,3721,10046
80685420,1,2000,3724,10046
87095283,1,3000,3725,10046
51209364,1,500,3729,10046
70652512,1,3000,3756,10046
71593141,1,500,3756,10046
29755629,1,3000,3768,10046
84484364,1,500,3782,10046
5956451,1,500,3783,10046
28425641,1,3000,3785,10046
4312958,1,1500,3789,10046
77058654,1,1000,3790,10046
63670604,1,1500,3817,10046
89884176,1,3000,3837,10046
68817033,1,2000,3852,10046
4448187,1,1000,3881,10046
79093151,1,3000,3914,10046
72523281,1,2000,3926,10046
54482435,1,1000,3930,10046
99562230,1,3000,3932,10046
83488764,1,2500,3937,10046
64004616,1,500,3938,10046
17442783,1,3500,3941,10046
70946012,1,3500,3941,10046
91599990,1,2000,3953,10046
32747133,1,500,3956,10046
72523281,1,2500,3963,10046
76795485,1,500,3983,10046
5023913,1,1500,3984,10046
72148074,1,1500,4010,10046
