key,value,eventTime,arrivalTime,processedTime
66489138,1,500,794,11038
34808167,1,500,810,11038
68264103,1,500,828,11038
7970409,1,500,860,11038
44139210,1,500,955,11038
87095283,1,500,961,11038
87926431,1,500,1019,11038
57934882,1,500,1072,11038
19819569,1,1000,1077,11038
43581846,1,1000,1205,11038
1296214,1,500,1242,11038
98997765,1,1000,1276,11038
75234615,1,500,1284,11038
44594109,1,500,1339,11038
71683416,1,1000,1387,11038
63670604,1,1500,1524,11038
63804775,1,1000,1549,11038
85420429,1,1500,1551,11038
34262661,1,1000,1553,11038
98887553,1,1000,1614,11038
31895428,1,1000,1626,11038
277782,1,500,1643,11038
6890257,1,1000,1646,11038
25737248,1,1500,1719,11038
32412154,1,1000,1721,11038
81340523,1,1500,1728,11038
30003784,1,1500,1772,11038
5023913,1,1500,1775,11038
43059832,1,500,1791,11038
33071850,1,1000,1793,11038
69395934,1,1500,1798,11038
93776043,1,1000,1802,11038
57934882,1,500,1882,11038
2673143,1,1500,1915,11038
11723396,1,1000,1971,11038
7278441,1,1500,1995,11038
90428799,1,1000,2008,11038
65176735,1,500,2027,11038
2982962,1,1500,2068,11038
16234480,1,1000,2175,11038
79093151,1,500,2193,11038
81783800,1,2000,2267,11038
13334730,1,2000,2299,11038
22610914,1,1500,2308,11038
83752923,1,1500,2360,11038
8345360,1,2000,2410,11038
71956427,1,500,2418,11038
16234480,1,500,2423,11038
67959054,1,1000,2490,11038
85905322,1,1000,2490,11038
59066148,1,1000,2526,11038
83488764,1,2500,2534,11038
57934882,1,500,2556,11038
20588947,1,1000,2636,11038
96673993,1,1500,2667,11038
1379020,1,2500,2670,11038
62607824,1,1000,2730,11038
66489138,1,500,2758,11038
91599990,1,2500,2771,11038
85420429,1,1500,2786,11038
95290079,1,1000,2794,11038
56119285,1,2000,2824,11038
10718755,1,500,2867,11038
28425641,1,500,2888,11038
32922355,1,2000,2903,11038
32227697,1,500,2907,11038
7723149,1,500,2925,11038
35200765,1,2500,2937,11038
91599990,1,1500,2996,11038
51209364,1,0,3012,11038
82934310,1,2000,3058,11038
87886855,1,500,3105,11038
44139210,1,500,3117,11038
85084675,1,1000,3123,11038
64667677,1,500,3139,11038
36488048,1,2500,3142,11038
60557969,1,3000,3171,11038
18305203,1,1000,3186,11038
12476853,1,2500,3203,11038
58357722,1,1000,3225,11038
77221734,1,1500,3226,11038
22726351,1,2500,3231,11038
5956451,1,3000,3238,11038
56219429,1,2500,3249,11038
34438281,1,500,3254,11038
84816354,1,1500,3277,11038
44594109,1,2500,3279,11038
52568071,1,2000,3309,11038
56544477,1,1500,3327,11038
44594109,1,2500,3342,11038
89915804,1,2000,3345,11038
25804512,1,2000,3364,11038
11723396,1,1500,3369,11038
2982962,1,1500,3380,11038
25804512,1,1500,3401,11038
85360088,1,1500,3413,11038
63670604,1,1500,3427,11038
4448187,1,1000,3444,11038
86318703,1,2000,3490,11038
72523281,1,2000,3506,11038
60223762,1,1500,3508,11038
60557969,1,2500,3514,11038
75282642,1,3500,3533,11038
89463455,1,2500,3540,11038
80685420,1,2000,3553,11038
72948369,1,3500,3553,11038
41455539,1,2000,3557,11038
73418408,1,1000,3566,11038
85360088,1,2500,3571,11038
86971226,1,500,3578,11038
73747214,1,3500,3590,11038
19819569,1,1000,3590,11038
76486238,1,3500,3605,11038
45023542,1,2500,3616,11038
32227697,1,500,3654,11038
25323265,1,1500,3672,11038
58169160,1,1500,3681,11038
47024088,1,2500,3697,11038
91962132,1,3500,3721,11038
80685420,1,2000,3724,11038
87095283,1,3000,3725,11038
51209364,1,500,3729,11038
70652512,1,3000,3756,11038
71593141,1,500,3756,11038
29755629,1,3000,3768,11038
84484364,1,500,3782,11038
5956451,1,500,3783,11038
28425641,1,3000,3785,11038
4312958,1,1500,3789,11038
77058654,1,1000,3790,11038
63670604,1,1500,3817,11038
89884176,1,3000,3837,11038
68817033,1,2000,3852,11038
4448187,1,1000,3881,11038
79093151,1,3000,3914,11038
72523281,1,2000,3926,11038
54482435,1,1000,3930,11038
99562230,1,3000,3932,11038
83488764,1,2500,3937,11038
