key,value,eventTime,arrivalTime,processedTime
63670604,1,1500,6157,383694
33071850,1,5500,6569,383694
26622236,1,6500,6693,383694
52161111,1,6000,7942,383694
83488764,1,2500,9277,383694
75282642,1,3500,9923,383694
56544477,1,7000,10743,383694
85420429,1,1500,11554,383694
54921975,1,7000,11632,383694
72948369,1,3500,14040,383694
53520052,1,6000,14586,383694
42568529,1,8000,15926,383694
44950042,1,4000,16202,383694
19819569,1,1000,16346,383694
83752923,1,7500,17563,383694
54921975,1,9500,18723,383694
51133312,1,8500,20608,383694
54921975,1,9500,21247,383694
73747214,1,3500,21428,383694
21995918,1,6000,22993,383694
76486238,1,3500,24349,383694
15633768,1,5500,25537,383694
5537834,1,9500,25901,383694
88354479,1,5000,27916,383694
58169160,1,7000,28314,383694
89528679,1,5500,29237,383694
8281885,1,4000,29729,383694
31412746,1,6500,29870,383694
89886461,1,4500,30817,383694
81340523,1,7000,32145,383694
22726351,1,10000,33361,383694
462432,1,7000,34848,383694
1379020,1,2500,36374,383694
60557969,1,3000,37159,383694
82311436,1,4000,39569,383694
87926431,1,6000,41658,383694
43581846,1,1000,41889,383694
4312958,1,7000,44007,383694
25737248,1,1500,45149,383694
16234480,1,4500,46324,383694
84816354,1,8500,46470,383694
50330067,1,8500,46835,383694
81340523,1,1500,47001,383694
91962132,1,3500,47671,383694
60223762,1,7000,47873,383694
5956451,1,3000,50470,383694
43581846,1,9000,51353,383694
8993999,1,6000,52714,383694
34577570,1,4000,53759,383694
50246185,1,8500,53782,383694
81783800,1,2000,55343,383694
30003784,1,1500,55744,383694
98997765,1,1000,56031,383694
5023913,1,1500,56302,383694
43182572,1,8500,56605,383694
91599990,1,2500,56658,383694
60223762,1,9000,57401,383694
26564371,1,7000,58695,383694
58169160,1,9000,58994,383694
66489138,1,500,59234,383694
97747889,1,7000,59478,383694
69395934,1,1500,61055,383694
91962132,1,4000,61538,383694
13334730,1,2000,61641,383694
34808167,1,500,62425,383694
67549101,1,8500,63418,383694
31412746,1,4500,65169,383694
90692355,1,4000,65268,383694
68264103,1,500,66031,383694
23374822,1,10000,67099,383694
29386080,1,5000,69162,383694
15079656,1,9500,70334,383694
81340523,1,9000,70474,383694
99970880,1,6000,71237,383694
7970409,1,500,72459,383694
67549101,1,7000,72574,383694
32464878,1,10000,74909,383694
53520052,1,5500,77565,383694
71683416,1,1000,78268,383694
51133312,1,9000,83461,383694
8345360,1,2000,83808,383694
2673143,1,1500,84475,383694
83752923,1,7500,85707,383694
52161111,1,6000,87294,383694
35200765,1,2500,89867,383694
43581846,1,7500,90088,383694
44139210,1,500,91342,383694
17442783,1,3500,91556,383694
70946012,1,3500,91625,383694
58169160,1,8000,91748,383694
31133703,1,6000,92157,383694
87095283,1,500,92608,383694
4439928,1,9500,94905,383694
85360088,1,10000,96384,383694
95670526,1,5000,97235,383694
62178153,1,6500,98557,383694
97747889,1,9500,100362,383694
7278441,1,1500,100423,383694
63670604,1,8000,100785,383694
93885641,1,6000,101771,383694
29386080,1,6000,102386,383694
87926431,1,500,104299,383694
53520052,1,4500,105059,383694
2982962,1,9000,105359,383694
54779257,1,10000,106400,383694
4158865,1,4500,107644,383694
75881404,1,6500,109278,383694
63804775,1,1000,110785,383694
53520052,1,5000,111166,383694
52161111,1,4500,111289,383694
34262661,1,1000,111426,383694
57934882,1,6000,112674,383694
53203639,1,3500,113228,383694
57934882,1,500,114868,383694
2982962,1,1500,114987,383694
7278441,1,9500,118853,383694
67571357,1,6000,121014,383694
57934882,1,4500,122650,383694
53520052,1,4500,122709,383694
98887553,1,1000,123707,383694
43581846,1,9000,123888,383694
6890257,1,9000,125317,383694
29386080,1,5000,126006,383694
31895428,1,1000,126111,383694
13749309,1,10000,126345,383694
31412746,1,5000,127123,383694
69395934,1,7500,127161,383694
54770126,1,5000,130033,383694
6890257,1,1000,130184,383694
95837972,1,8500,130223,383694
50330067,1,8000,130387,383694
41125719,1,9500,130509,383694
58169160,1,7500,130655,383694
36488048,1,2500,130891,383694
57934882,1,5000,132409,383694
4312958,1,7500,132654,383694
