key,value,eventTime,arrivalTime,processedTime
63670604,1,1500,2432,99995
85420429,1,1500,3511,99995
83488764,1,2500,3856,99995
19819569,1,1000,4070,99995
75282642,1,3500,4785,99995
72948369,1,3500,5608,99995
33071850,1,5500,5714,99995
52161111,1,6000,6389,99995
44950042,1,4000,6441,99995
26622236,1,6500,6539,99995
73747214,1,3500,7086,99995
76486238,1,3500,7670,99995
53520052,1,6000,7718,99995
56544477,1,7000,7749,99995
54921975,1,7000,7927,99995
8281885,1,4000,9146,99995
43581846,1,1000,9178,99995
1379020,1,2500,9275,99995
21995918,1,6000,9399,99995
15633768,1,5500,9508,99995
83752923,1,7500,9513,99995
88354479,1,5000,9584,99995
42568529,1,8000,9586,99995
89886461,1,4500,9764,99995
60557969,1,3000,9832,99995
25737248,1,1500,10230,99995
89528679,1,5500,10248,99995
81340523,1,1500,10601,99995
51133312,1,8500,10922,99995
40566049,1,10500,10940,0
82311436,1,4000,11114,99995
31412746,1,6500,11174,99995
58169160,1,7000,11263,99995
54921975,1,9500,11345,99995
54921975,1,9500,11850,99995
98997765,1,1000,12007,99995
33702271,1,10500,12021,0
99275943,1,10500,12027,0
81340523,1,7000,12029,99995
16524238,1,12000,12067,0
21362546,1,11500,12184,0
66489138,1,500,12247,99995
91962132,1,3500,12335,99995
30003784,1,1500,12349,99995
5023913,1,1500,12461,99995
5956451,1,3000,12494,99995
462432,1,7000,12570,99995
81783800,1,2000,12669,99995
5537834,1,9500,12781,99995
16234480,1,4500,12865,99995
34808167,1,500,12885,99995
87926431,1,6000,13132,99995
91599990,1,2500,13332,99995
69395934,1,1500,13411,99995
68264103,1,500,13607,99995
13334730,1,2000,13929,99995
34577570,1,4000,13952,99995
4448187,1,13000,14072,0
44603226,1,11500,14339,0
4312958,1,7000,14402,99995
22726351,1,10000,14673,99995
30522303,1,12500,14884,0
7970409,1,500,14892,99995
60223762,1,7000,15175,99995
8993999,1,6000,15343,99995
59613547,1,14500,15346,0
18305203,1,13500,15415,0
91962132,1,4000,15508,99995
15983979,1,13000,15578,0
72293043,1,15500,15857,0
61706238,1,12500,15938,0
13931066,1,13500,15938,0
84816354,1,8500,16094,99995
50330067,1,8500,16167,99995
90692355,1,4000,16254,99995
71683416,1,1000,16454,99995
39059346,1,14000,16487,0
95290079,1,12500,16506,0
78434081,1,16500,16614,0
31412746,1,4500,16634,99995
26564371,1,7000,17339,99995
43581846,1,9000,17471,99995
97747889,1,7000,17496,99995
38380712,1,16500,17529,0
50246185,1,8500,17557,99995
29386080,1,5000,17833,99995
50144884,1,17500,18081,0
2673143,1,1500,18095,99995
43182572,1,8500,18121,99995
65282171,1,16000,18168,0
17954620,1,14500,18270,0
8345360,1,2000,18362,99995
44950042,1,17500,18439,0
71683416,1,12500,18496,0
50144884,1,17500,18537,0
44139210,1,500,18669,99995
33200804,1,13000,18676,0
60223762,1,9000,18681,99995
78318050,1,16500,18763,0
61910219,1,15000,18830,0
87095283,1,500,18922,99995
58169160,1,9000,18999,99995
80201190,1,18500,19020,0
99970880,1,6000,19048,99995
30758909,1,19000,19138,0
91962132,1,15500,19249,0
67549101,1,8500,19484,99995
70393965,1,15000,19840,0
25737248,1,10500,19865,0
25804512,1,11000,19903,0
53520052,1,5500,19913,99995
55042840,1,15000,19929,0
35200765,1,2500,19974,99995
67549101,1,7000,20115,99995
77190295,1,13000,20147,0
7544903,1,20500,20832,0
29386080,1,18500,20917,0
89886461,1,15000,21093,0
17442783,1,3500,21112,99995
70946012,1,3500,21125,99995
18517273,1,14500,21171,0
15983979,1,12000,21211,0
77190295,1,13500,21239,0
87926431,1,500,21260,99995
7278441,1,1500,21285,99995
81340523,1,9000,21295,99995
57934882,1,20000,21297,0
77058654,1,14500,21311,0
59666432,1,20500,21321,0
23374822,1,10000,21420,99995
85360088,1,10500,21471,0
27613627,1,19000,21562,0
15079656,1,9500,21667,99995
89389859,1,14000,21940,0
66959667,1,21500,22085,0
45051218,1,17000,22103,0
4853279,1,11000,22170,0
52161111,1,6000,22259,99995
66049973,1,13500,22605,0
99426798,1,22500,22636,0
89886461,1,17500,22947,0
63804775,1,1000,22957,99995
32464878,1,10000,22982,99995
95725128,1,21000,23083,0
34262661,1,1000,23086,99995
83752923,1,7500,23142,99995
31133703,1,6000,23232,99995
37419903,1,14500,23249,0
13334730,1,11500,23295,0
57934882,1,500,23374,99995
95670526,1,5000,23447,99995
95379998,1,16000,23529,0
67959054,1,13000,23788,0
39485041,1,10500,23824,0
63286272,1,18500,23889,0
51133312,1,9000,23893,99995
43581846,1,7500,24018,99995
90692355,1,18500,24145,0
2982962,1,1500,24198,99995
42282743,1,13000,24230,0
46958933,1,19500,24264,0
52050929,1,18500,24379,0
41931406,1,22500,24411,0
44594109,1,22000,24508,0
44594109,1,23500,24602,0
53520052,1,4500,24612,99995
52050929,1,17500,24725,0
58169160,1,8000,24750,99995
97072575,1,22000,24833,0
62178153,1,6500,24912,99995
16876024,1,13000,25084,0
4853279,1,11000,25114,0
4158865,1,4500,25129,99995
93885641,1,6000,25155,99995
98137996,1,11500,25230,0
29386080,1,6000,25278,99995
33200804,1,14500,25442,0
53203639,1,3500,25446,99995
98887553,1,1000,25542,99995
60557969,1,22000,25545,0
33200804,1,14000,25575,0
85462462,1,14500,25603,0
8345360,1,11500,25727,0
79093151,1,24000,25755,0
52161111,1,4500,25858,99995
90008994,1,11500,25917,0
59610862,1,23500,26020,0
31895428,1,1000,26023,99995
53520052,1,5000,26234,99995
61118106,1,20000,26288,0
19141851,1,16500,26290,0
63670604,1,8000,26557,99995
4439928,1,9500,26581,99995
89886461,1,18500,26642,0
44594109,1,23000,26728,0
47968319,1,14500,26758,0
44594109,1,22000,26773,0
6890257,1,1000,26837,99995
3986678,1,15000,26887,0
44594109,1,23000,26923,0
75881404,1,6500,27056,99995
51799292,1,17500,27121,0
85360088,1,10000,27277,99995
77058654,1,13500,27311,0
57934882,1,6000,27335,99995
5956451,1,25500,27545,0
82448174,1,16500,27570,0
97747889,1,9500,27673,99995
77185371,1,20500,27929,0
57934882,1,4500,28130,99995
53520052,1,4500,28142,99995
36488048,1,2500,28179,99995
2982962,1,9000,28272,99995
60166141,1,17500,28273,0
79093151,1,21500,28361,0
89389859,1,13500,28568,0
62309874,1,17000,28572,0
63804775,1,20000,28656,0
2705413,1,28000,28683,0
79093151,1,25000,28840,0
67571357,1,6000,29003,99995
44594109,1,28500,29004,0
57061850,1,28500,29182,0
54381700,1,24500,29187,0
51799292,1,15000,29202,0
29386080,1,5000,29202,99995
54779257,1,10000,29280,99995
27613627,1,20000,29309,0
51809284,1,14500,29344,0
31412746,1,5000,29425,99995
10718755,1,25500,29542,0
84400187,1,25500,29638,0
60714462,1,18000,29755,0
32412154,1,1000,29817,99995
55928577,1,23500,29833,0
54770126,1,5000,30007,99995
38380712,1,18000,30010,0
1296214,1,500,30175,99995
66173567,1,13500,30296,0
3986678,1,17500,30458,0
57934882,1,5000,30482,99995
12476853,1,2500,30599,99995
35062848,1,30000,30660,0
51120765,1,26500,30671,0
40639323,1,16500,30729,0
47968319,1,16000,30795,0
38477403,1,21500,30813,0
80201190,1,15500,30904,0
29748320,1,27500,30994,0
31412746,1,5500,31123,99995
46832657,1,26000,31153,0
82311436,1,4500,31208,99995
51799292,1,17000,31256,0
77589042,1,30500,31315,0
7278441,1,9500,31371,99995
69395934,1,7500,31433,99995
22071684,1,13000,31656,0
22726351,1,2500,31721,99995
63804775,1,4500,31793,99995
