key,value,eventTime,arrivalTime,processedTime
63670604,1,1500,2432,99995
85420429,1,1500,3511,99995
83488764,1,2500,3856,99995
19819569,1,1000,4070,99995
75282642,1,3500,4785,99995
72948369,1,3500,5608,99995
33071850,1,5500,5714,99995
52161111,1,6000,6389,99995
44950042,1,4000,6441,99995
26622236,1,6500,6539,99995
73747214,1,3500,7086,99995
76486238,1,3500,7670,99995
53520052,1,6000,7718,99995
56544477,1,7000,7749,99995
54921975,1,7000,7927,99995
8281885,1,4000,9146,99995
43581846,1,1000,9178,99995
1379020,1,2500,9275,99995
21995918,1,6000,9399,99995
15633768,1,5500,9508,99995
83752923,1,7500,9513,99995
88354479,1,5000,9584,99995
42568529,1,8000,9586,99995
89886461,1,4500,9764,99995
60557969,1,3000,9832,99995
25737248,1,1500,10230,99995
89528679,1,5500,10248,99995
81340523,1,1500,10601,99995
51133312,1,8500,10922,99995
82311436,1,4000,11114,99995
31412746,1,6500,11174,99995
58169160,1,7000,11263,99995
54921975,1,9500,11345,99995
54921975,1,9500,11850,99995
98997765,1,1000,12007,99995
81340523,1,7000,12029,99995
66489138,1,500,12247,99995
91962132,1,3500,12335,99995
30003784,1,1500,12349,99995
5023913,1,1500,12461,99995
5956451,1,3000,12494,99995
462432,1,7000,12570,99995
81783800,1,2000,12669,99995
5537834,1,9500,12781,99995
16234480,1,4500,12865,99995
34808167,1,500,12885,99995
87926431,1,6000,13132,99995
91599990,1,2500,13332,99995
69395934,1,1500,13411,99995
68264103,1,500,13607,99995
13334730,1,2000,13929,99995
34577570,1,4000,13952,99995
4312958,1,7000,14402,99995
22726351,1,10000,14673,99995
7970409,1,500,14892,99995
60223762,1,7000,15175,99995
8993999,1,6000,15343,99995
91962132,1,4000,15508,99995
84816354,1,8500,16094,99995
50330067,1,8500,16167,99995
90692355,1,4000,16254,99995
71683416,1,1000,16454,99995
31412746,1,4500,16634,99995
26564371,1,7000,17339,99995
43581846,1,9000,17471,99995
97747889,1,7000,17496,99995
50246185,1,8500,17557,99995
29386080,1,5000,17833,99995
2673143,1,1500,18095,99995
43182572,1,8500,18121,99995
8345360,1,2000,18362,99995
44139210,1,500,18669,99995
60223762,1,9000,18681,99995
87095283,1,500,18922,99995
58169160,1,9000,18999,99995
99970880,1,6000,19048,99995
67549101,1,8500,19484,99995
53520052,1,5500,19913,99995
35200765,1,2500,19974,99995
67549101,1,7000,20115,99995
17442783,1,3500,21112,99995
70946012,1,3500,21125,99995
87926431,1,500,21260,99995
7278441,1,1500,21285,99995
81340523,1,9000,21295,99995
23374822,1,10000,21420,99995
15079656,1,9500,21667,99995
52161111,1,6000,22259,99995
63804775,1,1000,22957,99995
32464878,1,10000,22982,99995
34262661,1,1000,23086,99995
83752923,1,7500,23142,99995
31133703,1,6000,23232,99995
57934882,1,500,23374,99995
95670526,1,5000,23447,99995
51133312,1,9000,23893,99995
43581846,1,7500,24018,99995
2982962,1,1500,24198,99995
53520052,1,4500,24612,99995
58169160,1,8000,24750,99995
62178153,1,6500,24912,99995
4158865,1,4500,25129,99995
93885641,1,6000,25155,99995
29386080,1,6000,25278,99995
53203639,1,3500,25446,99995
98887553,1,1000,25542,99995
52161111,1,4500,25858,99995
31895428,1,1000,26023,99995
53520052,1,5000,26234,99995
63670604,1,8000,26557,99995
4439928,1,9500,26581,99995
6890257,1,1000,26837,99995
75881404,1,6500,27056,99995
85360088,1,10000,27277,99995
57934882,1,6000,27335,99995
97747889,1,9500,27673,99995
57934882,1,4500,28130,99995
53520052,1,4500,28142,99995
36488048,1,2500,28179,99995
2982962,1,9000,28272,99995
67571357,1,6000,29003,99995
29386080,1,5000,29202,99995
54779257,1,10000,29280,99995
31412746,1,5000,29425,99995
32412154,1,1000,29817,99995
54770126,1,5000,30007,99995
1296214,1,500,30175,99995
57934882,1,5000,30482,99995
12476853,1,2500,30599,99995
31412746,1,5500,31123,99995
82311436,1,4500,31208,99995
7278441,1,9500,31371,99995
69395934,1,7500,31433,99995
22726351,1,2500,31721,99995
63804775,1,4500,31793,99995
75234615,1,500,31826,99995
43581846,1,9000,31978,99995
87095283,1,3000,31996,99995
58169160,1,7500,32131,99995
6890257,1,9000,32264,99995
56219429,1,2500,32460,99995
50330067,1,8000,32478,99995
4312958,1,7500,32531,99995
33071850,1,1000,32682,99995
95837972,1,8500,32845,99995
93776043,1,1000,33053,99995
70652512,1,3000,33213,99995
13749309,1,10000,33269,99995
46289212,1,5500,33580,99995
57934882,1,5500,33581,99995
44594109,1,2500,33652,99995
41125719,1,9500,33702,99995
29755629,1,3000,33710,99995
22610914,1,1500,33799,99995
44594109,1,500,34053,99995
4439928,1,9000,34108,99995
28425641,1,3000,34369,99995
84816354,1,9000,34725,99995
56119285,1,2000,34921,99995
4312958,1,8500,35106,99995
37181123,1,7500,35612,99995
95670526,1,4500,35732,99995
83752923,1,1500,35866,99995
84816354,1,8500,36118,99995
44594109,1,2500,36179,99995
89884176,1,3000,36446,99995
39553946,1,8000,36753,99995
15079656,1,7000,36897,99995
27308352,1,6000,36991,99995
54921975,1,7000,37210,99995
75881404,1,9500,37279,99995
44950042,1,4500,37323,99995
66538156,1,10000,37450,99995
32922355,1,2000,38095,99995
46289212,1,5500,38159,99995
81340523,1,8000,38186,99995
84816354,1,9500,38242,99995
3887941,1,3500,39459,99995
79093151,1,3000,39535,99995
11723396,1,1000,39822,99995
99562230,1,3000,40249,99995
91962132,1,3500,40347,99995
81340523,1,9000,40467,99995
57934882,1,5500,40780,99995
89528679,1,6000,41083,99995
90428799,1,1000,41311,99995
8281885,1,4000,41682,99995
82060503,1,10000,41714,99995
54670282,1,8000,41969,99995
45023542,1,10000,42233,99995
50935134,1,8500,42495,99995
85360088,1,10000,42550,99995
31412746,1,4500,42740,99995
60557969,1,2500,43042,99995
57934882,1,4500,43120,99995
42568529,1,7500,43287,99995
50330067,1,8500,44039,99995
89463455,1,2500,44080,99995
82934310,1,2000,44285,99995
41125719,1,9000,44363,99995
85360088,1,10000,45244,99995
41125719,1,8500,45284,99995
85360088,1,2500,45306,99995
27924669,1,9500,45613,99995
4312958,1,7500,45880,99995
83752923,1,7500,46145,99995
277782,1,500,46220,99995
53520052,1,4500,46379,99995
7278441,1,7000,46415,99995
27613627,1,5500,46705,99995
45023542,1,2500,47126,99995
86308065,1,3000,47804,99995
6890257,1,8500,47830,99995
96673993,1,9500,47920,99995
16234480,1,1000,47987,99995
88354479,1,4500,48038,99995
96673993,1,1500,48180,99995
92634603,1,4500,48221,99995
50330067,1,7500,48286,99995
83752923,1,9000,48316,99995
31133703,1,6000,48629,99995
50935134,1,8500,48964,99995
32747133,1,6000,49336,99995
54921975,1,6500,50107,99995
87095283,1,3000,50333,99995
47024088,1,2500,50355,99995
29344330,1,7000,50400,99995
5956451,1,3500,50743,99995
75282642,1,3500,50803,99995
277782,1,4500,50979,99995
4312958,1,6500,51027,99995
58169160,1,8000,51031,99995
3053208,1,3000,51252,99995
82934310,1,10000,51338,99995
17442783,1,4000,51566,99995
46289212,1,4500,51648,99995
44594109,1,3500,51763,99995
84476497,1,6500,51845,99995
63604024,1,5500,51900,99995
16133749,1,10000,52032,99995
53203639,1,4500,52036,99995
85360088,1,10000,52051,99995
43059832,1,500,52118,99995
43994260,1,4000,52178,99995
2982962,1,9000,52714,99995
85420429,1,1500,52931,99995
39998742,1,8000,53230,99995
89886461,1,4000,53357,99995
58444660,1,8000,53564,99995
34438281,1,4500,53594,99995
88000019,1,4000,53713,99995
