key,value,eventTime,arrivalTime,processedTime
63670604,1,1500,2432,187794
85420429,1,1500,3511,187794
83488764,1,2500,3856,187794
19819569,1,1000,4070,187794
75282642,1,3500,4785,187794
72948369,1,3500,5608,187794
33071850,1,5500,5714,187794
52161111,1,6000,6389,187794
44950042,1,4000,6441,187794
26622236,1,6500,6539,187794
73747214,1,3500,7086,187794
76486238,1,3500,7670,187794
53520052,1,6000,7718,187794
56544477,1,7000,7749,187794
54921975,1,7000,7927,187794
8281885,1,4000,9146,187794
43581846,1,1000,9178,187794
1379020,1,2500,9275,187794
21995918,1,6000,9399,187794
15633768,1,5500,9508,187794
83752923,1,7500,9513,187794
88354479,1,5000,9584,187794
42568529,1,8000,9586,187794
89886461,1,4500,9764,187794
60557969,1,3000,9832,187794
25737248,1,1500,10230,187794
89528679,1,5500,10248,187794
81340523,1,1500,10601,187794
51133312,1,8500,10922,187794
82311436,1,4000,11114,187794
31412746,1,6500,11174,187794
58169160,1,7000,11263,187794
54921975,1,9500,11345,187794
54921975,1,9500,11850,187794
98997765,1,1000,12007,187794
81340523,1,7000,12029,187794
66489138,1,500,12247,187794
91962132,1,3500,12335,187794
30003784,1,1500,12349,187794
5023913,1,1500,12461,187794
5956451,1,3000,12494,187794
462432,1,7000,12570,187794
81783800,1,2000,12669,187794
5537834,1,9500,12781,187794
16234480,1,4500,12865,187794
34808167,1,500,12885,187794
87926431,1,6000,13132,187794
91599990,1,2500,13332,187794
69395934,1,1500,13411,187794
68264103,1,500,13607,187794
13334730,1,2000,13929,187794
34577570,1,4000,13952,187794
4312958,1,7000,14402,187794
22726351,1,10000,14673,187794
7970409,1,500,14892,187794
60223762,1,7000,15175,187794
8993999,1,6000,15343,187794
91962132,1,4000,15508,187794
84816354,1,8500,16094,187794
50330067,1,8500,16167,187794
90692355,1,4000,16254,187794
71683416,1,1000,16454,187794
31412746,1,4500,16634,187794
26564371,1,7000,17339,187794
43581846,1,9000,17471,187794
97747889,1,7000,17496,187794
50246185,1,8500,17557,187794
29386080,1,5000,17833,187794
2673143,1,1500,18095,187794
43182572,1,8500,18121,187794
8345360,1,2000,18362,187794
44139210,1,500,18669,187794
60223762,1,9000,18681,187794
87095283,1,500,18922,187794
58169160,1,9000,18999,187794
99970880,1,6000,19048,187794
67549101,1,8500,19484,187794
53520052,1,5500,19913,187794
35200765,1,2500,19974,187794
67549101,1,7000,20115,187794
17442783,1,3500,21112,187794
70946012,1,3500,21125,187794
87926431,1,500,21260,187794
7278441,1,1500,21285,187794
81340523,1,9000,21295,187794
23374822,1,10000,21420,187794
15079656,1,9500,21667,187794
52161111,1,6000,22259,187794
63804775,1,1000,22957,187794
32464878,1,10000,22982,187794
34262661,1,1000,23086,187794
83752923,1,7500,23142,187794
31133703,1,6000,23232,187794
57934882,1,500,23374,187794
95670526,1,5000,23447,187794
51133312,1,9000,23893,187794
43581846,1,7500,24018,187794
2982962,1,1500,24198,187794
53520052,1,4500,24612,187794
58169160,1,8000,24750,187794
62178153,1,6500,24912,187794
4158865,1,4500,25129,187794
93885641,1,6000,25155,187794
29386080,1,6000,25278,187794
53203639,1,3500,25446,187794
98887553,1,1000,25542,187794
52161111,1,4500,25858,187794
31895428,1,1000,26023,187794
53520052,1,5000,26234,187794
63670604,1,8000,26557,187794
4439928,1,9500,26581,187794
6890257,1,1000,26837,187794
75881404,1,6500,27056,187794
85360088,1,10000,27277,187794
57934882,1,6000,27335,187794
97747889,1,9500,27673,187794
57934882,1,4500,28130,187794
53520052,1,4500,28142,187794
36488048,1,2500,28179,187794
2982962,1,9000,28272,187794
67571357,1,6000,29003,187794
29386080,1,5000,29202,187794
54779257,1,10000,29280,187794
31412746,1,5000,29425,187794
32412154,1,1000,29817,187794
54770126,1,5000,30007,187794
1296214,1,500,30175,187794
57934882,1,5000,30482,187794
12476853,1,2500,30599,187794
31412746,1,5500,31123,187794
82311436,1,4500,31208,187794
7278441,1,9500,31371,187794
69395934,1,7500,31433,187794
22726351,1,2500,31721,187794
63804775,1,4500,31793,187794
75234615,1,500,31826,187794
43581846,1,9000,31978,187794
87095283,1,3000,31996,187794
58169160,1,7500,32131,187794
6890257,1,9000,32264,187794
56219429,1,2500,32460,187794
50330067,1,8000,32478,187794
4312958,1,7500,32531,187794
33071850,1,1000,32682,187794
95837972,1,8500,32845,187794
93776043,1,1000,33053,187794
70652512,1,3000,33213,187794
13749309,1,10000,33269,187794
46289212,1,5500,33580,187794
57934882,1,5500,33581,187794
44594109,1,2500,33652,187794
41125719,1,9500,33702,187794
29755629,1,3000,33710,187794
22610914,1,1500,33799,187794
44594109,1,500,34053,187794
4439928,1,9000,34108,187794
28425641,1,3000,34369,187794
84816354,1,9000,34725,187794
56119285,1,2000,34921,187794
4312958,1,8500,35106,187794
37181123,1,7500,35612,187794
95670526,1,4500,35732,187794
83752923,1,1500,35866,187794
84816354,1,8500,36118,187794
44594109,1,2500,36179,187794
89884176,1,3000,36446,187794
39553946,1,8000,36753,187794
15079656,1,7000,36897,187794
27308352,1,6000,36991,187794
54921975,1,7000,37210,187794
75881404,1,9500,37279,187794
44950042,1,4500,37323,187794
66538156,1,10000,37450,187794
32922355,1,2000,38095,187794
46289212,1,5500,38159,187794
81340523,1,8000,38186,187794
84816354,1,9500,38242,187794
3887941,1,3500,39459,187794
79093151,1,3000,39535,187794
11723396,1,1000,39822,187794
99562230,1,3000,40249,187794
91962132,1,3500,40347,187794
81340523,1,9000,40467,187794
57934882,1,5500,40780,187794
89528679,1,6000,41083,187794
90428799,1,1000,41311,187794
8281885,1,4000,41682,187794
82060503,1,10000,41714,187794
54670282,1,8000,41969,187794
45023542,1,10000,42233,187794
50935134,1,8500,42495,187794
85360088,1,10000,42550,187794
31412746,1,4500,42740,187794
60557969,1,2500,43042,187794
57934882,1,4500,43120,187794
42568529,1,7500,43287,187794
50330067,1,8500,44039,187794
89463455,1,2500,44080,187794
82934310,1,2000,44285,187794
41125719,1,9000,44363,187794
85360088,1,10000,45244,187794
41125719,1,8500,45284,187794
85360088,1,2500,45306,187794
27924669,1,9500,45613,187794
4312958,1,7500,45880,187794
83752923,1,7500,46145,187794
277782,1,500,46220,187794
53520052,1,4500,46379,187794
7278441,1,7000,46415,187794
27613627,1,5500,46705,187794
45023542,1,2500,47126,187794
86308065,1,3000,47804,187794
6890257,1,8500,47830,187794
96673993,1,9500,47920,187794
16234480,1,1000,47987,187794
88354479,1,4500,48038,187794
96673993,1,1500,48180,187794
92634603,1,4500,48221,187794
50330067,1,7500,48286,187794
83752923,1,9000,48316,187794
31133703,1,6000,48629,187794
50935134,1,8500,48964,187794
32747133,1,6000,49336,187794
54921975,1,6500,50107,187794
87095283,1,3000,50333,187794
47024088,1,2500,50355,187794
29344330,1,7000,50400,187794
5956451,1,3500,50743,187794
75282642,1,3500,50803,187794
277782,1,4500,50979,187794
4312958,1,6500,51027,187794
58169160,1,8000,51031,187794
3053208,1,3000,51252,187794
82934310,1,10000,51338,187794
17442783,1,4000,51566,187794
46289212,1,4500,51648,187794
44594109,1,3500,51763,187794
84476497,1,6500,51845,187794
63604024,1,5500,51900,187794
16133749,1,10000,52032,187794
53203639,1,4500,52036,187794
85360088,1,10000,52051,187794
43059832,1,500,52118,187794
43994260,1,4000,52178,187794
2982962,1,9000,52714,187794
85420429,1,1500,52931,187794
39998742,1,8000,53230,187794
89886461,1,4000,53357,187794
