key,value,eventTime,arrivalTime,processedTime
63670604,1,1500,1966,100048
85420429,1,1500,2506,100048
19819569,1,1000,2535,100048
83488764,1,2500,3178,100048
75282642,1,3500,4143,100048
72948369,1,3500,4554,100048
43581846,1,1000,5089,100048
44950042,1,4000,5221,100048
73747214,1,3500,5293,100048
76486238,1,3500,5585,100048
33071850,1,5500,5607,100048
25737248,1,1500,5865,100048
1379020,1,2500,5888,100048
81340523,1,1500,6051,100048
52161111,1,6000,6195,100048
66489138,1,500,6374,100048
60557969,1,3000,6416,100048
98997765,1,1000,6504,100048
26622236,1,6500,6520,100048
8281885,1,4000,6573,100048
34808167,1,500,6693,100048
53520052,1,6000,6859,100048
30003784,1,1500,6925,100048
5023913,1,1500,6981,100048
68264103,1,500,7054,100048
89886461,1,4500,7132,100048
88354479,1,5000,7292,100048
81783800,1,2000,7335,100048
56544477,1,7000,7375,100048
69395934,1,1500,7456,100048
54921975,1,7000,7464,100048
15633768,1,5500,7504,100048
82311436,1,4000,7557,100048
7970409,1,500,7696,100048
21995918,1,6000,7700,100048
5956451,1,3000,7747,100048
89528679,1,5500,7874,100048
91599990,1,2500,7916,100048
91962132,1,3500,7918,100048
13334730,1,2000,7965,100048
83752923,1,7500,8507,100048
16234480,1,4500,8683,100048
71683416,1,1000,8727,100048
42568529,1,8000,8793,100048
31412746,1,6500,8837,100048
34577570,1,4000,8976,100048
58169160,1,7000,9132,100048
81340523,1,7000,9515,100048
87926431,1,6000,9566,100048
44139210,1,500,9585,100048
87095283,1,500,9711,100048
51133312,1,8500,9711,100048
91962132,1,4000,9754,100048
462432,1,7000,9785,100048
2673143,1,1500,9798,100048
90692355,1,4000,10127,100048
8345360,1,2000,10181,100048
54921975,1,9500,10423,100048
31412746,1,4500,10567,100048
8993999,1,6000,10672,100048
54921975,1,9500,10675,100048
4312958,1,7000,10701,100048
40566049,1,10500,10720,0
87926431,1,500,10880,100048
60223762,1,7000,11088,100048
5537834,1,9500,11141,100048
35200765,1,2500,11237,100048
33702271,1,10500,11261,0
99275943,1,10500,11264,0
7278441,1,1500,11393,100048
29386080,1,5000,11417,100048
21362546,1,11500,11842,0
57934882,1,500,11937,100048
63804775,1,1000,11979,100048
16524238,1,12000,12034,0
34262661,1,1000,12043,100048
26564371,1,7000,12170,100048
97747889,1,7000,12248,100048
