key,value,eventTime,arrivalTime,processedTime
63670604,1,1500,2897,100041
85420429,1,1500,4517,100041
83488764,1,2500,4533,100041
75282642,1,3500,5427,100041
19819569,1,1000,5604,100041
33071850,1,5500,5821,100041
26622236,1,6500,6558,100041
52161111,1,6000,6583,100041
72948369,1,3500,6662,100041
44950042,1,4000,7661,100041
56544477,1,7000,8123,100041
54921975,1,7000,8390,100041
53520052,1,6000,8576,100041
73747214,1,3500,8879,100041
76486238,1,3500,9755,100041
42568529,1,8000,10378,100041
83752923,1,7500,10519,100041
21995918,1,6000,11098,100041
40566049,1,10500,11160,0
15633768,1,5500,11511,100041
8281885,1,4000,11719,100041
88354479,1,5000,11875,100041
16524238,1,12000,12100,0
51133312,1,8500,12133,100041
54921975,1,9500,12267,100041
89886461,1,4500,12396,100041
21362546,1,11500,12526,0
89528679,1,5500,12622,100041
1379020,1,2500,12663,100041
33702271,1,10500,12781,0
99275943,1,10500,12790,0
54921975,1,9500,13025,100041
60557969,1,3000,13248,100041
43581846,1,1000,13267,100041
58169160,1,7000,13395,100041
31412746,1,6500,13511,100041
5537834,1,9500,14421,100041
81340523,1,7000,14544,100041
25737248,1,1500,14595,100041
4448187,1,13000,14608,0
82311436,1,4000,14671,100041
81340523,1,1500,15151,100041
462432,1,7000,15355,100041
44603226,1,11500,15758,0
59613547,1,14500,15769,0
72293043,1,15500,16036,0
30522303,1,12500,16076,0
18305203,1,13500,16372,0
78434081,1,16500,16670,0
87926431,1,6000,16698,100041
91962132,1,3500,16752,100041
15983979,1,13000,16867,0
22726351,1,10000,17009,100041
16234480,1,4500,17048,100041
13931066,1,13500,17157,0
5956451,1,3000,17241,100041
98997765,1,1000,17510,100041
61706238,1,12500,17656,0
39059346,1,14000,17731,0
30003784,1,1500,17773,100041
5023913,1,1500,17941,100041
81783800,1,2000,18003,100041
38380712,1,16500,18043,0
4312958,1,7000,18103,100041
66489138,1,500,18121,100041
50144884,1,17500,18372,0
95290079,1,12500,18509,0
91599990,1,2500,18748,100041
44950042,1,17500,18909,0
34577570,1,4000,18928,100041
50144884,1,17500,19055,0
34808167,1,500,19078,100041
30758909,1,19000,19206,0
65282171,1,16000,19252,0
60223762,1,7000,19262,100041
80201190,1,18500,19280,0
69395934,1,1500,19367,100041
84816354,1,8500,19891,100041
13334730,1,2000,19893,100041
78318050,1,16500,19894,0
50330067,1,8500,20001,100041
8993999,1,6000,20015,100041
17954620,1,14500,20155,0
68264103,1,500,20160,100041
61910219,1,15000,20745,0
7544903,1,20500,20998,0
91962132,1,15500,21123,0
91962132,1,4000,21262,100041
71683416,1,12500,21493,0
33200804,1,13000,21513,0
43581846,1,9000,21706,100041
59666432,1,20500,21731,0
57934882,1,20000,21945,0
50246185,1,8500,22085,100041
7970409,1,500,22088,100041
29386080,1,18500,22126,0
70393965,1,15000,22260,0
66959667,1,21500,22377,0
90692355,1,4000,22381,100041
55042840,1,15000,22393,0
26564371,1,7000,22509,100041
31412746,1,4500,22701,100041
99426798,1,22500,22704,0
97747889,1,7000,22744,100041
27613627,1,19000,22843,0
43182572,1,8500,22932,100041
60223762,1,9000,23521,100041
77190295,1,13000,23720,0
58169160,1,9000,23999,100041
95725128,1,21000,24124,0
89886461,1,15000,24140,0
71683416,1,1000,24181,100041
29386080,1,5000,24249,100041
25804512,1,11000,24354,0
18517273,1,14500,24506,0
25737248,1,10500,24547,0
45051218,1,17000,24654,0
77058654,1,14500,24716,0
67549101,1,8500,24976,100041
77190295,1,13500,25108,0
44594109,1,23500,25152,0
41931406,1,22500,25367,0
99970880,1,6000,25571,100041
89886461,1,17500,25670,0
44594109,1,22000,25762,0
15983979,1,12000,25816,0
89389859,1,14000,25910,0
97072575,1,22000,26249,0
2673143,1,1500,26393,100041
8345360,1,2000,26543,100041
63286272,1,18500,26583,0
79093151,1,24000,26632,0
46958933,1,19500,26645,0
67549101,1,7000,26673,100041
85360088,1,10500,26956,0
90692355,1,18500,26967,0
53520052,1,5500,27120,100041
23374822,1,10000,27130,100041
66049973,1,13500,27157,0
59610862,1,23500,27279,0
95379998,1,16000,27294,0
60557969,1,22000,27317,0
52050929,1,18500,27319,0
81340523,1,9000,27443,100041
37419903,1,14500,27624,0
15079656,1,9500,27751,100041
44139210,1,500,27753,100041
4853279,1,11000,27755,0
87095283,1,500,28133,100041
52050929,1,17500,28338,0
