key,value,eventTime,arrivalTime,processedTime
63670604,1,1500,3829,100088
83488764,1,2500,5889,100088
33071850,1,5500,6035,100088
85420429,1,1500,6527,100088
26622236,1,6500,6597,100088
75282642,1,3500,6712,100088
52161111,1,6000,6971,100088
19819569,1,1000,8673,100088
72948369,1,3500,8770,100088
56544477,1,7000,8872,100088
54921975,1,7000,9316,100088
44950042,1,4000,10101,100088
53520052,1,6000,10293,100088
42568529,1,8000,11963,100088
73747214,1,3500,12464,100088
83752923,1,7500,12532,100088
76486238,1,3500,13925,100088
54921975,1,9500,14112,100088
21995918,1,6000,14497,100088
51133312,1,8500,14554,100088
54921975,1,9500,15374,100088
15633768,1,5500,15519,100088
88354479,1,5000,16458,100088
8281885,1,4000,16865,100088
89528679,1,5500,17369,100088
58169160,1,7000,17657,100088
89886461,1,4500,17659,100088
5537834,1,9500,17701,100088
31412746,1,6500,18185,100088
1379020,1,2500,19437,100088
81340523,1,7000,19573,100088
60557969,1,3000,20080,100088
462432,1,7000,20924,100088
43581846,1,1000,21445,100088
22726351,1,10000,21681,100088
82311436,1,4000,21785,100088
25737248,1,1500,23325,100088
87926431,1,6000,23829,100088
81340523,1,1500,24251,100088
16234480,1,4500,25412,100088
4312958,1,7000,25504,100088
91962132,1,3500,25586,100088
5956451,1,3000,26735,100088
60223762,1,7000,27437,100088
84816354,1,8500,27485,100088
50330067,1,8500,27668,100088
98997765,1,1000,28516,100088
30003784,1,1500,28622,100088
81783800,1,2000,28672,100088
34577570,1,4000,28880,100088
5023913,1,1500,28901,100088
8993999,1,6000,29357,100088
91599990,1,2500,29579,100088
66489138,1,500,29867,100088
43581846,1,9000,30177,100088
50246185,1,8500,31141,100088
69395934,1,1500,31278,100088
34808167,1,500,31463,100088
13334730,1,2000,31821,100088
43182572,1,8500,32553,100088
91962132,1,4000,32769,100088
26564371,1,7000,32848,100088
60223762,1,9000,33201,100088
97747889,1,7000,33239,100088
68264103,1,500,33266,100088
58169160,1,9000,33997,100088
90692355,1,4000,34634,100088
31412746,1,4500,34835,100088
67549101,1,8500,35959,100088
7970409,1,500,36480,100088
29386080,1,5000,37081,100088
23374822,1,10000,38550,100088
99970880,1,6000,38619,100088
71683416,1,1000,39634,100088
81340523,1,9000,39737,100088
67549101,1,7000,39787,100088
15079656,1,9500,39917,100088
53520052,1,5500,41533,100088
32464878,1,10000,42455,100088
8345360,1,2000,42904,100088
2673143,1,1500,42988,100088
44139210,1,500,45921,100088
35200765,1,2500,46184,100088
51133312,1,9000,46231,100088
87095283,1,500,46554,100088
83752923,1,7500,46604,100088
52161111,1,6000,46647,100088
17442783,1,3500,47528,100088
70946012,1,3500,47563,100088
43581846,1,7500,48794,100088
31133703,1,6000,49079,100088
58169160,1,8000,49874,100088
7278441,1,1500,50962,100088
95670526,1,5000,51118,100088
4439928,1,9500,52203,100088
87926431,1,500,52400,100088
62178153,1,6500,52529,100088
85360088,1,10000,53192,100088
93885641,1,6000,53886,100088
29386080,1,6000,54193,100088
63670604,1,8000,54393,100088
53520052,1,4500,54780,100088
97747889,1,9500,54931,100088
63804775,1,1000,55893,100088
4158865,1,4500,56072,100088
34262661,1,1000,56213,100088
2982962,1,9000,57180,100088
57934882,1,500,57684,100088
75881404,1,6500,57889,100088
52161111,1,4500,57895,100088
53520052,1,5000,58083,100088
54779257,1,10000,58200,100088
2982962,1,1500,58244,100088
53203639,1,3500,58364,100088
57934882,1,6000,59337,100088
98887553,1,1000,62354,100088
67571357,1,6000,63507,100088
31895428,1,1000,63556,100088
57934882,1,4500,63575,100088
53520052,1,4500,63605,100088
7278441,1,9500,64177,100088
29386080,1,5000,65503,100088
6890257,1,1000,65592,100088
31412746,1,5000,66062,100088
43581846,1,9000,66444,100088
36488048,1,2500,66696,100088
6890257,1,9000,67159,100088
69395934,1,7500,67331,100088
54770126,1,5000,67517,100088
13749309,1,10000,68173,100088
57934882,1,5000,68705,100088
58169160,1,7500,69078,100088
50330067,1,8000,69194,100088
95837972,1,8500,69362,100088
31412746,1,5500,69558,100088
41125719,1,9500,70005,100088
4312958,1,7500,70077,100088
82311436,1,4500,71270,100088
4439928,1,9000,71769,100088
63804775,1,4500,72731,100088
12476853,1,2500,72747,100088
32412154,1,1000,73041,100088
84816354,1,9000,73313,100088
1296214,1,500,74686,100088
4312958,1,8500,75014,100088
87095283,1,3000,75490,100088
22726351,1,2500,75553,100088
46289212,1,5500,75699,100088
57934882,1,5500,75702,100088
56219429,1,2500,77400,100088
84816354,1,8500,77544,100088
37181123,1,7500,77780,100088
70652512,1,3000,78531,100088
66538156,1,10000,78625,100088
75234615,1,500,78814,100088
75881404,1,9500,78946,100088
29755629,1,3000,79774,100088
39553946,1,8000,79882,100088
33071850,1,1000,80204,100088
44594109,1,2500,80380,100088
93776043,1,1000,81132,100088
84816354,1,9500,81353,100088
28425641,1,3000,81423,100088
15079656,1,7000,81743,100088
22610914,1,1500,82247,100088
54921975,1,7000,82525,100088
95670526,1,4500,82580,100088
81340523,1,8000,83465,100088
27308352,1,6000,83476,100088
56119285,1,2000,84301,100088
44594109,1,500,84382,100088
44950042,1,4500,86558,100088
89884176,1,3000,86615,100088
44594109,1,2500,86698,100088
46289212,1,5500,87147,100088
83752923,1,1500,87413,100088
81340523,1,9000,87666,100088
82060503,1,10000,89285,100088
45023542,1,10000,90582,100088
85360088,1,10000,91373,100088
32922355,1,2000,92236,100088
54670282,1,8000,92921,100088
3887941,1,3500,93396,100088
50935134,1,8500,93488,100088
57934882,1,5500,93698,100088
89528679,1,6000,93706,100088
79093151,1,3000,94338,100088
91962132,1,3500,95617,100088
99562230,1,3000,96122,100088
42568529,1,7500,96968,100088
50330067,1,8500,97348,100088
41125719,1,9000,97407,100088
11723396,1,1000,98053,100088
85360088,1,10000,98109,100088
8281885,1,4000,98205,100088
