key,value,eventTime,arrivalTime,processedTime
63670604,1,1500,2059,11245
85420429,1,1500,2707,11245
19819569,1,1000,2842,11245
83488764,1,2500,3314,11245
75282642,1,3500,4271,11245
72948369,1,3500,4765,11245
44950042,1,4000,5465,11245
33071850,1,5500,5629,11245
73747214,1,3500,5652,11245
43581846,1,1000,5907,11245
76486238,1,3500,6002,11245
52161111,1,6000,6234,11245
26622236,1,6500,6524,11245
1379020,1,2500,6565,11245
25737248,1,1500,6738,11245
81340523,1,1500,6961,11245
53520052,1,6000,7031,11245
8281885,1,4000,7088,11245
60557969,1,3000,7099,11245
56544477,1,7000,7450,11245
66489138,1,500,7549,11245
54921975,1,7000,7556,11245
98997765,1,1000,7604,11245
89886461,1,4500,7659,11245
88354479,1,5000,7750,11245
15633768,1,5500,7905,11245
34808167,1,500,7931,11245
30003784,1,1500,8010,11245
21995918,1,6000,8040,11245
5023913,1,1500,8077,11245
82311436,1,4000,8269,11245
89528679,1,5500,8349,11245
68264103,1,500,8364,11245
81783800,1,2000,8402,11245
69395934,1,1500,8647,11245
5956451,1,3000,8697,11245
83752923,1,7500,8708,11245
91962132,1,3500,8801,11245
42568529,1,8000,8952,11245
91599990,1,2500,8999,11245
7970409,1,500,9136,11245
13334730,1,2000,9157,11245
31412746,1,6500,9305,11245
16234480,1,4500,9519,11245
58169160,1,7000,9558,11245
51133312,1,8500,9953,11245
34577570,1,4000,9972,11245
81340523,1,7000,10018,11245
