key,value,eventTime,arrivalTime,processedTime
63670604,1,1500,1920,99240
19819569,1,1000,2382,99240
85420429,1,1500,2405,99240
83488764,1,2500,3110,99240
75282642,1,3500,4079,99240
72948369,1,3500,4449,99240
43581846,1,1000,4680,99240
44950042,1,4000,5099,99240
73747214,1,3500,5114,99240
76486238,1,3500,5377,99240
25737248,1,1500,5429,99240
1379020,1,2500,5549,99240
81340523,1,1500,5596,99240
33071850,1,5500,5597,99240
66489138,1,500,5787,99240
98997765,1,1000,5953,99240
34808167,1,500,6074,99240
60557969,1,3000,6075,99240
52161111,1,6000,6175,99240
8281885,1,4000,6316,99240
30003784,1,1500,6382,99240
68264103,1,500,6398,99240
5023913,1,1500,6433,99240
26622236,1,6500,6518,99240
53520052,1,6000,6773,99240
81783800,1,2000,6801,99240
69395934,1,1500,6860,99240
89886461,1,4500,6869,99240
7970409,1,500,6977,99240
88354479,1,5000,7063,99240
82311436,1,4000,7202,99240
5956451,1,3000,7273,99240
15633768,1,5500,7304,99240
56544477,1,7000,7337,99240
13334730,1,2000,7368,99240
91599990,1,2500,7375,99240
54921975,1,7000,7417,99240
91962132,1,3500,7476,99240
21995918,1,6000,7530,99240
89528679,1,5500,7637,99240
71683416,1,1000,7955,99240
16234480,1,4500,8265,99240
83752923,1,7500,8406,99240
34577570,1,4000,8479,99240
31412746,1,6500,8604,99240
44139210,1,500,8676,99240
42568529,1,8000,8714,99240
87095283,1,500,8790,99240
58169160,1,7000,8919,99240
2673143,1,1500,8968,99240
91962132,1,4000,9179,99240
87926431,1,6000,9210,99240
81340523,1,7000,9263,99240
8345360,1,2000,9363,99240
462432,1,7000,9507,99240
90692355,1,4000,9515,99240
51133312,1,8500,9590,99240
87926431,1,500,9842,99240
31412746,1,4500,9961,99240
8993999,1,6000,10205,99240
4312958,1,7000,10331,99240
54921975,1,9500,10331,99240
35200765,1,2500,10363,99240
7278441,1,1500,10404,99240
54921975,1,9500,10558,99240
60223762,1,7000,10679,99240
29386080,1,5000,10775,99240
57934882,1,500,10794,99240
63804775,1,1000,10881,99240
34262661,1,1000,10939,99240
5537834,1,9500,10977,99240
17442783,1,3500,11426,99240
70946012,1,3500,11432,99240
26564371,1,7000,11653,99240
2982962,1,1500,11714,99240
97747889,1,7000,11723,99240
99970880,1,6000,11872,99240
84816354,1,8500,11918,99240
50330067,1,8500,11951,99240
53520052,1,5500,11986,99240
98887553,1,1000,12044,99240
22726351,1,10000,12103,99240
31895428,1,1000,12260,99240
50246185,1,8500,12576,99240
