key,value,eventTime,arrivalTime,processedTime
96,0,250,284,14929
98,0,250,321,14929
84,0,250,495,14929
26,0,250,559,14929
2,0,500,578,14929
32,0,500,584,14929
22,0,500,605,14929
11,0,250,609,14929
13,0,250,653,14929
72,0,500,671,14929
36,0,500,720,14929
49,0,500,801,14929
93,0,750,811,14929
17,0,500,817,14929
56,0,750,837,14929
71,0,250,852,14929
54,0,500,854,14929
89,0,500,884,14929
78,0,250,899,14929
25,0,500,970,14929
1,0,500,1002,14929
97,0,250,1003,14929
67,0,500,1019,14929
56,0,750,1096,14929
42,0,250,1102,14929
37,0,1000,1127,14929
83,0,250,1137,14929
63,0,750,1145,14929
68,0,750,1161,14929
46,0,1000,1194,14929
60,0,1000,1208,14929
53,0,750,1209,14929
13,0,1000,1228,14929
74,0,750,1234,14929
26,0,750,1260,14929
9,0,500,1261,14929
24,0,500,1271,14929
75,0,1250,1311,14929
82,0,500,1322,14929
44,0,1250,1350,14929
8,0,250,1397,14929
21,0,250,1436,14929
11,0,1250,1436,14929
82,0,1250,1437,14929
56,0,250,1439,14929
27,0,500,1461,14929
13,0,1000,1472,14929
27,0,250,1481,14929
12,0,500,1500,14929
89,0,1500,1513,14929
13,0,250,1545,14929
59,0,1000,1567,14929
38,0,1000,1571,14929
57,0,250,1610,14929
74,0,1000,1641,14929
53,0,500,1646,14929
18,0,1000,1649,14929
96,0,1250,1652,14929
95,0,250,1672,14929
54,0,1500,1673,14929
26,0,1500,1680,14929
11,0,500,1701,14929
72,0,1250,1705,14929
63,0,500,1762,14929
86,0,250,1777,14929
58,0,750,1790,14929
91,0,1750,1795,14929
100,0,1000,1809,14929
96,0,1000,1816,14929
7,0,1500,1823,14929
6,0,1250,1853,14929
89,0,1500,1854,14929
4,0,1750,1861,14929
21,0,750,1884,14929
56,0,250,1890,14929
73,0,1000,1897,14929
86,0,1500,1926,14929
89,0,250,1934,14929
66,0,1000,1937,14929
83,0,1750,1943,14929
39,0,1500,1954,14929
36,0,500,2009,14929
12,0,250,2024,14929
28,0,1750,2029,14929
52,0,2000,2029,14929
36,0,1250,2032,14929
89,0,1250,2033,14929
6,0,250,2037,14929
25,0,1750,2042,14929
72,0,1250,2043,14929
38,0,1250,2054,14929
11,0,750,2075,14929
89,0,750,2081,14929
99,0,1000,2089,14929
48,0,250,2130,14929
48,0,2000,2138,14929
65,0,1750,2198,14929
91,0,1000,2211,14929
10,0,1000,2228,14929
2,0,250,2234,14929
55,0,250,2234,14929
22,0,2000,2237,14929
67,0,1250,2277,14929
41,0,500,2289,14929
30,0,2000,2301,14929
8,0,2250,2303,14929
48,0,1500,2314,14929
99,0,2000,2319,14929
5,0,250,2337,14929
73,0,1250,2382,14929
30,0,1250,2386,14929
83,0,1000,2389,14929
35,0,2250,2398,14929
87,0,1750,2405,14929
60,0,1500,2411,14929
22,0,1500,2414,14929
89,0,2000,2419,14929
84,0,1000,2440,14929
27,0,2250,2450,14929
42,0,500,2457,14929
74,0,750,2466,14929
59,0,750,2468,14929
73,0,750,2474,14929
41,0,2000,2498,14929
24,0,1500,2500,14929
54,0,1750,2516,14929
80,0,1500,2540,14929
84,0,1250,2552,14929
76,0,2250,2556,14929
51,0,2500,2556,14929
10,0,1000,2591,14929
55,0,1000,2595,14929
65,0,500,2598,14929
21,0,1500,2623,14929
76,0,2000,2623,14929
93,0,2500,2628,14929
92,0,1250,2636,14929
57,0,2500,2641,14929
67,0,1250,2648,14929
16,0,250,2669,14929
19,0,1250,2675,14929
70,0,1500,2697,14929
49,0,1000,2707,14929
76,0,2000,2716,14929
93,0,750,2717,14929
82,0,500,2718,14929
69,0,250,2723,14929
97,0,0,2731,14929
14,0,1250,2734,14929
81,0,1750,2743,14929
76,0,2500,2744,14929
10,0,1250,2759,14929
64,0,2250,2780,14929
54,0,500,2785,14929
90,0,1000,2797,14929
89,0,2750,2800,14929
96,0,500,2822,14929
52,0,2750,2830,14929
46,0,500,2840,14929
53,0,750,2856,14929
43,0,1500,2867,14929
14,0,2750,2878,14929
36,0,500,2893,14929
29,0,1750,2905,14929
89,0,2500,2908,14929
30,0,250,2918,14929
72,0,2000,2940,14929
19,0,1250,2942,14929
4,0,1500,2943,14929
35,0,2250,2958,14929
43,0,2250,2998,14929
17,0,1750,3004,14929
36,0,1750,3017,14929
48,0,1250,3049,14929
65,0,1250,3055,14929
24,0,750,3055,14929
25,0,1000,3063,14929
3,0,2750,3063,14929
3,0,250,3063,14929
1,0,2000,3081,14929
70,0,250,3085,14929
36,0,1000,3087,14929
59,0,250,3089,14929
69,0,1000,3089,14929
55,0,750,3093,14929
80,0,750,3094,14929
72,0,2500,3099,14929
16,0,1500,3099,14929
7,0,3000,3107,14929
23,0,2750,3114,14929
100,0,1250,3127,14929
19,0,2750,3129,14929
97,0,1250,3136,14929
39,0,1500,3166,14929
52,0,250,3177,14929
43,0,2250,3190,14929
37,0,2750,3192,14929
68,0,2750,3194,14929
1,0,2250,3194,14929
42,0,1750,3212,14929
73,0,2000,3226,14929
26,0,1000,3232,14929
94,0,250,3233,14929
41,0,1250,3239,14929
41,0,250,3241,14929
92,0,1500,3244,14929
36,0,750,3270,14929
47,0,3000,3278,14929
94,0,750,3287,14929
72,0,1000,3289,14929
74,0,1750,3290,14929
87,0,1250,3295,14929
14,0,2000,3303,14929
93,0,2750,3318,14929
16,0,750,3321,14929
39,0,1000,3325,14929
71,0,2750,3326,14929
13,0,1250,3365,14929
47,0,1500,3379,14929
14,0,500,3396,14929
53,0,2250,3449,14929
55,0,500,3459,14929
78,0,2750,3471,14929
33,0,3000,3474,14929
69,0,1750,3481,14929
64,0,3250,3502,14929
52,0,1750,3510,14929
92,0,1000,3515,14929
69,0,2250,3517,14929
1,0,2250,3518,14929
20,0,250,3530,14929
51,0,750,3531,14929
39,0,750,3531,14929
36,0,3250,3541,14929
60,0,250,3545,14929
23,0,2500,3546,14929
94,0,500,3555,14929
22,0,2250,3558,14929
80,0,1000,3566,14929
19,0,3250,3568,14929
17,0,750,3583,14929
40,0,2750,3589,14929
69,0,500,3614,14929
80,0,3500,3618,14929
85,0,2000,3618,14929
23,0,3500,3621,14929
49,0,3500,3622,14929
46,0,1750,3635,14929
27,0,1000,3643,14929
9,0,2250,3651,14929
95,0,2000,3652,14929
86,0,1000,3660,14929
100,0,2500,3661,14929
20,0,1750,3661,14929
57,0,3500,3661,14929
41,0,3000,3663,14929
42,0,1500,3664,14929
89,0,1250,3669,14929
77,0,3000,3690,14929
13,0,1750,3691,14929
27,0,2250,3695,14929
83,0,2500,3696,14929
78,0,250,3709,14929
27,0,1750,3725,14929
99,0,1250,3728,14929
69,0,750,3731,14929
13,0,1750,3732,14929
20,0,500,3740,14929
68,0,2000,3743,14929
89,0,3250,3744,14929
41,0,3500,3748,14929
52,0,2000,3766,14929
27,0,1250,3766,14929
72,0,2500,3775,14929
27,0,1000,3778,14929
88,0,3250,3780,14929
49,0,2500,3795,14929
