key,value,eventTime,arrivalTime,processedTime
97,0,0,2731,10061
96,0,5000,5034,10061
98,0,5000,5071,10061
84,0,5000,5245,10061
26,0,5000,5309,10061
11,0,5000,5359,10061
13,0,5000,5403,10061
71,0,5000,5602,10061
78,0,5000,5649,10061
97,0,5000,5753,10061
42,0,5000,5852,10061
83,0,5000,5887,10061
8,0,5000,6147,10061
21,0,5000,6186,10061
56,0,5000,6189,10061
27,0,5000,6231,10061
13,0,5000,6295,10061
57,0,5000,6360,10061
95,0,5000,6422,10061
86,0,5000,6527,10061
56,0,5000,6640,10061
89,0,5000,6684,10061
12,0,5000,6774,10061
6,0,5000,6787,10061
48,0,5000,6880,10061
2,0,5000,6984,10061
55,0,5000,6984,10061
5,0,5000,7087,10061
16,0,5000,7419,10061
69,0,5000,7473,10061
30,0,5000,7668,10061
3,0,5000,7813,10061
70,0,5000,7835,10061
59,0,5000,7839,10061
52,0,5000,7927,10061
94,0,5000,7983,10061
41,0,5000,7991,10061
20,0,5000,8280,10061
60,0,5000,8295,10061
78,0,5000,8459,10061
67,0,5000,8666,10061
29,0,5000,8702,10061
85,0,5000,8731,10061
56,0,5000,8929,10061
29,0,5000,8987,10061
27,0,5000,9088,10061
15,0,5000,9313,10061
29,0,5000,9335,10061
42,0,5000,9354,10061
39,0,5000,9845,10061
27,0,5000,9854,10061
