key,value,eventTime,arrivalTime,processedTime
96,0,250,284,10053
98,0,250,321,10053
84,0,250,495,10053
26,0,250,559,10053
2,0,500,578,10053
32,0,500,584,10053
22,0,500,605,10053
11,0,250,609,10053
13,0,250,653,10053
72,0,500,671,10053
36,0,500,720,10053
49,0,500,801,10053
93,0,750,811,10053
17,0,500,817,10053
56,0,750,837,10053
71,0,250,852,10053
54,0,500,854,10053
89,0,500,884,10053
78,0,250,899,10053
25,0,500,970,10053
1,0,500,1002,10053
97,0,250,1003,10053
67,0,500,1019,10053
56,0,750,1096,10053
42,0,250,1102,10053
37,0,1000,1127,10053
83,0,250,1137,10053
63,0,750,1145,10053
68,0,750,1161,10053
46,0,1000,1194,10053
60,0,1000,1208,10053
53,0,750,1209,10053
13,0,1000,1228,10053
74,0,750,1234,10053
26,0,750,1260,10053
9,0,500,1261,10053
24,0,500,1271,10053
75,0,1250,1311,10053
82,0,500,1322,10053
44,0,1250,1350,10053
8,0,250,1397,10053
21,0,250,1436,10053
11,0,1250,1436,10053
82,0,1250,1437,10053
56,0,250,1439,10053
27,0,500,1461,10053
13,0,1000,1472,10053
27,0,250,1481,10053
12,0,500,1500,10053
89,0,1500,1513,10053
13,0,250,1545,10053
59,0,1000,1567,10053
38,0,1000,1571,10053
57,0,250,1610,10053
74,0,1000,1641,10053
53,0,500,1646,10053
18,0,1000,1649,10053
96,0,1250,1652,10053
95,0,250,1672,10053
54,0,1500,1673,10053
26,0,1500,1680,10053
11,0,500,1701,10053
72,0,1250,1705,10053
63,0,500,1762,10053
86,0,250,1777,10053
58,0,750,1790,10053
91,0,1750,1795,10053
100,0,1000,1809,10053
96,0,1000,1816,10053
7,0,1500,1823,10053
6,0,1250,1853,10053
89,0,1500,1854,10053
4,0,1750,1861,10053
21,0,750,1884,10053
56,0,250,1890,10053
73,0,1000,1897,10053
86,0,1500,1926,10053
89,0,250,1934,10053
66,0,1000,1937,10053
83,0,1750,1943,10053
39,0,1500,1954,10053
36,0,500,2009,10053
12,0,250,2024,10053
28,0,1750,2029,10053
52,0,2000,2029,10053
36,0,1250,2032,10053
89,0,1250,2033,10053
6,0,250,2037,10053
25,0,1750,2042,10053
72,0,1250,2043,10053
38,0,1250,2054,10053
11,0,750,2075,10053
89,0,750,2081,10053
99,0,1000,2089,10053
48,0,250,2130,10053
48,0,2000,2138,10053
65,0,1750,2198,10053
91,0,1000,2211,10053
10,0,1000,2228,10053
2,0,250,2234,10053
55,0,250,2234,10053
22,0,2000,2237,10053
67,0,1250,2277,10053
41,0,500,2289,10053
30,0,2000,2301,10053
8,0,2250,2303,10053
48,0,1500,2314,10053
99,0,2000,2319,10053
5,0,250,2337,10053
73,0,1250,2382,10053
30,0,1250,2386,10053
83,0,1000,2389,10053
35,0,2250,2398,10053
87,0,1750,2405,10053
60,0,1500,2411,10053
22,0,1500,2414,10053
89,0,2000,2419,10053
84,0,1000,2440,10053
27,0,2250,2450,10053
42,0,500,2457,10053
74,0,750,2466,10053
59,0,750,2468,10053
73,0,750,2474,10053
41,0,2000,2498,10053
24,0,1500,2500,10053
54,0,1750,2516,10053
80,0,1500,2540,10053
84,0,1250,2552,10053
76,0,2250,2556,10053
51,0,2500,2556,10053
10,0,1000,2591,10053
55,0,1000,2595,10053
65,0,500,2598,10053
21,0,1500,2623,10053
76,0,2000,2623,10053
93,0,2500,2628,10053
92,0,1250,2636,10053
57,0,2500,2641,10053
67,0,1250,2648,10053
16,0,250,2669,10053
19,0,1250,2675,10053
70,0,1500,2697,10053
49,0,1000,2707,10053
76,0,2000,2716,10053
93,0,750,2717,10053
82,0,500,2718,10053
69,0,250,2723,10053
97,0,0,2731,10053
14,0,1250,2734,10053
81,0,1750,2743,10053
76,0,2500,2744,10053
10,0,1250,2759,10053
64,0,2250,2780,10053
54,0,500,2785,10053
90,0,1000,2797,10053
89,0,2750,2800,10053
96,0,500,2822,10053
52,0,2750,2830,10053
46,0,500,2840,10053
53,0,750,2856,10053
43,0,1500,2867,10053
14,0,2750,2878,10053
36,0,500,2893,10053
29,0,1750,2905,10053
89,0,2500,2908,10053
30,0,250,2918,10053
72,0,2000,2940,10053
19,0,1250,2942,10053
4,0,1500,2943,10053
35,0,2250,2958,10053
43,0,2250,2998,10053
17,0,1750,3004,10053
36,0,1750,3017,10053
48,0,1250,3049,10053
65,0,1250,3055,10053
24,0,750,3055,10053
25,0,1000,3063,10053
3,0,2750,3063,10053
3,0,250,3063,10053
1,0,2000,3081,10053
70,0,250,3085,10053
36,0,1000,3087,10053
59,0,250,3089,10053
69,0,1000,3089,10053
55,0,750,3093,10053
80,0,750,3094,10053
72,0,2500,3099,10053
16,0,1500,3099,10053
7,0,3000,3107,10053
23,0,2750,3114,10053
100,0,1250,3127,10053
19,0,2750,3129,10053
97,0,1250,3136,10053
39,0,1500,3166,10053
52,0,250,3177,10053
43,0,2250,3190,10053
37,0,2750,3192,10053
68,0,2750,3194,10053
1,0,2250,3194,10053
42,0,1750,3212,10053
73,0,2000,3226,10053
26,0,1000,3232,10053
94,0,250,3233,10053
41,0,1250,3239,10053
41,0,250,3241,10053
92,0,1500,3244,10053
36,0,750,3270,10053
47,0,3000,3278,10053
94,0,750,3287,10053
72,0,1000,3289,10053
74,0,1750,3290,10053
87,0,1250,3295,10053
14,0,2000,3303,10053
93,0,2750,3318,10053
16,0,750,3321,10053
39,0,1000,3325,10053
71,0,2750,3326,10053
13,0,1250,3365,10053
47,0,1500,3379,10053
14,0,500,3396,10053
53,0,2250,3449,10053
55,0,500,3459,10053
78,0,2750,3471,10053
33,0,3000,3474,10053
69,0,1750,3481,10053
64,0,3250,3502,10053
52,0,1750,3510,10053
92,0,1000,3515,10053
69,0,2250,3517,10053
1,0,2250,3518,10053
20,0,250,3530,10053
51,0,750,3531,10053
39,0,750,3531,10053
36,0,3250,3541,10053
60,0,250,3545,10053
23,0,2500,3546,10053
94,0,500,3555,10053
22,0,2250,3558,10053
80,0,1000,3566,10053
19,0,3250,3568,10053
17,0,750,3583,10053
40,0,2750,3589,10053
69,0,500,3614,10053
80,0,3500,3618,10053
85,0,2000,3618,10053
23,0,3500,3621,10053
49,0,3500,3622,10053
46,0,1750,3635,10053
27,0,1000,3643,10053
9,0,2250,3651,10053
95,0,2000,3652,10053
86,0,1000,3660,10053
100,0,2500,3661,10053
20,0,1750,3661,10053
57,0,3500,3661,10053
41,0,3000,3663,10053
42,0,1500,3664,10053
89,0,1250,3669,10053
77,0,3000,3690,10053
13,0,1750,3691,10053
27,0,2250,3695,10053
83,0,2500,3696,10053
78,0,250,3709,10053
27,0,1750,3725,10053
99,0,1250,3728,10053
69,0,750,3731,10053
13,0,1750,3732,10053
20,0,500,3740,10053
68,0,2000,3743,10053
89,0,3250,3744,10053
41,0,3500,3748,10053
52,0,2000,3766,10053
27,0,1250,3766,10053
72,0,2500,3775,10053
27,0,1000,3778,10053
88,0,3250,3780,10053
49,0,2500,3795,10053
49,0,2000,3811,10053
12,0,1750,3812,10053
37,0,3000,3820,10053
45,0,2250,3840,10053
100,0,2500,3840,10053
61,0,2250,3846,10053
46,0,3250,3849,10053
72,0,3000,3850,10053
38,0,3750,3854,10053
54,0,500,3857,10053
78,0,3500,3881,10053
16,0,750,3885,10053
100,0,3250,3895,10053
4,0,3500,3897,10053
1,0,2750,3898,10053
98,0,2500,3906,10053
48,0,2500,3912,10053
27,0,3000,3914,10053
67,0,250,3916,10053
58,0,2000,3924,10053
40,0,2500,3924,10053
50,0,1500,3936,10053
82,0,1750,3940,10053
29,0,250,3952,10053
20,0,2000,3960,10053
54,0,3250,3968,10053
83,0,1000,3973,10053
97,0,500,3975,10053
85,0,250,3981,10053
66,0,1750,3986,10053
50,0,1500,3995,10053
52,0,500,3997,10053
12,0,2000,4018,10053
47,0,3250,4020,10053
64,0,3500,4032,10053
71,0,3250,4048,10053
58,0,3250,4053,10053
39,0,3500,4059,10053
23,0,3500,4068,10053
57,0,3750,4078,10053
63,0,1750,4081,10053
59,0,3250,4100,10053
70,0,3250,4101,10053
61,0,4000,4108,10053
78,0,3500,4110,10053
52,0,2000,4117,10053
89,0,3500,4121,10053
18,0,1250,4126,10053
88,0,750,4148,10053
73,0,3250,4165,10053
96,0,3750,4168,10053
3,0,3000,4169,10053
63,0,3750,4176,10053
56,0,250,4179,10053
11,0,2250,4181,10053
45,0,2000,4197,10053
29,0,3000,4198,10053
62,0,3000,4200,10053
37,0,1000,4201,10053
85,0,3000,4215,10053
67,0,1000,4215,10053
57,0,2000,4216,10053
71,0,2250,4227,10053
14,0,2500,4233,10053
36,0,1250,4236,10053
29,0,250,4237,10053
32,0,1750,4239,10053
20,0,3500,4244,10053
77,0,3250,4271,10053
68,0,3500,4274,10053
77,0,3750,4281,10053
74,0,1250,4288,10053
35,0,500,4294,10053
85,0,1000,4303,10053
85,0,1500,4303,10053
34,0,2000,4304,10053
66,0,1250,4306,10053
70,0,3750,4309,10053
45,0,2250,4312,10053
40,0,3500,4319,10053
39,0,3000,4323,10053
49,0,2250,4333,10053
27,0,250,4338,10053
48,0,3250,4351,10053
17,0,1750,4372,10053
10,0,3750,4374,10053
55,0,1500,4381,10053
43,0,2500,4388,10053
29,0,1000,4396,10053
54,0,2750,4399,10053
43,0,1000,4403,10053
66,0,2500,4405,10053
79,0,500,4413,10053
11,0,3000,4417,10053
81,0,1000,4425,10053
75,0,1000,4428,10053
92,0,1500,4432,10053
54,0,2750,4435,10053
95,0,3000,4436,10053
23,0,750,4443,10053
66,0,1000,4447,10053
11,0,2000,4451,10053
3,0,2250,4455,10053
51,0,3250,4463,10053
43,0,1250,4471,10053
97,0,3750,4480,10053
81,0,3500,4481,10053
8,0,750,4485,10053
27,0,3750,4489,10053
79,0,4000,4492,10053
44,0,2750,4494,10053
9,0,4250,4497,10053
91,0,3750,4502,10053
1,0,3500,4507,10053
7,0,2000,4508,10053
8,0,3750,4513,10053
29,0,1000,4521,10053
88,0,3500,4532,10053
80,0,2250,4539,10053
15,0,250,4563,10053
84,0,500,4569,10053
100,0,1750,4570,10053
80,0,750,4572,10053
77,0,4250,4576,10053
90,0,2500,4580,10053
10,0,4250,4583,10053
29,0,250,4585,10053
48,0,2500,4586,10053
12,0,1500,4592,10053
93,0,1250,4593,10053
28,0,2750,4594,10053
71,0,2000,4602,10053
42,0,250,4604,10053
98,0,1750,4608,10053
3,0,3000,4614,10053
15,0,3250,4634,10053
44,0,4000,4641,10053
61,0,1250,4649,10053
34,0,1750,4660,10053
16,0,500,4680,10053
60,0,3750,4689,10053
1,0,3250,4691,10053
9,0,500,4695,10053
41,0,4000,4700,10053
32,0,4500,4707,10053
53,0,3000,4710,10053
27,0,2250,4710,10053
77,0,4500,4714,10053
32,0,1750,4717,10053
37,0,2750,4719,10053
91,0,750,4721,10053
71,0,3750,4727,10053
96,0,4250,4729,10053
24,0,1500,4733,10053
16,0,1750,4735,10053
50,0,3750,4736,10053
43,0,1000,4738,10053
51,0,4500,4741,10053
30,0,4250,4742,10053
42,0,750,4743,10053
88,0,1750,4744,10053
71,0,3750,4750,10053
75,0,2250,4750,10053
55,0,1500,4751,10053
36,0,4000,4752,10053
38,0,2750,4754,10053
46,0,500,4760,10053
34,0,3500,4760,10053
60,0,3000,4761,10053
37,0,3750,4771,10053
91,0,3000,4772,10053
50,0,1000,4797,10053
39,0,4250,4800,10053
53,0,3750,4809,10053
66,0,2750,4811,10053
42,0,3000,4816,10053
50,0,500,4816,10053
44,0,750,4819,10053
11,0,4250,4822,10053
30,0,4250,4825,10053
51,0,4750,4827,10053
71,0,2250,4831,10053
94,0,1500,4838,10053
7,0,4250,4850,10053
75,0,4250,4875,10053
89,0,4750,4877,10053
21,0,4000,4878,10053
94,0,750,4883,10053
98,0,4250,4884,10053
85,0,3000,4898,10053
9,0,3750,4903,10053
17,0,2250,4904,10053
15,0,2500,4905,10053
82,0,1500,4908,10053
53,0,500,4909,10053
73,0,1750,4914,10053
2,0,4500,4925,10053
24,0,3750,4942,10053
26,0,750,4943,10053
22,0,4750,4949,10053
48,0,4500,4951,10053
16,0,4750,4954,10053
74,0,4500,4965,10053
84,0,1000,4967,10053
82,0,3000,4969,10053
14,0,1500,4971,10053
99,0,1750,4972,10053
76,0,2000,4974,10053
22,0,3750,4976,10053
100,0,4000,4995,10053
98,0,750,4996,10053
47,0,1250,5004,10053
56,0,2000,5009,10053
10,0,750,5010,10053
92,0,2750,5017,10053
43,0,2500,5022,10053
95,0,1250,5025,10053
26,0,2000,5032,10053
54,0,1000,5034,10053
32,0,2750,5036,10053
51,0,4750,5040,10053
90,0,500,5043,10053
92,0,3000,5044,10053
77,0,500,5055,10053
93,0,3000,5063,10053
48,0,2250,5069,10053
7,0,750,5071,10053
36,0,4000,5083,10053
92,0,3250,5084,10053
89,0,4500,5090,10053
39,0,250,5095,10053
35,0,4000,5099,10053
27,0,250,5104,10053
45,0,4500,5112,10053
13,0,500,5114,10053
6,0,2000,5115,10053
32,0,2500,5117,10053
77,0,4000,5117,10053
49,0,2250,5119,10053
67,0,2500,5119,10053
52,0,4250,5120,10053
65,0,4500,5121,10053
90,0,2250,5127,10053
53,0,1000,5131,10053
68,0,2750,5138,10053
99,0,3000,5150,10053
48,0,750,5151,10053
39,0,4750,5152,10053
4,0,1500,5168,10053
85,0,3500,5177,10053
18,0,3750,5182,10053
92,0,1250,5187,10053
92,0,1500,5200,10053
25,0,2250,5214,10053
52,0,5000,5226,10053
85,0,750,5247,10053
59,0,5250,5251,10053
7,0,1250,5257,10053
36,0,750,5262,10053
51,0,2000,5265,10053
10,0,5250,5269,10053
14,0,3250,5277,10053
80,0,3000,5282,10053
71,0,3500,5286,10053
47,0,5250,5287,10053
90,0,2500,5296,10053
13,0,4750,5300,10053
74,0,4000,5303,10053
67,0,1500,5312,10053
79,0,5250,5321,10053
59,0,3250,5323,10053
31,0,750,5331,10053
95,0,750,5332,10053
49,0,4250,5337,10053
54,0,3000,5340,10053
2,0,1750,5340,10053
82,0,1500,5350,10053
74,0,2000,5360,10053
24,0,2000,5362,10053
8,0,750,5377,10053
46,0,5000,5377,10053
73,0,5250,5379,10053
92,0,4250,5383,10053
86,0,500,5384,10053
74,0,1500,5389,10053
1,0,4750,5390,10053
38,0,2000,5395,10053
10,0,500,5400,10053
81,0,4500,5403,10053
82,0,2250,5404,10053
66,0,2750,5406,10053
59,0,1000,5410,10053
21,0,4750,5419,10053
1,0,4500,5419,10053
91,0,1500,5424,10053
91,0,2000,5427,10053
62,0,750,5430,10053
19,0,2500,5440,10053
27,0,3250,5442,10053
1,0,3000,5443,10053
44,0,5000,5456,10053
37,0,4250,5467,10053
65,0,2500,5472,10053
79,0,4750,5472,10053
24,0,3000,5480,10053
59,0,5250,5486,10053
7,0,2500,5487,10053
81,0,4250,5492,10053
48,0,1500,5494,10053
79,0,5000,5494,10053
60,0,2500,5500,10053
92,0,2750,5513,10053
11,0,4500,5513,10053
76,0,5500,5517,10053
12,0,2500,5519,10053
93,0,3500,5522,10053
16,0,5500,5528,10053
6,0,3250,5534,10053
37,0,2000,5545,10053
69,0,3000,5550,10053
93,0,3000,5552,10053
85,0,750,5554,10053
95,0,1250,5556,10053
12,0,750,5558,10053
44,0,4000,5563,10053
48,0,4750,5571,10053
10,0,2250,5581,10053
28,0,2750,5592,10053
70,0,1750,5603,10053
16,0,4250,5605,10053
89,0,2250,5608,10053
62,0,4750,5611,10053
61,0,3750,5632,10053
11,0,5500,5634,10053
35,0,2750,5635,10053
28,0,2250,5640,10053
68,0,2500,5641,10053
43,0,4250,5643,10053
51,0,5250,5649,10053
17,0,5500,5651,10053
29,0,2750,5656,10053
98,0,1500,5662,10053
57,0,4250,5672,10053
97,0,1250,5675,10053
82,0,3500,5678,10053
13,0,4500,5681,10053
84,0,4750,5682,10053
45,0,1500,5685,10053
56,0,5000,5687,10053
51,0,1250,5688,10053
92,0,2000,5696,10053
16,0,4750,5705,10053
68,0,750,5707,10053
94,0,4500,5721,10053
52,0,5000,5731,10053
42,0,4000,5745,10053
40,0,4500,5753,10053
11,0,1750,5757,10053
21,0,2500,5772,10053
47,0,4250,5778,10053
39,0,2250,5781,10053
100,0,5500,5783,10053
36,0,2500,5785,10053
91,0,4000,5793,10053
35,0,4750,5799,10053
49,0,3000,5801,10053
70,0,3750,5805,10053
9,0,5000,5808,10053
49,0,4500,5814,10053
38,0,2500,5815,10053
68,0,2250,5819,10053
88,0,4750,5819,10053
58,0,1250,5820,10053
93,0,4500,5827,10053
24,0,5250,5827,10053
42,0,5250,5828,10053
76,0,5500,5836,10053
39,0,2250,5838,10053
24,0,3750,5839,10053
57,0,3000,5839,10053
59,0,1250,5847,10053
64,0,3250,5851,10053
33,0,3750,5858,10053
100,0,4500,5864,10053
19,0,4000,5868,10053
24,0,1750,5869,10053
79,0,4750,5876,10053
77,0,4000,5879,10053
49,0,3250,5882,10053
58,0,2000,5883,10053
4,0,4000,5883,10053
93,0,3250,5886,10053
84,0,1000,5892,10053
12,0,1500,5895,10053
13,0,5250,5897,10053
83,0,3500,5898,10053
57,0,5250,5908,10053
81,0,3250,5911,10053
99,0,2500,5913,10053
56,0,5750,5915,10053
91,0,3250,5917,10053
54,0,1750,5919,10053
59,0,5750,5932,10053
97,0,2000,5935,10053
59,0,5750,5937,10053
94,0,4750,5938,10053
26,0,4000,5940,10053
18,0,5750,5947,10053
52,0,4250,5948,10053
32,0,3000,5949,10053
97,0,4750,5950,10053
86,0,4250,5950,10053
91,0,1500,5951,10053
18,0,2250,5956,10053
40,0,1500,5959,10053
90,0,5750,5959,10053
20,0,1750,5968,10053
41,0,3500,5969,10053
29,0,5000,5978,10053
71,0,1250,5987,10053
45,0,4250,6003,10053
9,0,4250,6004,10053
81,0,1750,6011,10053
29,0,3750,6012,10053
36,0,2250,6018,10053
29,0,5500,6020,10053
47,0,2750,6034,10053
89,0,2500,6035,10053
74,0,5750,6035,10053
60,0,2500,6036,10053
79,0,1250,6043,10053
53,0,2000,6044,10053
46,0,5250,6059,10053
79,0,4750,6064,10053
50,0,4500,6073,10053
83,0,2000,6076,10053
95,0,1750,6080,10053
8,0,1750,6083,10053
38,0,4250,6091,10053
26,0,4250,6092,10053
47,0,5750,6096,10053
49,0,4000,6096,10053
35,0,1500,6100,10053
22,0,4250,6105,10053
9,0,5250,6108,10053
41,0,3500,6113,10053
81,0,6000,6119,10053
52,0,1750,6129,10053
59,0,3250,6129,10053
1,0,1250,6130,10053
56,0,3750,6131,10053
93,0,2750,6140,10053
13,0,2750,6142,10053
68,0,2750,6143,10053
53,0,1500,6146,10053
8,0,5500,6149,10053
54,0,2750,6158,10053
37,0,4500,6162,10053
75,0,2000,6164,10053
5,0,2750,6170,10053
98,0,5500,6170,10053
78,0,3500,6180,10053
17,0,6000,6183,10053
34,0,1750,6192,10053
22,0,5750,6203,10053
15,0,5000,6204,10053
36,0,2500,6205,10053
91,0,5500,6219,10053
1,0,6000,6221,10053
80,0,2250,6230,10053
72,0,4000,6236,10053
7,0,3750,6239,10053
75,0,1500,6252,10053
43,0,1500,6253,10053
1,0,2000,6270,10053
90,0,1750,6273,10053
15,0,3000,6276,10053
93,0,2000,6281,10053
42,0,4250,6284,10053
33,0,6250,6299,10053
100,0,2000,6304,10053
27,0,4750,6309,10053
86,0,2250,6310,10053
29,0,1500,6311,10053
3,0,5500,6312,10053
25,0,4250,6320,10053
73,0,2500,6323,10053
27,0,4750,6331,10053
8,0,6000,6335,10053
1,0,2750,6338,10053
62,0,4500,6340,10053
64,0,2250,6361,10053
75,0,3250,6364,10053
100,0,2500,6365,10053
65,0,6000,6367,10053
48,0,5750,6367,10053
45,0,3500,6368,10053
10,0,3000,6369,10053
86,0,5750,6374,10053
82,0,2000,6390,10053
47,0,1750,6398,10053
31,0,5000,6407,10053
92,0,3500,6407,10053
82,0,4000,6412,10053
50,0,3000,6422,10053
98,0,4000,6439,10053
41,0,2500,6456,10053
88,0,2250,6457,10053
61,0,2250,6465,10053
52,0,5000,6465,10053
9,0,1500,6472,10053
1,0,4250,6480,10053
96,0,2750,6490,10053
63,0,2500,6512,10053
66,0,5750,6513,10053
92,0,1750,6514,10053
99,0,6000,6518,10053
52,0,4750,6535,10053
76,0,3500,6535,10053
17,0,2250,6542,10053
