key,value,eventTime,arrivalTime,processedTime
96,0,500,534,10061
98,0,500,571,10061
84,0,500,745,10061
26,0,500,809,10061
11,0,500,859,10061
13,0,500,903,10061
2,0,1000,1078,10061
32,0,1000,1084,10061
71,0,500,1102,10061
22,0,1000,1105,10061
78,0,500,1149,10061
72,0,1000,1171,10061
36,0,1000,1220,10061
97,0,500,1253,10061
49,0,1000,1301,10061
17,0,1000,1317,10061
42,0,500,1352,10061
54,0,1000,1354,10061
89,0,1000,1384,10061
83,0,500,1387,10061
25,0,1000,1470,10061
1,0,1000,1502,10061
67,0,1000,1519,10061
93,0,1500,1561,10061
56,0,1500,1587,10061
8,0,500,1647,10061
21,0,500,1686,10061
56,0,500,1689,10061
27,0,500,1731,10061
9,0,1000,1761,10061
24,0,1000,1771,10061
13,0,500,1795,10061
82,0,1000,1822,10061
56,0,1500,1846,10061
57,0,500,1860,10061
63,0,1500,1895,10061
68,0,1500,1911,10061
95,0,500,1922,10061
53,0,1500,1959,10061
27,0,1000,1961,10061
74,0,1500,1984,10061
12,0,1000,2000,10061
26,0,1500,2010,10061
86,0,500,2027,10061
37,0,2000,2127,10061
56,0,500,2140,10061
53,0,1000,2146,10061
89,0,500,2184,10061
46,0,2000,2194,10061
11,0,1000,2201,10061
60,0,2000,2208,10061
13,0,2000,2228,10061
63,0,1000,2262,10061
12,0,500,2274,10061
6,0,500,2287,10061
48,0,500,2380,10061
13,0,2000,2472,10061
55,0,500,2484,10061
2,0,500,2484,10061
36,0,1000,2509,10061
58,0,1500,2540,10061
75,0,2500,2561,10061
59,0,2000,2567,10061
38,0,2000,2571,10061
5,0,500,2587,10061
44,0,2500,2600,10061
21,0,1500,2634,10061
74,0,2000,2641,10061
18,0,2000,2649,10061
11,0,2500,2686,10061
82,0,2500,2687,10061
97,0,0,2731,10061
41,0,1000,2789,10061
100,0,2000,2809,10061
96,0,2000,2816,10061
11,0,1500,2825,10061
89,0,1500,2831,10061
73,0,2000,2897,10061
96,0,2500,2902,10061
16,0,500,2919,10061
66,0,2000,2937,10061
72,0,2500,2955,10061
42,0,1000,2957,10061
69,0,500,2973,10061
89,0,3000,3013,10061
99,0,2000,3089,10061
65,0,1000,3098,10061
6,0,2500,3103,10061
30,0,500,3168,10061
54,0,3000,3173,10061
26,0,3000,3180,10061
91,0,2000,3211,10061
74,0,1500,3216,10061
59,0,1500,3218,10061
82,0,1000,3218,10061
73,0,1500,3224,10061
10,0,2000,3228,10061
36,0,2500,3282,10061
89,0,2500,3283,10061
54,0,1000,3285,10061
72,0,2500,3293,10061
38,0,2500,3304,10061
3,0,500,3313,10061
