key,value,eventTime,arrivalTime,processedTime
96,0,166,200,10055
98,0,166,237,10055
2,0,332,410,10055
84,0,166,411,10055
32,0,332,416,10055
22,0,332,437,10055
26,0,166,475,10055
72,0,332,503,10055
11,0,166,525,10055
36,0,332,552,10055
93,0,498,559,10055
13,0,166,569,10055
56,0,498,585,10055
49,0,332,633,10055
17,0,332,649,10055
54,0,332,686,10055
89,0,332,716,10055
71,0,166,768,10055
37,0,664,791,10055
25,0,332,802,10055
78,0,166,815,10055
1,0,332,834,10055
56,0,498,844,10055
67,0,332,851,10055
46,0,664,858,10055
60,0,664,872,10055
75,0,830,891,10055
13,0,664,892,10055
63,0,498,893,10055
68,0,498,909,10055
97,0,166,919,10055
44,0,830,930,10055
53,0,498,957,10055
74,0,498,982,10055
26,0,498,1008,10055
89,0,996,1009,10055
11,0,830,1016,10055
82,0,830,1017,10055
42,0,166,1018,10055
83,0,166,1053,10055
9,0,332,1093,10055
24,0,332,1103,10055
13,0,664,1136,10055
82,0,332,1154,10055
54,0,996,1169,10055
26,0,996,1176,10055
91,0,1162,1207,10055
59,0,664,1231,10055
96,0,830,1232,10055
38,0,664,1235,10055
4,0,1162,1273,10055
72,0,830,1285,10055
27,0,332,1293,10055
74,0,664,1305,10055
8,0,166,1313,10055
18,0,664,1313,10055
7,0,996,1319,10055
12,0,332,1332,10055
89,0,996,1350,10055
21,0,166,1352,10055
56,0,166,1355,10055
83,0,1162,1355,10055
52,0,1328,1357,10055
27,0,166,1397,10055
86,0,996,1422,10055
6,0,830,1433,10055
28,0,1162,1441,10055
39,0,996,1450,10055
25,0,1162,1454,10055
13,0,166,1461,10055
48,0,1328,1466,10055
100,0,664,1473,10055
53,0,332,1478,10055
96,0,664,1480,10055
57,0,166,1526,10055
11,0,332,1533,10055
58,0,498,1538,10055
8,0,1494,1547,10055
73,0,664,1561,10055
22,0,1328,1565,10055
95,0,166,1588,10055
63,0,332,1594,10055
66,0,664,1601,10055
65,0,1162,1610,10055
36,0,830,1612,10055
89,0,830,1613,10055
72,0,830,1623,10055
30,0,1328,1629,10055
21,0,498,1632,10055
38,0,830,1634,10055
35,0,1494,1642,10055
99,0,1328,1647,10055
86,0,166,1693,10055
27,0,1494,1694,10055
51,0,1660,1716,10055
89,0,1328,1747,10055
99,0,664,1753,10055
93,0,1660,1788,10055
76,0,1494,1800,10055
57,0,1660,1801,10055
56,0,166,1806,10055
48,0,996,1810,10055
87,0,1162,1817,10055
11,0,498,1823,10055
41,0,1328,1826,10055
89,0,498,1829,10055
36,0,332,1841,10055
89,0,166,1850,10055
67,0,830,1857,10055
91,0,664,1875,10055
89,0,1826,1876,10055
10,0,664,1892,10055
76,0,1660,1904,10055
52,0,1826,1906,10055
60,0,996,1907,10055
22,0,996,1910,10055
54,0,1162,1928,10055
12,0,166,1940,10055
76,0,1328,1951,10055
6,0,166,1953,10055
14,0,1826,1954,10055
73,0,830,1962,10055
30,0,830,1966,10055
24,0,996,1996,10055
64,0,1494,2024,10055
80,0,996,2036,10055
76,0,1328,2044,10055
48,0,166,2046,10055
83,0,664,2053,10055
89,0,1660,2068,10055
7,0,1992,2099,10055
84,0,664,2104,10055
21,0,996,2119,10055
41,0,332,2121,10055
84,0,830,2132,10055
3,0,1826,2139,10055
55,0,166,2150,10055
2,0,166,2150,10055
81,0,1162,2155,10055
23,0,1826,2190,10055
70,0,996,2193,10055
35,0,1494,2202,10055
