key,value,eventTime,arrivalTime,processedTime
10,0,500,534,10076
10,0,500,571,10076
9,0,500,745,10076
3,0,500,809,10076
2,0,500,859,10076
2,0,500,903,10076
1,0,1000,1078,10076
4,0,1000,1084,10076
8,0,500,1102,10076
3,0,1000,1105,10076
8,0,500,1149,10076
8,0,1000,1171,10076
4,0,1000,1220,10076
10,0,500,1253,10076
5,0,1000,1301,10076
2,0,1000,1317,10076
5,0,500,1352,10076
6,0,1000,1354,10076
9,0,1000,1384,10076
9,0,500,1387,10076
3,0,1000,1470,10076
1,0,1000,1502,10076
7,0,1000,1519,10076
10,0,1500,1561,10076
6,0,1500,1587,10076
1,0,500,1647,10076
3,0,500,1686,10076
6,0,500,1689,10076
3,0,500,1731,10076
1,0,1000,1761,10076
3,0,1000,1771,10076
2,0,500,1795,10076
9,0,1000,1822,10076
6,0,1500,1846,10076
6,0,500,1860,10076
7,0,1500,1895,10076
7,0,1500,1911,10076
10,0,500,1922,10076
6,0,1500,1959,10076
3,0,1000,1961,10076
8,0,1500,1984,10076
2,0,1000,2000,10076
3,0,1500,2010,10076
9,0,500,2027,10076
4,0,2000,2127,10076
6,0,500,2140,10076
6,0,1000,2146,10076
9,0,500,2184,10076
5,0,2000,2194,10076
2,0,1000,2201,10076
6,0,2000,2208,10076
2,0,2000,2228,10076
7,0,1000,2262,10076
2,0,500,2274,10076
1,0,500,2287,10076
5,0,500,2380,10076
2,0,2000,2472,10076
6,0,500,2484,10076
1,0,500,2484,10076
4,0,1000,2509,10076
6,0,1500,2540,10076
8,0,2500,2561,10076
6,0,2000,2567,10076
4,0,2000,2571,10076
1,0,500,2587,10076
5,0,2500,2600,10076
3,0,1500,2634,10076
8,0,2000,2641,10076
2,0,2000,2649,10076
2,0,2500,2686,10076
9,0,2500,2687,10076
10,0,0,2731,10076
5,0,1000,2789,10076
10,0,2000,2809,10076
10,0,2000,2816,10076
2,0,1500,2825,10076
9,0,1500,2831,10076
8,0,2000,2897,10076
10,0,2500,2902,10076
2,0,500,2919,10076
7,0,2000,2937,10076
8,0,2500,2955,10076
5,0,1000,2957,10076
7,0,500,2973,10076
9,0,3000,3013,10076
10,0,2000,3089,10076
7,0,1000,3098,10076
1,0,2500,3103,10076
3,0,500,3168,10076
6,0,3000,3173,10076
3,0,3000,3180,10076
10,0,2000,3211,10076
8,0,1500,3216,10076
6,0,1500,3218,10076
9,0,1000,3218,10076
8,0,1500,3224,10076
1,0,2000,3228,10076
4,0,2500,3282,10076
9,0,2500,3283,10076
6,0,1000,3285,10076
8,0,2500,3293,10076
4,0,2500,3304,10076
1,0,500,3313,10076
10,0,1000,3322,10076
1,0,3000,3323,10076
7,0,500,3335,10076
6,0,500,3339,10076
5,0,1000,3340,10076
9,0,3000,3354,10076
9,0,2000,3389,10076
4,0,1000,3393,10076
9,0,3000,3426,10076
6,0,500,3427,10076
9,0,2000,3440,10076
4,0,3000,3454,10076
10,0,1500,3467,10076
10,0,500,3483,10076
5,0,500,3491,10076
7,0,2500,3527,10076
10,0,3500,3545,10076
1,0,2000,3591,10076
6,0,2000,3595,10076
6,0,1500,3606,10076
1,0,3500,3611,10076
8,0,2500,3632,10076
3,0,2500,3636,10076
