key,value,eventTime,arrivalTime,processedTime
191,0,500,534,10080
195,0,500,571,10080
168,0,500,745,10080
52,0,500,809,10080
22,0,500,859,10080
26,0,500,903,10080
4,0,1000,1078,10080
63,0,1000,1084,10080
141,0,500,1102,10080
44,0,1000,1105,10080
156,0,500,1149,10080
144,0,1000,1171,10080
72,0,1000,1220,10080
193,0,500,1253,10080
97,0,1000,1301,10080
34,0,1000,1317,10080
83,0,500,1352,10080
107,0,1000,1354,10080
177,0,1000,1384,10080
166,0,500,1387,10080
49,0,1000,1470,10080
1,0,1000,1502,10080
133,0,1000,1519,10080
186,0,1500,1561,10080
112,0,1500,1587,10080
15,0,500,1647,10080
42,0,500,1686,10080
111,0,500,1689,10080
53,0,500,1731,10080
17,0,1000,1761,10080
48,0,1000,1771,10080
25,0,500,1795,10080
164,0,1000,1822,10080
111,0,1500,1846,10080
114,0,500,1860,10080
126,0,1500,1895,10080
136,0,1500,1911,10080
189,0,500,1922,10080
106,0,1500,1959,10080
54,0,1000,1961,10080
147,0,1500,1984,10080
24,0,1000,2000,10080
52,0,1500,2010,10080
171,0,500,2027,10080
73,0,2000,2127,10080
111,0,500,2140,10080
106,0,1000,2146,10080
177,0,500,2184,10080
92,0,2000,2194,10080
22,0,1000,2201,10080
120,0,2000,2208,10080
25,0,2000,2228,10080
125,0,1000,2262,10080
24,0,500,2274,10080
11,0,500,2287,10080
96,0,500,2380,10080
26,0,2000,2472,10080
109,0,500,2484,10080
3,0,500,2484,10080
72,0,1000,2509,10080
116,0,1500,2540,10080
150,0,2500,2561,10080
117,0,2000,2567,10080
76,0,2000,2571,10080
10,0,500,2587,10080
87,0,2500,2600,10080
42,0,1500,2634,10080
148,0,2000,2641,10080
36,0,2000,2649,10080
21,0,2500,2686,10080
163,0,2500,2687,10080
193,0,0,2731,10080
81,0,1000,2789,10080
200,0,2000,2809,10080
191,0,2000,2816,10080
22,0,1500,2825,10080
178,0,1500,2831,10080
145,0,2000,2897,10080
191,0,2500,2902,10080
31,0,500,2919,10080
131,0,2000,2937,10080
143,0,2500,2955,10080
84,0,1000,2957,10080
137,0,500,2973,10080
177,0,3000,3013,10080
197,0,2000,3089,10080
130,0,1000,3098,10080
11,0,2500,3103,10080
60,0,500,3168,10080
108,0,3000,3173,10080
51,0,3000,3180,10080
181,0,2000,3211,10080
147,0,1500,3216,10080
117,0,1500,3218,10080
164,0,1000,3218,10080
145,0,1500,3224,10080
19,0,2000,3228,10080
72,0,2500,3282,10080
178,0,2500,3283,10080
107,0,1000,3285,10080
144,0,2500,3293,10080
75,0,2500,3304,10080
6,0,500,3313,10080
192,0,1000,3322,10080
13,0,3000,3323,10080
140,0,500,3335,10080
118,0,500,3339,10080
92,0,1000,3340,10080
177,0,3000,3354,10080
166,0,2000,3389,10080
72,0,1000,3393,10080
172,0,3000,3426,10080
103,0,500,3427,10080
168,0,2000,3440,10080
77,0,3000,3454,10080
186,0,1500,3467,10080
188,0,500,3483,10080
82,0,500,3491,10080
133,0,2500,3527,10080
181,0,3500,3545,10080
20,0,2000,3591,10080
109,0,2000,3595,10080
106,0,1500,3606,10080
7,0,3500,3611,10080
145,0,2500,3632,10080
59,0,2500,3636,10080
166,0,3500,3693,10080
98,0,2000,3707,10080
56,0,3500,3779,10080
39,0,500,3780,10080
49,0,3500,3792,10080
119,0,500,3795,10080
179,0,2000,3797,10080
168,0,2500,3802,10080
47,0,1500,3805,10080
96,0,3000,3814,10080
109,0,1500,3843,10080
159,0,1500,3844,10080
183,0,2500,3886,10080
28,0,1000,3896,10080
133,0,2500,3898,10080
120,0,3000,3911,10080
44,0,3000,3914,10080
38,0,2500,3925,10080
129,0,3500,3948,10080
110,0,1000,3959,10080
155,0,500,3959,10080
28,0,2500,3984,10080
48,0,3000,4000,10080
19,0,2500,4009,10080
71,0,1500,4020,10080
103,0,4000,4029,10080
187,0,1500,4037,10080
159,0,3000,4040,10080
187,0,1000,4055,10080
50,0,2000,4063,10080
32,0,1500,4071,10080
72,0,2000,4087,10080
138,0,2000,4089,10080
138,0,1000,4114,10080
42,0,3000,4123,10080
95,0,4000,4138,10080
174,0,3500,4155,10080
134,0,500,4166,10080
38,0,2500,4192,10080
140,0,3000,4197,10080
57,0,500,4202,10080
170,0,500,4231,10080
52,0,2000,4232,10080
44,0,4000,4237,10080
40,0,1000,4240,10080
107,0,3500,4266,10080
101,0,1500,4281,10080
77,0,1500,4281,10080
143,0,2000,4289,10080
95,0,2500,4299,10080
59,0,4000,4301,10080
129,0,2500,4305,10080
197,0,4000,4319,10080
78,0,2000,4325,10080
34,0,1500,4333,10080
107,0,1000,4357,10080
86,0,3000,4367,10080
200,0,2500,4377,10080
193,0,2500,4386,10080
177,0,4000,4419,10080
111,0,500,4429,10080
7,0,3000,4443,10080
193,0,1000,4475,10080
137,0,1500,4481,10080
58,0,500,4487,10080
81,0,2500,4489,10080
162,0,3500,4493,10080
104,0,1000,4497,10080
81,0,4000,4498,10080
184,0,2000,4515,10080
174,0,2500,4545,10080
15,0,4500,4553,10080
159,0,2000,4566,10080
53,0,500,4588,10080
32,0,3000,4599,10080
26,0,2500,4615,10080
151,0,4000,4623,10080
31,0,1500,4635,10080
53,0,2000,4643,10080
69,0,4500,4648,10080
57,0,3500,4655,10080
171,0,2000,4660,10080
78,0,3000,4666,10080
54,0,4500,4700,10080
151,0,4000,4716,10080
183,0,3000,4744,10080
33,0,3500,4754,10080
71,0,3500,4767,10080
54,0,2000,4778,10080
70,0,1000,4794,10080
151,0,4500,4806,10080
29,0,500,4813,10080
58,0,500,4835,10080
84,0,500,4854,10080
94,0,3000,4879,10080
175,0,1500,4898,10080
158,0,1000,4913,10080
177,0,2500,4919,10080
144,0,4000,4940,10080
84,0,3500,4962,10080
166,0,2000,4973,10080
198,0,2500,4978,10080
54,0,2500,5016,10080
127,0,4500,5030,10080
147,0,3500,5040,10080
101,0,5000,5056,10080
168,0,1000,5069,10080
2,0,4000,5081,10080
185,0,5000,5128,10080
114,0,5000,5141,10080
83,0,3000,5164,10080
32,0,1000,5180,10080
46,0,1500,5193,10080
17,0,1000,5195,10080
