key,value,eventTime,arrivalTime,processedTime
954,0,500,534,10062
974,0,500,571,10062
837,0,500,745,10062
259,0,500,809,10062
110,0,500,859,10062
127,0,500,903,10062
18,0,1000,1078,10062
314,0,1000,1084,10062
701,0,500,1102,10062
218,0,1000,1105,10062
776,0,500,1149,10062
717,0,1000,1171,10062
359,0,1000,1220,10062
965,0,500,1253,10062
484,0,1000,1301,10062
169,0,1000,1317,10062
413,0,500,1352,10062
531,0,1000,1354,10062
881,0,1000,1384,10062
826,0,500,1387,10062
245,0,1000,1470,10062
3,0,1000,1502,10062
662,0,1000,1519,10062
928,0,1500,1561,10062
556,0,1500,1587,10062
72,0,500,1647,10062
210,0,500,1686,10062
551,0,500,1689,10062
262,0,500,1731,10062
82,0,1000,1761,10062
237,0,1000,1771,10062
123,0,500,1795,10062
819,0,1000,1822,10062
555,0,1500,1846,10062
567,0,500,1860,10062
630,0,1500,1895,10062
679,0,1500,1911,10062
945,0,500,1922,10062
528,0,1500,1959,10062
270,0,1000,1961,10062
731,0,1500,1984,10062
118,0,1000,2000,10062
256,0,1500,2010,10062
855,0,500,2027,10062
365,0,2000,2127,10062
551,0,500,2140,10062
528,0,1000,2146,10062
882,0,500,2184,10062
456,0,2000,2194,10062
110,0,1000,2201,10062
596,0,2000,2208,10062
124,0,2000,2228,10062
621,0,1000,2262,10062
117,0,500,2274,10062
53,0,500,2287,10062
477,0,500,2380,10062
130,0,2000,2472,10062
542,0,500,2484,10062
14,0,500,2484,10062
357,0,1000,2509,10062
577,0,1500,2540,10062
747,0,2500,2561,10062
584,0,2000,2567,10062
377,0,2000,2571,10062
46,0,500,2587,10062
434,0,2500,2600,10062
208,0,1500,2634,10062
739,0,2000,2641,10062
180,0,2000,2649,10062
105,0,2500,2686,10062
811,0,2500,2687,10062
962,0,0,2731,10062
402,0,1000,2789,10062
999,0,2000,2809,10062
955,0,2000,2816,10062
109,0,1500,2825,10062
889,0,1500,2831,10062
725,0,2000,2897,10062
954,0,2500,2902,10062
152,0,500,2919,10062
654,0,2000,2937,10062
714,0,2500,2955,10062
417,0,1000,2957,10062
683,0,500,2973,10062
882,0,3000,3013,10062
983,0,2000,3089,10062
649,0,1000,3098,10062
55,0,2500,3103,10062
296,0,500,3168,10062
536,0,3000,3173,10062
252,0,3000,3180,10062
905,0,2000,3211,10062
734,0,1500,3216,10062
584,0,1500,3218,10062
816,0,1000,3218,10062
725,0,1500,3224,10062
93,0,2000,3228,10062
356,0,2500,3282,10062
886,0,2500,3283,10062
535,0,1000,3285,10062
716,0,2500,3293,10062
375,0,2500,3304,10062
29,0,500,3313,10062
956,0,1000,3322,10062
64,0,3000,3323,10062
698,0,500,3335,10062
589,0,500,3339,10062
460,0,1000,3340,10062
883,0,3000,3354,10062
826,0,2000,3389,10062
358,0,1000,3393,10062
859,0,3000,3426,10062
512,0,500,3427,10062
837,0,2000,3440,10062
382,0,3000,3454,10062
926,0,1500,3467,10062
939,0,500,3483,10062
410,0,500,3491,10062
662,0,2500,3527,10062
901,0,3500,3545,10062
99,0,2000,3591,10062
542,0,2000,3595,10062
526,0,1500,3606,10062
31,0,3500,3611,10062
725,0,2500,3632,10062
293,0,2500,3636,10062
829,0,3500,3693,10062
488,0,2000,3707,10062
277,0,3500,3779,10062
193,0,500,3780,10062
245,0,3500,3792,10062
593,0,500,3795,10062
895,0,2000,3797,10062
839,0,2500,3802,10062
232,0,1500,3805,10062
479,0,3000,3814,10062
545,0,1500,3843,10062
793,0,1500,3844,10062
915,0,2500,3886,10062
138,0,1000,3896,10062
661,0,2500,3898,10062
597,0,3000,3911,10062
220,0,3000,3914,10062
189,0,2500,3925,10062
644,0,3500,3948,10062
550,0,1000,3959,10062
772,0,500,3959,10062
136,0,2500,3984,10062
240,0,3000,4000,10062
94,0,2500,4009,10062
355,0,1500,4020,10062
515,0,4000,4029,10062
934,0,1500,4037,10062
795,0,3000,4040,10062
933,0,1000,4055,10062
246,0,2000,4063,10062
160,0,1500,4071,10062
358,0,2000,4087,10062
689,0,2000,4089,10062
689,0,1000,4114,10062
208,0,3000,4123,10062
471,0,4000,4138,10062
867,0,3500,4155,10062
667,0,500,4166,10062
189,0,2500,4192,10062
697,0,3000,4197,10062
284,0,500,4202,10062
846,0,500,4231,10062
258,0,2000,4232,10062
218,0,4000,4237,10062
198,0,1000,4240,10062
533,0,3500,4266,10062
505,0,1500,4281,10062
385,0,1500,4281,10062
715,0,2000,4289,10062
471,0,2500,4299,10062
295,0,4000,4301,10062
643,0,2500,4305,10062
984,0,4000,4319,10062
389,0,2000,4325,10062
166,0,1500,4333,10062
532,0,1000,4357,10062
427,0,3000,4367,10062
997,0,2500,4377,10062
961,0,2500,4386,10062
883,0,4000,4419,10062
551,0,500,4429,10062
31,0,3000,4443,10062
963,0,1000,4475,10062
682,0,1500,4481,10062
290,0,500,4487,10062
405,0,2500,4489,10062
808,0,3500,4493,10062
518,0,1000,4497,10062
405,0,4000,4498,10062
919,0,2000,4515,10062
868,0,2500,4545,10062
73,0,4500,4553,10062
794,0,2000,4566,10062
263,0,500,4588,10062
158,0,3000,4599,10062
126,0,2500,4615,10062
753,0,4000,4623,10062
151,0,1500,4635,10062
261,0,2000,4643,10062
345,0,4500,4648,10062
282,0,3500,4655,10062
853,0,2000,4660,10062
389,0,3000,4666,10062
268,0,4500,4700,10062
753,0,4000,4716,10062
915,0,3000,4744,10062
164,0,3500,4754,10062
353,0,3500,4767,10062
266,0,2000,4778,10062
348,0,1000,4794,10062
754,0,4500,4806,10062
142,0,500,4813,10062
288,0,500,4835,10062
420,0,500,4854,10062
466,0,3000,4879,10062
874,0,1500,4898,10062
789,0,1000,4913,10062
885,0,2500,4919,10062
720,0,4000,4940,10062
420,0,3500,4962,10062
826,0,2000,4973,10062
986,0,2500,4978,10062
269,0,2500,5016,10062
631,0,4500,5030,10062
731,0,3500,5040,10062
505,0,5000,5056,10062
836,0,1000,5069,10062
9,0,4000,5081,10062
921,0,5000,5128,10062
566,0,5000,5141,10062
411,0,3000,5164,10062
158,0,1000,5180,10062
230,0,1500,5193,10062
83,0,1000,5195,10062
365,0,2000,5201,10062
342,0,4500,5208,10062
661,0,2000,5215,10062
721,0,4000,5226,10062
686,0,3500,5231,10062
78,0,1500,5235,10062
751,0,5000,5244,10062
423,0,4500,5248,10062
451,0,1000,5260,10062
512,0,3500,5260,10062
138,0,4000,5303,10062
848,0,2000,5303,10062
495,0,1000,5316,10062
797,0,1500,5322,10062
387,0,500,5345,10062
262,0,500,5354,10062
179,0,2500,5376,10062
451,0,3500,5385,10062
281,0,2000,5396,10062
423,0,2000,5403,10062
885,0,5000,5408,10062
522,0,1000,5409,10062
191,0,3500,5411,10062
808,0,2000,5425,10062
741,0,2000,5428,10062
495,0,3000,5436,10062
427,0,4500,5440,10062
128,0,3500,5441,10062
10,0,4500,5444,10062
654,0,2000,5447,10062
905,0,1500,5471,10062
267,0,3500,5475,10062
124,0,3500,5482,10062
354,0,2500,5486,10062
416,0,1500,5493,10062
500,0,3000,5495,10062
287,0,2000,5521,10062
736,0,2500,5538,10062
896,0,1000,5543,10062
885,0,5500,5550,10062
769,0,1000,5555,10062
651,0,2500,5556,10062
111,0,3500,5562,10062
431,0,1500,5569,10062
516,0,5500,5580,10062
717,0,5000,5599,10062
122,0,1000,5614,10062
841,0,4000,5618,10062
132,0,5500,5628,10062
934,0,1500,5633,10062
950,0,4000,5652,10062
818,0,3500,5690,10062
255,0,1500,5693,10062
528,0,4500,5699,10062
424,0,2500,5721,10062
655,0,3500,5736,10062
425,0,2000,5738,10062
673,0,4000,5743,10062
971,0,1500,5746,10062
100,0,1500,5760,10062
517,0,4000,5766,10062
688,0,4500,5767,10062
7,0,4500,5768,10062
499,0,2000,5797,10062
844,0,3000,5803,10062
217,0,4500,5808,10062
486,0,4000,5811,10062
25,0,5500,5813,10062
62,0,1500,5821,10062
628,0,3500,5831,10062
930,0,2500,5843,10062
230,0,5500,5864,10062
188,0,5500,5879,10062
549,0,3000,5881,10062
856,0,1000,5884,10062
603,0,2500,5899,10062
96,0,1000,5900,10062
90,0,4500,5901,10062
471,0,1500,5901,10062
577,0,4000,5924,10062
913,0,3000,5932,10062
361,0,5500,5942,10062
