key,value,eventTime,arrivalTime,processedTime
191,0,500,534,10062
195,0,500,571,10062
168,0,500,745,10062
52,0,500,809,10062
22,0,500,859,10062
26,0,500,903,10062
4,0,1000,1078,10062
63,0,1000,1084,10062
141,0,500,1102,10062
44,0,1000,1105,10062
156,0,500,1149,10062
144,0,1000,1171,10062
72,0,1000,1220,10062
193,0,500,1253,10062
97,0,1000,1301,10062
34,0,1000,1317,10062
83,0,500,1352,10062
107,0,1000,1354,10062
177,0,1000,1384,10062
166,0,500,1387,10062
49,0,1000,1470,10062
1,0,1000,1502,10062
133,0,1000,1519,10062
186,0,1500,1561,10062
112,0,1500,1587,10062
15,0,500,1647,10062
42,0,500,1686,10062
111,0,500,1689,10062
53,0,500,1731,10062
17,0,1000,1761,10062
48,0,1000,1771,10062
25,0,500,1795,10062
164,0,1000,1822,10062
111,0,1500,1846,10062
114,0,500,1860,10062
126,0,1500,1895,10062
136,0,1500,1911,10062
189,0,500,1922,10062
106,0,1500,1959,10062
54,0,1000,1961,10062
147,0,1500,1984,10062
24,0,1000,2000,10062
52,0,1500,2010,10062
171,0,500,2027,10062
73,0,2000,2127,10062
111,0,500,2140,10062
106,0,1000,2146,10062
177,0,500,2184,10062
92,0,2000,2194,10062
22,0,1000,2201,10062
120,0,2000,2208,10062
25,0,2000,2228,10062
125,0,1000,2262,10062
24,0,500,2274,10062
11,0,500,2287,10062
96,0,500,2380,10062
26,0,2000,2472,10062
109,0,500,2484,10062
3,0,500,2484,10062
72,0,1000,2509,10062
116,0,1500,2540,10062
150,0,2500,2561,10062
117,0,2000,2567,10062
76,0,2000,2571,10062
10,0,500,2587,10062
87,0,2500,2600,10062
42,0,1500,2634,10062
148,0,2000,2641,10062
36,0,2000,2649,10062
21,0,2500,2686,10062
163,0,2500,2687,10062
193,0,0,2731,10062
81,0,1000,2789,10062
200,0,2000,2809,10062
191,0,2000,2816,10062
22,0,1500,2825,10062
178,0,1500,2831,10062
145,0,2000,2897,10062
191,0,2500,2902,10062
31,0,500,2919,10062
131,0,2000,2937,10062
143,0,2500,2955,10062
84,0,1000,2957,10062
137,0,500,2973,10062
177,0,3000,3013,10062
197,0,2000,3089,10062
130,0,1000,3098,10062
11,0,2500,3103,10062
60,0,500,3168,10062
108,0,3000,3173,10062
51,0,3000,3180,10062
181,0,2000,3211,10062
147,0,1500,3216,10062
117,0,1500,3218,10062
164,0,1000,3218,10062
145,0,1500,3224,10062
19,0,2000,3228,10062
72,0,2500,3282,10062
178,0,2500,3283,10062
107,0,1000,3285,10062
144,0,2500,3293,10062
75,0,2500,3304,10062
6,0,500,3313,10062
192,0,1000,3322,10062
13,0,3000,3323,10062
140,0,500,3335,10062
118,0,500,3339,10062
92,0,1000,3340,10062
177,0,3000,3354,10062
166,0,2000,3389,10062
72,0,1000,3393,10062
172,0,3000,3426,10062
103,0,500,3427,10062
168,0,2000,3440,10062
77,0,3000,3454,10062
186,0,1500,3467,10062
188,0,500,3483,10062
82,0,500,3491,10062
133,0,2500,3527,10062
181,0,3500,3545,10062
20,0,2000,3591,10062
109,0,2000,3595,10062
106,0,1500,3606,10062
7,0,3500,3611,10062
145,0,2500,3632,10062
59,0,2500,3636,10062
166,0,3500,3693,10062
98,0,2000,3707,10062
56,0,3500,3779,10062
39,0,500,3780,10062
49,0,3500,3792,10062
119,0,500,3795,10062
179,0,2000,3797,10062
168,0,2500,3802,10062
47,0,1500,3805,10062
96,0,3000,3814,10062
109,0,1500,3843,10062
159,0,1500,3844,10062
183,0,2500,3886,10062
28,0,1000,3896,10062
133,0,2500,3898,10062
120,0,3000,3911,10062
44,0,3000,3914,10062
38,0,2500,3925,10062
129,0,3500,3948,10062
110,0,1000,3959,10062
155,0,500,3959,10062
28,0,2500,3984,10062
48,0,3000,4000,10062
19,0,2500,4009,10062
71,0,1500,4020,10062
103,0,4000,4029,10062
187,0,1500,4037,10062
159,0,3000,4040,10062
187,0,1000,4055,10062
50,0,2000,4063,10062
32,0,1500,4071,10062
72,0,2000,4087,10062
138,0,2000,4089,10062
138,0,1000,4114,10062
42,0,3000,4123,10062
95,0,4000,4138,10062
174,0,3500,4155,10062
134,0,500,4166,10062
38,0,2500,4192,10062
140,0,3000,4197,10062
57,0,500,4202,10062
170,0,500,4231,10062
