key,value,eventTime,arrivalTime,processedTime
55,46,500,794,10051
1,844,500,810,10051
63,32,500,828,10051
36,4,500,860,10051
100,354,500,955,10051
34,38,500,961,10051
1,149,500,1019,10051
35,198,500,1072,10051
29,884,1000,1077,10051
7,319,1000,1205,10051
9,377,500,1242,10051
59,76,1000,1276,10051
1,510,500,1284,10051
1,425,500,1339,10051
31,80,1000,1387,10051
79,22,1500,1524,10051
25,949,1000,1549,10051
48,13,1500,1551,10051
17,11,1000,1553,10051
4,112,1000,1614,10051
30,649,1000,1626,10051
1,399,500,1643,10051
57,1,1000,1646,10051
1,825,1500,1719,10051
27,12,1000,1721,10051
1,847,1500,1728,10051
4,121,1500,1772,10051
55,386,1500,1775,10051
11,329,500,1791,10051
1,252,1000,1793,10051
7,22,1500,1798,10051
63,104,1000,1802,10051
1,369,500,1882,10051
17,160,1500,1915,10051
15,233,1000,1971,10051
2,198,1500,1995,10051
19,757,1000,2008,10051
5,42,500,2027,10051
30,404,1500,2068,10051
7,1,1000,2175,10051
3,124,500,2193,10051
64,346,2000,2267,10051
1,408,2000,2299,10051
21,243,1500,2308,10051
7,150,1500,2360,10051
12,49,2000,2410,10051
16,399,500,2418,10051
2,590,500,2423,10051
2,189,1000,2490,10051
20,486,1000,2490,10051
94,703,1000,2526,10051
17,114,2500,2534,10051
4,606,500,2556,10051
6,925,1000,2636,10051
2,435,1500,2667,10051
5,779,2500,2670,10051
7,175,1000,2730,10051
8,75,500,2758,10051
1,146,2500,2771,10051
51,6,1500,2786,10051
1,509,1000,2794,10051
2,812,2000,2824,10051
6,823,500,2867,10051
2,2,500,2888,10051
7,323,2000,2903,10051
56,203,500,2907,10051
4,359,500,2925,10051
7,50,2500,2937,10051
1,15,1500,2996,10051
1,137,0,3012,10051
52,51,2000,3058,10051
1,912,500,3105,10051
4,221,500,3117,10051
25,817,1000,3123,10051
3,18,500,3139,10051
24,558,2500,3142,10051
27,39,3000,3171,10051
7,157,1000,3186,10051
22,14,2500,3203,10051
11,320,1000,3225,10051
1,364,1500,3226,10051
13,854,2500,3231,10051
3,19,3000,3238,10051
11,1,2500,3249,10051
1,282,500,3254,10051
5,251,1500,3277,10051
95,992,2500,3279,10051
3,541,2000,3309,10051
33,119,1500,3327,10051
4,221,2500,3342,10051
4,87,2000,3345,10051
11,543,2000,3364,10051
3,282,1500,3369,10051
1,189,1500,3380,10051
6,387,1500,3401,10051
14,56,1500,3413,10051
1,734,1500,3427,10051
1,107,1000,3444,10051
9,251,2000,3490,10051
2,147,2000,3506,10051
8,21,1500,3508,10051
65,1,2500,3514,10051
2,205,3500,3533,10051
26,180,2500,3540,10051
68,143,2000,3553,10051
96,150,3500,3553,10051
15,419,2000,3557,10051
12,6,1000,3566,10051
43,30,2500,3571,10051
6,171,500,3578,10051
3,672,3500,3590,10051
9,14,1000,3590,10051
2,782,3500,3605,10051
8,257,2500,3616,10051
52,369,500,3654,10051
16,498,1500,3672,10051
36,44,1500,3681,10051
78,379,2500,3697,10051
27,318,3500,3721,10051
62,496,2000,3724,10051
1,176,3000,3725,10051
1,646,500,3729,10051
2,999,3000,3756,10051
21,42,500,3756,10051
90,80,3000,3768,10051
2,159,500,3782,10051
10,89,500,3783,10051
68,238,3000,3785,10051
54,66,1500,3789,10051
24,988,1000,3790,10051
2,533,1500,3817,10051
1,779,3000,3837,10051
5,493,2000,3852,10051
1,285,1000,3881,10051
6,973,3000,3914,10051
6,190,2000,3926,10051
1,739,1000,3930,10051
21,538,3000,3932,10051
5,1,2500,3937,10051
6,338,500,3938,10051
56,404,3500,3941,10051
2,430,3500,3941,10051
2,166,2000,3953,10051
13,2,500,3956,10051
1,83,2500,3963,10051
27,176,500,3983,10051
22,819,1500,3984,10051
4,28,1500,4010,10051
23,138,1500,4042,10051
71,38,3500,4049,10051
97,382,4000,4062,10051
15,397,500,4070,10051
12,219,500,4100,10051
6,180,3000,4121,10051
1,961,4000,4129,10051
7,617,2000,4140,10051
7,29,1500,4159,10051
14,42,2000,4177,10051
90,958,4000,4178,10051
4,64,3000,4184,10051
4,37,1500,4191,10051
32,126,1000,4201,10051
10,352,1000,4204,10051
52,276,3000,4207,10051
20,300,2500,4210,10051
1,196,4000,4249,10051
9,50,4000,4288,10051
41,599,2000,4289,10051
2,228,1500,4300,10051
37,256,3000,4302,10051
5,938,4000,4307,10051
15,84,2000,4308,10051
7,326,2000,4309,10051
68,7,1000,4313,10051
62,413,2500,4319,10051
1,804,1000,4370,10051
1,380,2000,4398,10051
2,817,3500,4399,10051
5,838,3500,4422,10051
1,354,2000,4428,10051
1,371,3000,4460,10051
33,130,2500,4489,10051
1,740,1500,4490,10051
1,108,1500,4505,10051
1,795,1000,4509,10051
3,81,500,4550,10051
11,64,2000,4559,10051
36,741,2500,4561,10051
7,109,500,4581,10051
1,207,1000,4601,10051
2,331,1500,4609,10051
8,397,1500,4629,10051
3,954,4500,4632,10051
2,442,1000,4661,10051
4,118,3500,4682,10051
33,533,3500,4683,10051
2,112,500,4694,10051
4,78,2500,4707,10051
1,62,3500,4707,10051
1,277,2000,4709,10051
21,325,4500,4710,10051
24,430,1500,4715,10051
6,100,2500,4715,10051
2,640,2000,4728,10051
5,429,1500,4729,10051
2,118,3000,4734,10051
24,22,3500,4759,10051
5,699,3000,4771,10051
4,166,2000,4790,10051
82,3,1000,4799,10051
8,138,500,4802,10051
2,253,4500,4804,10051
6,68,2500,4843,10051
11,295,1000,4874,10051
70,198,500,4884,10051
6,20,2000,4894,10051
74,148,4000,4943,10051
15,22,1000,4962,10051
4,288,2000,4976,10051
14,312,4500,5003,10051
2,131,500,5005,10051
6,43,1000,5006,10051
7,1,3500,5012,10051
38,314,4500,5016,10051
7,728,2000,5033,10051
1,636,4500,5034,10051
2,163,1500,5048,10051
8,503,2500,5052,10051
1,14,500,5055,10051
10,400,1000,5059,10051
1,60,500,5067,10051
7,607,2000,5067,10051
8,42,2000,5071,10051
3,107,3000,5087,10051
2,243,4500,5091,10051
3,882,4500,5092,10051
2,138,500,5094,10051
3,625,500,5106,10051
8,842,5000,5115,10051
1,286,2500,5164,10051
16,169,4500,5168,10051
6,170,4500,5183,10051
6,60,3500,5187,10051
27,59,4000,5190,10051
95,129,3000,5192,10051
4,931,4000,5205,10051
2,62,3000,5216,10051
2,28,3500,5217,10051
34,745,500,5221,10051
20,57,4000,5234,10051
10,73,4000,5243,10051
2,743,1000,5249,10051
4,221,4000,5263,10051
1,283,3000,5273,10051
25,378,4500,5281,10051
6,12,3000,5282,10051
1,432,2500,5299,10051
7,840,4000,5300,10051
6,671,2000,5302,10051
18,912,5000,5321,10051
7,56,4500,5321,10051
18,160,1500,5324,10051
20,485,3000,5336,10051
18,113,1000,5352,10051
21,576,2500,5356,10051
2,146,1500,5393,10051
2,416,4000,5398,10051
1,255,3000,5416,10051
12,260,2500,5419,10051
2,154,4000,5421,10051
74,276,2000,5434,10051
2,153,2000,5442,10051
33,988,4500,5456,10051
3,801,5000,5462,10051
12,207,4500,5466,10051
5,271,3500,5496,10051
9,479,5500,5506,10051
22,1,3000,5515,10051
96,692,3500,5520,10051
1,662,1500,5524,10051
2,98,5000,5531,10051
4,55,2000,5532,10051
1,715,4500,5547,10051
1,107,1000,5557,10051
9,635,4500,5589,10051
3,877,4500,5594,10051
1,5,5500,5601,10051
1,348,5000,5606,10051
5,15,5000,5611,10051
1,747,5500,5619,10051
2,723,5000,5626,10051
1,396,4000,5632,10051
1,630,5000,5638,10051
3,109,2000,5641,10051
10,206,4000,5652,10051
1,191,4500,5662,10051
80,504,4500,5679,10051
57,359,4000,5689,10051
3,630,4500,5689,10051
22,16,4000,5691,10051
39,169,3000,5723,10051
5,242,4500,5728,10051
18,577,3500,5741,10051
18,938,1500,5750,10051
2,100,4000,5772,10051
1,187,1000,5798,10051
1,584,3500,5812,10051
31,271,1000,5824,10051
12,153,1500,5841,10051
21,90,3500,5847,10051
8,1,5500,5861,10051
25,672,3500,5870,10051
15,507,2500,5879,10051
1,178,1000,5880,10051
2,81,2500,5887,10051
2,37,2500,5887,10051
93,211,3500,5917,10051
4,597,3000,5917,10051
11,62,2000,5920,10051
76,35,3000,5923,10051
85,922,1000,5933,10051
2,678,2000,5949,10051
10,974,4500,5949,10051
19,725,4500,5970,10051
10,91,4500,5978,10051
1,834,1000,5995,10051
26,67,1500,6002,10051
8,740,1500,6004,10051
7,328,6000,6010,10051
1,131,2500,6031,10051
1,894,4000,6033,10051
89,125,6000,6043,10051
4,365,2500,6043,10051
82,5,4500,6076,10051
5,130,3500,6079,10051
18,550,6000,6085,10051
38,479,1500,6097,10051
1,414,3000,6106,10051
9,5,5500,6141,10051
50,32,1500,6151,10051
18,373,3500,6165,10051
26,440,4500,6174,10051
31,379,6000,6179,10051
3,153,5500,6202,10051
2,123,2500,6203,10051
16,32,5500,6203,10051
3,339,2000,6208,10051
58,349,3000,6221,10051
23,929,4500,6232,10051
2,774,6000,6234,10051
9,254,2000,6242,10051
5,339,3000,6250,10051
2,464,5500,6317,10051
6,111,6000,6327,10051
29,55,5000,6337,10051
4,106,5000,6347,10051
7,401,2500,6350,10051
22,42,2000,6355,10051
1,682,2500,6357,10051
15,59,2000,6370,10051
37,847,5500,6382,10051
5,88,2000,6403,10051
2,29,6000,6407,10051
21,236,5000,6408,10051
37,531,3000,6410,10051
6,449,2000,6415,10051
37,847,3500,6420,10051
7,62,6000,6431,10051
11,873,5000,6458,10051
5,261,6000,6479,10051
1,232,6000,6482,10051
30,459,2500,6496,10051
72,12,6500,6501,10051
20,2,5000,6506,10051
85,218,4500,6519,10051
5,415,4000,6530,10051
34,272,5500,6531,10051
13,223,6000,6534,10051
8,889,4000,6555,10051
53,726,3500,6564,10051
13,522,6000,6576,10051
16,493,3500,6601,10051
1,431,2000,6615,10051
8,384,6500,6617,10051
3,333,3000,6621,10051
80,137,2500,6623,10051
33,848,3500,6632,10051
39,108,3000,6634,10051
1,114,4000,6636,10051
17,3,4000,6654,10051
7,95,5500,6660,10051
6,345,5000,6664,10051
20,21,4500,6673,10051
48,948,3000,6678,10051
30,57,3500,6702,10051
18,774,3000,6726,10051
2,973,5000,6739,10051
1,16,5500,6749,10051
14,131,5000,6756,10051
1,898,6000,6775,10051
74,157,5500,6775,10051
44,53,4500,6777,10051
4,805,4500,6796,10051
21,971,2000,6814,10051
2,87,2500,6820,10051
9,98,2500,6826,10051
5,322,3000,6835,10051
1,9,5500,6847,10051
13,487,3000,6858,10051
1,476,6000,6878,10051
1,594,2000,6881,10051
20,605,5500,6901,10051
1,520,2500,6914,10051
6,604,5000,6918,10051
1,141,2000,6930,10051
3,344,6500,6961,10051
17,8,2500,6964,10051
59,944,4500,6966,10051
21,389,2500,6967,10051
2,929,4000,6967,10051
13,7,3500,6998,10051
4,389,6500,7014,10051
29,20,7000,7019,10051
16,2,7000,7024,10051
3,65,5000,7025,10051
28,28,2500,7026,10051
40,880,5500,7047,10051
4,322,5500,7059,10051
18,607,6000,7066,10051
84,218,4500,7071,10051
2,387,2500,7075,10051
23,221,6000,7084,10051
15,360,2500,7093,10051
30,130,7000,7107,10051
12,289,2500,7112,10051
1,140,3000,7114,10051
7,927,3000,7118,10051
9,214,7000,7126,10051
8,2,2500,7131,10051
30,73,5000,7133,10051
42,988,4000,7134,10051
49,806,3000,7138,10051
1,882,7000,7140,10051
14,870,4000,7147,10051
4,372,3500,7155,10051
12,159,7000,7186,10051
8,42,4000,7195,10051
71,627,7000,7205,10051
18,25,5500,7228,10051
1,711,3000,7250,10051
2,102,7000,7259,10051
2,397,7000,7263,10051
8,2,5500,7265,10051
27,933,3500,7267,10051
8,49,3500,7293,10051
29,840,3500,7303,10051
7,821,4000,7312,10051
3,286,4500,7315,10051
9,114,7000,7328,10051
2,322,5000,7347,10051
9,319,4000,7361,10051
59,21,4500,7375,10051
61,16,3500,7378,10051
5,7,4000,7379,10051
1,60,3500,7397,10051
36,428,5000,7399,10051
1,33,5000,7412,10051
57,647,2500,7419,10051
11,429,5000,7429,10051
3,451,5000,7458,10051
11,128,3000,7485,10051
2,772,5500,7492,10051
15,666,3000,7511,10051
16,157,6000,7545,10051
3,628,7500,7551,10051
2,188,4000,7560,10051
4,431,4500,7563,10051
6,715,5500,7564,10051
33,647,4000,7566,10051
6,253,5000,7582,10051
1,201,6500,7591,10051
31,359,4500,7593,10051
1,33,3000,7596,10051
97,119,6000,7611,10051
15,7,3000,7612,10051
1,86,6500,7614,10051
17,955,6500,7634,10051
14,466,4500,7650,10051
2,801,5500,7656,10051
78,508,3500,7676,10051
84,228,5500,7689,10051
5,857,4500,7693,10051
34,244,4500,7712,10051
3,571,5000,7722,10051
15,657,5500,7724,10051
1,802,5500,7739,10051
4,402,7000,7748,10051
5,63,3000,7752,10051
2,82,7000,7756,10051
7,528,3500,7756,10051
13,523,5000,7770,10051
31,79,4500,7772,10051
8,421,5000,7786,10051
2,1,5500,7820,10051
9,183,4000,7824,10051
22,674,3000,7829,10051
49,143,5000,7834,10051
12,2,5500,7850,10051
62,813,6000,7873,10051
17,625,3000,7888,10051
1,417,7500,7892,10051
7,473,7500,7913,10051
1,9,3000,7925,10051
4,629,4000,7929,10051
3,893,5500,7945,10051
65,1,3000,7948,10051
13,649,6000,7950,10051
1,139,7000,7986,10051
96,161,3500,8006,10051
4,96,3500,8011,10051
29,665,5500,8028,10051
20,86,8000,8040,10051
1,71,6000,8065,10051
23,52,4000,8075,10051
6,520,4500,8076,10051
74,1,7000,8085,10051
46,126,3500,8098,10051
2,880,7500,8099,10051
3,188,4000,8100,10051
38,366,7500,8116,10051
4,990,5000,8119,10051
2,997,5500,8124,10051
1,26,7500,8126,10051
8,718,4000,8134,10051
2,394,6000,8159,10051
10,15,6000,8162,10051
2,689,3500,8169,10051
7,132,6500,8181,10051
29,721,6500,8199,10051
41,192,7500,8203,10051
14,715,3500,8210,10051
65,11,3500,8223,10051
12,481,5500,8225,10051
9,3,6500,8230,10051
4,19,7000,8240,10051
54,8,4500,8248,10051
6,228,6500,8253,10051
10,883,6000,8254,10051
23,440,3500,8255,10051
83,75,7000,8262,10051
7,130,3500,8262,10051
9,103,4500,8263,10051
2,479,4000,8273,10051
8,61,6000,8275,10051
1,608,5000,8297,10051
95,923,5000,8301,10051
3,178,4000,8312,10051
95,454,5000,8323,10051
14,37,6500,8332,10051
