key,value,eventTime,arrivalTime,processedTime
83,46,500,794,10044
2,844,500,810,10044
87,32,500,828,10044
71,4,500,860,10044
100,354,500,955,10044
69,38,500,961,10044
1,149,500,1019,10044
70,198,500,1072,10044
66,884,1000,1077,10044
31,319,1000,1205,10044
37,377,500,1242,10044
85,76,1000,1276,10044
5,510,500,1284,10044
3,425,500,1339,10044
67,80,1000,1387,10044
93,22,1500,1524,10044
61,949,1000,1549,10044
79,13,1500,1551,10044
52,11,1000,1553,10044
21,112,1000,1614,10044
66,649,1000,1626,10044
8,399,500,1643,10044
84,1,1000,1646,10044
1,825,1500,1719,10044
64,12,1000,1721,10044
4,847,1500,1728,10044
20,121,1500,1772,10044
82,386,1500,1775,10044
42,329,500,1791,10044
2,252,1000,1793,10044
34,22,1500,1798,10044
87,104,1000,1802,10044
7,369,500,1882,10044
52,160,1500,1915,10044
50,233,1000,1971,10044
13,198,1500,1995,10044
55,757,1000,2008,10044
26,42,500,2027,10044
66,404,1500,2068,10044
33,1,1000,2175,10044
20,124,500,2193,10044
87,346,2000,2267,10044
2,408,2000,2299,10044
57,243,1500,2308,10044
34,150,1500,2360,10044
44,49,2000,2410,10044
51,399,500,2418,10044
13,590,500,2423,10044
11,189,1000,2490,10044
56,486,1000,2490,10044
98,703,1000,2526,10044
52,114,2500,2534,10044
24,606,500,2556,10044
29,925,1000,2636,10044
15,435,1500,2667,10044
26,779,2500,2670,10044
32,175,1000,2730,10044
36,75,500,2758,10044
6,146,2500,2771,10044
81,6,1500,2786,10044
1,509,1000,2794,10044
14,812,2000,2824,10044
31,823,500,2867,10044
15,2,500,2888,10044
32,323,2000,2903,10044
83,203,500,2907,10044
22,359,500,2925,10044
32,50,2500,2937,10044
2,15,1500,2996,10044
5,137,0,3012,10044
81,51,2000,3058,10044
4,912,500,3105,10044
24,221,500,3117,10044
61,817,1000,3123,10044
18,18,500,3139,10044
60,558,2500,3142,10044
63,39,3000,3171,10044
33,157,1000,3186,10044
58,14,2500,3203,10044
42,320,1000,3225,10044
2,364,1500,3226,10044
46,854,2500,3231,10044
18,19,3000,3238,10044
42,1,2500,3249,10044
1,282,500,3254,10044
25,251,1500,3277,10044
99,992,2500,3279,10044
18,541,2000,3309,10044
69,119,1500,3327,10044
23,221,2500,3342,10044
21,87,2000,3345,10044
43,543,2000,3364,10044
16,282,1500,3369,10044
2,189,1500,3380,10044
31,387,1500,3401,10044
47,56,1500,3413,10044
3,734,1500,3427,10044
5,107,1000,3444,10044
37,251,2000,3490,10044
10,147,2000,3506,10044
34,21,1500,3508,10044
87,1,2500,3514,10044
9,205,3500,3533,10044
62,180,2500,3540,10044
89,143,2000,3553,10044
99,150,3500,3553,10044
50,419,2000,3557,10044
45,6,1000,3566,10044
76,30,2500,3571,10044
29,171,500,3578,10044
19,672,3500,3590,10044
38,14,1000,3590,10044
12,782,3500,3605,10044
35,257,2500,3616,10044
81,369,500,3654,10044
51,498,1500,3672,10044
71,44,1500,3681,10044
93,379,2500,3697,10044
63,318,3500,3721,10044
