key,value,eventTime,arrivalTime,processedTime
87,46,500,794,10042
4,844,500,810,10042
90,32,500,828,10042
77,4,500,860,10042
100,354,500,955,10042
75,38,500,961,10042
1,149,500,1019,10042
76,198,500,1072,10042
72,884,1000,1077,10042
40,319,1000,1205,10042
46,377,500,1242,10042
88,76,1000,1276,10042
9,510,500,1284,10042
5,425,500,1339,10042
73,80,1000,1387,10042
95,22,1500,1524,10042
68,949,1000,1549,10042
83,13,1500,1551,10042
60,11,1000,1553,10042
29,112,1000,1614,10042
72,649,1000,1626,10042
14,399,500,1643,10042
87,1,1000,1646,10042
2,825,1500,1719,10042
70,12,1000,1721,10042
7,847,1500,1728,10042
28,121,1500,1772,10042
86,386,1500,1775,10042
50,329,500,1791,10042
4,252,1000,1793,10042
43,22,1500,1798,10042
90,104,1000,1802,10042
11,369,500,1882,10042
60,160,1500,1915,10042
58,233,1000,1971,10042
20,198,1500,1995,10042
63,757,1000,2008,10042
35,42,500,2027,10042
72,404,1500,2068,10042
42,1,1000,2175,10042
28,124,500,2193,10042
90,346,2000,2267,10042
3,408,2000,2299,10042
65,243,1500,2308,10042
43,150,1500,2360,10042
53,49,2000,2410,10042
59,399,500,2418,10042
20,590,500,2423,10042
17,189,1000,2490,10042
64,486,1000,2490,10042
99,703,1000,2526,10042
60,114,2500,2534,10042
33,606,500,2556,10042
38,925,1000,2636,10042
22,435,1500,2667,10042
35,779,2500,2670,10042
42,175,1000,2730,10042
45,75,500,2758,10042
10,146,2500,2771,10042
85,6,1500,2786,10042
1,509,1000,2794,10042
21,812,2000,2824,10042
40,823,500,2867,10042
22,2,500,2888,10042
41,323,2000,2903,10042
87,203,500,2907,10042
30,359,500,2925,10042
41,50,2500,2937,10042
3,15,1500,2996,10042
9,137,0,3012,10042
85,51,2000,3058,10042
8,912,500,3105,10042
32,221,500,3117,10042
68,817,1000,3123,10042
25,18,500,3139,10042
68,558,2500,3142,10042
70,39,3000,3171,10042
42,157,1000,3186,10042
65,14,2500,3203,10042
51,320,1000,3225,10042
4,364,1500,3226,10042
54,854,2500,3231,10042
26,19,3000,3238,10042
51,1,2500,3249,10042
3,282,500,3254,10042
34,251,1500,3277,10042
99,992,2500,3279,10042
26,541,2000,3309,10042
75,119,1500,3327,10042
31,221,2500,3342,10042
30,87,2000,3345,10042
52,543,2000,3364,10042
24,282,1500,3369,10042
3,189,1500,3380,10042
40,387,1500,3401,10042
55,56,1500,3413,10042
6,734,1500,3427,10042
9,107,1000,3444,10042
46,251,2000,3490,10042
15,147,2000,3506,10042
43,21,1500,3508,10042
90,1,2500,3514,10042
15,205,3500,3533,10042
69,180,2500,3540,10042
91,143,2000,3553,10042
99,150,3500,3553,10042
58,419,2000,3557,10042
53,6,1000,3566,10042
81,30,2500,3571,10042
38,171,500,3578,10042
27,672,3500,3590,10042
47,14,1000,3590,10042
18,782,3500,3605,10042
44,257,2500,3616,10042
85,369,500,3654,10042
59,498,1500,3672,10042
77,44,1500,3681,10042
95,379,2500,3697,10042
70,318,3500,3721,10042
89,496,2000,3724,10042
7,176,3000,3725,10042
6,646,500,3729,10042
19,999,3000,3756,10042
64,42,500,3756,10042
98,80,3000,3768,10042
19,159,500,3782,10042
49,89,500,3783,10042
91,238,3000,3785,10042
86,66,1500,3789,10042
67,988,1000,3790,10042
17,533,1500,3817,10042
10,779,3000,3837,10042
36,493,2000,3852,10042
6,285,1000,3881,10042
39,973,3000,3914,10042
38,190,2000,3926,10042
1,739,1000,3930,10042
65,538,3000,3932,10042
36,1,2500,3937,10042
39,338,500,3938,10042
87,404,3500,3941,10042
18,430,3500,3941,10042
16,166,2000,3953,10042
55,2,500,3956,10042
7,83,2500,3963,10042
70,176,500,3983,10042
66,819,1500,3984,10042
30,28,1500,4010,10042
67,138,1500,4042,10042
92,38,3500,4049,10042
100,382,4000,4062,10042
58,397,500,4070,10042
53,219,500,4100,10042
38,180,3000,4121,10042
12,961,4000,4129,10042
42,617,2000,4140,10042
42,29,1500,4159,10042
55,42,2000,4177,10042
98,958,4000,4178,10042
29,64,3000,4184,10042
30,37,1500,4191,10042
