key,value,eventTime,arrivalTime,processedTime
7,38,5,18,10169
2,625,9,24,10169
5,2,22,24,10169
2,81,5,37,10169
9,369,23,53,10169
4,75,19,58,10169
9,203,16,63,10169
5,320,64,67,10169
7,176,7,71,10169
4,138,21,74,10169
2,138,17,82,10169
2,189,43,91,10169
7,745,11,104,10169
9,198,23,118,10169
7,884,53,119,10169
3,112,71,119,10169
6,486,64,121,10169
5,153,95,138,10169
10,922,83,141,10169
2,198,91,148,10169
5,56,163,168,10169
8,479,142,172,10169
1,282,17,181,10169
4,823,3,183,10169
10,354,22,184,10169
5,352,57,194,10169
10,22,91,199,10169
9,76,68,212,10169
1,844,9,215,10169
1,431,176,230,10169
4,397,160,236,10169
2,153,229,243,10169
4,251,191,250,10169
1,510,1,251,10169
1,15,158,257,10169
6,42,245,267,10169
4,728,177,276,10169
3,20,213,278,10169
1,354,171,287,10169
8,32,91,294,10169
2,147,196,296,10169
4,100,304,305,10169
1,146,307,308,10169
2,678,237,310,10169
7,949,26,313,10169
4,98,318,323,10169
10,703,56,344,10169
1,734,97,348,10169
2,109,182,358,10169
1,509,72,363,10169
6,11,61,373,10169
6,114,369,378,10169
3,78,372,384,10169
2,37,383,400,10169
7,28,268,409,10169
1,847,100,422,10169
4,607,234,424,10169
1,83,269,425,10169
5,128,442,453,10169
9,386,154,460,10169
6,625,426,463,10169
8,256,487,489,10169
1,795,76,495,10169
3,493,181,498,10169
4,257,302,502,10169
3,322,401,510,10169
4,387,148,511,10169
2,87,379,513,10169
7,39,457,530,10169
8,599,191,534,10169
3,64,495,538,10169
10,137,348,541,10169
1,137,1,556,10169
3,359,16,571,10169
3,339,416,578,10169
1,283,402,583,10169
1,277,182,589,10169
1,432,374,591,10169
6,774,573,602,10169
4,740,137,630,10169
2,333,499,630,10169
10,992,369,647,10169
6,577,619,649,10169
8,169,541,654,10169
8,741,387,662,10169
10,129,514,662,10169
4,150,128,663,10169
2,112,6,664,10169
4,503,302,670,10169
2,442,59,681,10169
8,126,649,697,10169
1,408,245,707,10169
2,118,389,721,10169
7,126,75,732,10169
7,558,388,738,10169
3,130,742,752,10169
7,533,610,769,10169
6,938,114,780,10169
4,12,415,795,10169
7,817,74,796,10169
2,205,603,796,10169
6,160,117,804,10169
6,243,107,818,10169
9,51,235,828,10169
3,288,190,837,10169
2,339,199,845,10169
3,672,648,848,10169
7,198,25,853,10169
3,37,135,855,10169
1,33,550,874,10169
8,531,447,889,10169
8,847,689,894,10169
6,757,83,900,10169
7,933,673,914,10169
7,840,760,920,10169
2,282,118,923,10169
3,429,141,924,10169
7,57,718,926,10169
10,211,649,930,10169
5,233,84,937,10169
1,54,799,942,10169
1,364,147,946,10169
4,528,615,949,10169
6,373,694,954,10169
7,459,373,958,10169
2,228,92,960,10169
4,319,806,969,10169
4,183,825,983,10169
5,360,336,989,10169
1,107,42,1002,10169
5,62,201,1002,10169
4,319,80,1005,10169
3,597,528,1009,10169
4,840,796,1016,10169
7,649,53,1025,10169
10,276,194,1033,10169
3,938,931,1037,10169
1,196,1012,1044,10169
10,382,895,1059,10169
6,300,336,1063,10169
7,12,53,1064,10169
5,289,281,1077,10169
1,141,261,1112,10169
3,107,409,1114,10169
5,206,1062,1114,10169
6,3,1041,1119,10169
6,971,170,1124,10169
1,894,989,1136,10169
3,118,605,1150,10169
2,416,1071,1159,10169
10,218,1159,1160,10169
10,218,1096,1172,10169
3,96,665,1192,10169
9,1,450,1193,10169
3,68,306,1200,10169
9,104,44,1209,10169
4,56,1097,1211,10169
2,188,1041,1215,10169
2,163,137,1226,10169
10,379,285,1227,10169
4,1,595,1227,10169
2,954,1139,1239,10169
9,346,237,1251,10169
4,449,176,1254,10169
1,711,542,1255,10169
1,636,1217,1277,10169
1,149,19,1283,10169
6,14,270,1283,10169
10,150,720,1285,10169
4,21,130,1296,10169
6,237,968,1298,10169
8,13,143,1307,10169
5,666,500,1308,10169
1,834,35,1309,10169
2,286,1177,1318,10169
2,100,985,1322,10169
5,219,16,1323,10169
4,520,1168,1329,10169
2,999,562,1342,10169
1,817,706,1349,10169
3,221,1050,1361,10169
3,221,363,1374,10169
4,973,408,1392,10169
3,242,1318,1393,10169
6,90,627,1394,10169
3,55,205,1405,10169
3,180,515,1408,10169
3,1,314,1425,10169
5,7,499,1450,10169
2,882,1219,1453,10169
2,693,1452,1461,10169
7,695,951,1464,10169
1,371,439,1470,10169
4,377,16,1471,10169
2,81,320,1482,10169
2,98,1489,1494,10169
7,404,85,1504,10169
5,523,1504,1505,10169
4,133,1443,1506,10169
6,138,93,1522,10169
3,365,355,1529,10169
3,178,834,1536,10169
6,325,1291,1538,10169
4,91,1301,1538,10169
2,159,5,1545,10169
1,396,1088,1545,10169
4,49,637,1548,10169
8,2,1522,1550,10169
1,114,1005,1554,10169
3,629,828,1569,10169
1,692,1474,1571,10169
1,584,681,1581,10169
9,404,745,1583,10169
2,973,1430,1585,10169
6,2,1416,1589,10169
9,944,1099,1591,10169
4,50,941,1608,10169
1,399,16,1623,10169
1,520,275,1630,10169
5,350,1113,1637,10169
3,571,1648,1656,10169
5,64,243,1658,10169
2,333,1582,1673,10169
6,21,1292,1681,10169
5,429,1537,1692,10169
4,338,7,1701,10169
4,253,1581,1706,10169
9,46,18,1709,10169
3,779,298,1710,10169
1,259,1537,1719,10169
5,403,1656,1722,10169
1,747,1725,1738,10169
3,372,747,1757,10169
9,276,536,1758,10169
3,15,1581,1759,10169
2,801,1405,1764,10169
1,188,1065,1765,10169
3,925,30,1768,10169
10,5,1318,1777,10169
8,30,280,1785,10169
4,14,61,1787,10169
1,33,1614,1788,10169
6,725,1094,1798,10169
2,62,529,1803,10169
2,267,1817,1820,10169
2,435,140,1826,10169
2,451,1489,1871,10169
6,1,511,1883,10169
4,715,1862,1885,10169
5,42,255,1891,10169
1,322,1486,1893,10169
7,665,1853,1894,10169
3,221,15,1897,10169
3,52,1890,1911,10169
1,802,1755,1922,10169
4,326,251,1937,10169
1,140,582,1939,10169
1,739,41,1978,10169
6,177,1986,1987,10169
1,364,1528,1990,10169
5,854,291,1996,10169
4,602,1692,2012,10169
2,743,75,2014,10169
4,477,1542,2026,10169
1,387,1131,2034,10169
7,79,1152,2034,10169
3,990,1421,2037,10169
3,271,701,2056,10169
1,898,2045,2063,10169
5,329,3,2066,10169
2,464,1879,2070,10169
2,2,7,2087,10169
2,929,904,2088,10169
4,42,202,2093,10169
1,14,9,2094,10169
9,726,700,2098,10169
8,314,1369,2099,10169
5,493,670,2101,10169
9,496,218,2106,10169
5,507,364,2109,10169
5,466,1364,2118,10169
1,287,2075,2125,10169
1,740,124,2126,10169
9,445,2009,2126,10169
1,304,951,2127,10169
1,804,30,2129,10169
1,425,3,2166,10169
4,1,2012,2168,10169
6,399,10,2169,10169
6,550,2143,2176,10169
1,709,1425,2182,10169
3,227,2053,2193,10169
2,123,328,2194,10169
9,413,321,2209,10169
6,221,2104,2210,10169
1,16,1911,2213,10169
6,538,582,2221,10169
9,135,1570,2224,10169
5,522,2216,2224,10169
4,109,6,2228,10169
2,154,881,2241,10169
3,322,1670,2241,10169
7,271,79,2248,10169
5,218,2246,2249,10169
8,735,2071,2250,10169
1,9,1925,2251,10169
7,318,762,2267,10169
2,65,1649,2276,10169
6,157,2141,2280,10169
7,55,1415,2302,10169
5,312,1316,2303,10169
8,53,1362,2310,10169
5,419,221,2317,10169
8,948,546,2319,10169
2,127,2318,2319,10169
4,604,1452,2333,10169
8,44,121,2339,10169
5,873,1604,2340,10169
7,67,121,2342,10169
6,389,387,2344,10169
4,400,26,2375,10169
3,805,1092,2377,10169
3,121,109,2397,10169
4,258,2313,2413,10169
6,25,1659,2422,10169
7,2,2419,2424,10169
2,723,1533,2425,10169
1,715,1161,2435,10169
4,372,777,2441,10169
7,379,2389,2443,10169
4,768,1570,2444,10169
9,257,703,2451,10169
1,461,2446,2468,10169
1,369,25,2475,10169
1,646,4,2484,10169
9,32,3,2489,10169
5,878,2484,2514,10169
2,271,2509,2523,10169
8,988,1028,2531,10169
1,5,1926,2551,10169
4,103,1143,2572,10169
1,692,2441,2578,10169
4,2,298,2588,10169
8,4,6,2590,10169
2,533,104,2593,10169
10,382,1048,2595,10169
1,285,36,2614,10169
2,331,128,2629,10169
10,906,2480,2629,10169
6,440,614,2636,10169
10,12,2643,2646,10169
5,59,249,2656,10169
9,143,199,2662,10169
6,16,965,2662,10169
3,389,2611,2676,10169
5,84,217,2683,10169
7,80,67,2694,10169
2,19,425,2695,10169
2,253,1377,2695,10169
9,11,609,2705,10169
7,180,300,2709,10169
6,576,355,2712,10169
10,80,524,2712,10169
3,446,2707,2718,10169
2,812,212,2719,10169
5,870,902,2719,10169
3,92,2740,2746,10169
10,692,715,2748,10169
2,391,1676,2752,10169
1,108,141,2753,10169
1,520,2735,2754,10169
4,15,2267,2758,10169
1,60,2,2765,10169
4,889,894,2784,10169
7,130,1549,2786,10169
2,541,185,2791,10169
1,232,2268,2796,10169
10,256,2562,2796,10169
1,348,1415,2805,10169
8,428,1485,2829,10169
4,244,2250,2838,10169
4,401,357,2840,10169
4,5,1811,2860,10169
5,207,1201,2866,10169
9,647,283,2872,10169
3,251,93,2873,10169
7,647,805,2888,10169
6,8,309,2891,10169
1,252,31,2916,10169
1,961,1066,2930,10169
10,718,2375,2930,10169
5,131,1458,2962,10169
5,89,5,2968,10169
1,779,390,2975,10169
1,255,412,2986,10169
3,19,2992,2999,10169
6,113,71,3002,10169
4,29,134,3022,10169
2,344,2822,3043,10169
7,359,1154,3054,10169
7,672,735,3070,10169
4,60,737,3102,10169
7,848,646,3113,10169
3,431,1311,3117,10169
3,88,266,3124,10169
5,640,2475,3133,10169
4,61,2237,3136,10169
2,774,2373,3137,10169
1,439,3140,3141,10169
4,479,1905,3142,10169
4,987,1338,3158,10169
9,12,2434,3159,10169
3,42,5,3169,10169
1,771,2886,3169,10169
5,214,2913,3170,10169
2,18,9,3172,10169
8,108,531,3172,10169
4,107,1831,3172,10169
9,1,83,3191,10169
2,243,1344,3199,10169
4,132,2898,3203,10169
2,280,2044,3208,10169
2,1,1662,3234,10169
2,20,3237,3239,10169
6,10,1741,3250,10169
5,6,62,3253,10169
3,1,3252,3255,10169
2,146,120,3261,10169
10,454,1457,3261,10169
6,988,65,3262,10169
2,621,3262,3265,10169
3,7,877,3279,10169
3,699,469,3290,10169
2,377,3204,3299,10169
3,402,3272,3305,10169
2,82,3308,3312,10169
6,39,2422,3315,10169
5,649,2050,3323,10169
1,476,2411,3330,10169
2,630,1122,3334,10169
4,536,1681,3339,10169
5,175,2093,3355,10169
3,986,620,3358,10169
4,617,227,3360,10169
1,178,72,3407,10169
7,130,3415,3418,10169
4,214,3223,3425,10169
9,471,3035,3459,10169
10,958,907,3468,10169
3,606,16,3470,10169
3,63,388,3471,10169
10,659,3475,3478,10169
3,171,1,3485,10169
6,498,94,3496,10169
5,487,424,3498,10169
2,397,3212,3520,10169
3,415,1023,3521,10169
8,777,3508,3531,10169
1,127,3286,3547,10169
7,281,3256,3562,10169
2,750,3333,3565,10169
5,177,3573,3575,10169
9,112,3581,3585,10169
2,153,1758,3591,10169
1,594,193,3602,10169
2,166,244,3604,10169
10,123,2691,3608,10169
1,497,3497,3609,10169
9,66,84,3623,10169
5,7,2709,3624,10169
3,190,240,3634,10169
7,469,1650,3636,10169
8,135,3169,3651,10169
4,667,3055,3663,10169
9,16,698,3712,10169
8,983,2468,3728,10169
5,1,378,3733,10169
2,479,1004,3733,10169
1,170,2624,3744,10169
4,3,2432,3762,10169
6,52,862,3795,10169
10,413,3122,3803,10169
2,590,18,3817,10169
1,725,1828,3825,10169
9,8,1306,3827,10169
1,187,50,3829,10169
9,369,3828,3834,10169
1,286,289,3839,10169
5,49,175,3840,10169
3,567,1552,3840,10169
5,22,67,3847,10169
3,48,3572,3847,10169
4,50,315,3850,10169
10,157,1893,3854,10169
2,131,5,3893,10169
9,35,2996,3899,10169
1,26,2666,3901,10169
4,73,1024,3905,10169
10,508,744,3925,10169
10,923,1426,3926,10169
7,272,1793,3933,10169
6,740,2163,3943,10169
1,882,3207,3945,10169
10,504,1394,3947,10169
4,671,171,3952,10169
3,351,2956,3956,10169
3,26,3939,3959,10169
8,847,1651,3984,10169
2,772,1850,3986,10169
4,15,3621,3988,10169
4,384,2505,3989,10169
4,429,3361,3991,10169
2,792,3560,4001,10169
6,912,1490,4008,10169
4,175,59,4012,10169
1,207,35,4020,10169
5,470,1967,4028,10169
4,130,683,4039,10169
10,28,2540,4079,10169
5,883,2398,4087,10169
4,51,1886,4094,10169
4,842,1457,4097,10169
4,10,4082,4098,10169
6,738,3743,4104,10169
8,123,3567,4107,10169
1,390,3102,4108,10169
1,62,614,4115,10169
7,700,3861,4118,10169
8,806,423,4131,10169
6,955,2437,4137,10169
1,139,3248,4153,10169
1,189,90,4154,10169
5,845,4036,4156,10169
7,721,2471,4160,10169
9,238,588,4181,10169
1,26,3469,4181,10169
8,192,3700,4188,10169
4,170,1150,4200,10169
7,20,3191,4211,10169
1,3,3910,4221,10169
6,430,156,4222,10169
