key,value,eventTime,arrivalTime,processedTime
10,0,0,2731,10127
10,0,4000,4071,10127
9,0,4000,4245,10127
3,0,4000,4309,10127
2,0,4000,4359,10127
2,0,4000,4403,10127
8,0,4000,4602,10127
8,0,4000,4649,10127
10,0,4000,4753,10127
9,0,4000,4887,10127
3,0,4000,5186,10127
6,0,4000,5189,10127
3,0,4000,5231,10127
2,0,4000,5295,10127
6,0,4000,5360,10127
10,0,4000,5422,10127
9,0,4000,5527,10127
2,0,4000,5774,10127
1,0,4000,5787,10127
5,0,4000,5880,10127
1,0,4000,5984,10127
1,0,4000,6087,10127
2,0,4000,6419,10127
7,0,4000,6473,10127
3,0,4000,6668,10127
1,0,4000,6813,10127
7,0,4000,6835,10127
6,0,4000,6839,10127
10,0,4000,6983,10127
5,0,4000,6991,10127
8,0,4000,7459,10127
7,0,4000,7666,10127
3,0,4000,7702,10127
9,0,4000,7731,10127
6,0,4000,7929,10127
3,0,4000,7987,10127
10,0,8000,8034,10127
1,0,8000,8078,10127
4,0,8000,8084,10127
3,0,4000,8088,10127
3,0,8000,8105,10127
4,0,8000,8220,10127
2,0,4000,8313,10127
3,0,4000,8335,10127
5,0,4000,8354,10127
3,0,8000,8470,10127
1,0,8000,8502,10127
1,0,8000,8761,10127
3,0,8000,8771,10127
4,0,4000,8845,10127
5,0,8000,8852,10127
2,0,8000,9000,10127
1,0,8000,9147,10127
2,0,8000,9201,10127
4,0,8000,9509,10127
6,0,8000,9640,10127
9,0,8000,9684,10127
5,0,8000,9789,10127
5,0,8000,9957,10127
6,0,8000,9984,10127
9,0,8000,10218,0
6,0,8000,10285,0
10,0,8000,10322,0
5,0,8000,10340,0
4,0,8000,10393,0
2,0,8000,10896,0
6,0,8000,10927,0
6,0,8000,10959,0
10,0,8000,11055,0
7,0,8000,11114,0
2,0,8000,11280,0
6,0,8000,11295,0
10,0,8000,11475,0
8,0,8000,11913,0
9,0,8000,12069,0
6,0,12000,12087,0
8,0,12000,12171,0
2,0,8000,12180,0
5,0,8000,12260,0
5,0,12000,12301,0
2,0,12000,12317,0
6,0,12000,12346,0
6,0,12000,12354,0
9,0,12000,12384,0
7,0,12000,12411,0
7,0,12000,12519,0
2,0,8000,12614,0
9,0,12000,12822,0
3,0,8000,12854,0
9,0,8000,12884,0
1,0,8000,12900,0
3,0,12000,12961,0
6,0,12000,13040,0
3,0,12000,13134,0
6,0,12000,13146,0
7,0,12000,13262,0
2,0,12000,13325,0
8,0,12000,13716,0
6,0,12000,13718,0
8,0,12000,13724,0
7,0,12000,14098,0
3,0,12000,14305,0
4,0,12000,14520,0
4,0,12000,14781,0
2,0,12000,15240,0
6,0,12000,15357,0
9,0,12000,15398,0
6,0,12000,15497,0
3,0,12000,15693,0
4,0,12000,15794,0
10,0,16000,16061,0
10,0,12000,16133,0
3,0,12000,16193,0
1,0,12000,16195,0
1,0,12000,16260,0
5,0,12000,16316,0
7,0,16000,16395,0
6,0,12000,16409,0
6,0,16000,16459,0
9,0,12000,16497,0
3,0,16000,16510,0
4,0,12000,16512,0
9,0,12000,16543,0
8,0,12000,16555,0
2,0,12000,16808,0
9,0,16000,17331,0
10,0,16000,17967,0
6,0,16000,18106,0
6,0,16000,18343,0
8,0,16000,18344,0
10,0,16000,18537,0
2,0,16000,18571,0
6,0,16000,18781,0
2,0,16000,18833,0
7,0,16000,18981,0
2,0,16000,19135,0
1,0,16000,19735,0
8,0,16000,19822,0
10,0,16000,19971,0
5,0,16000,19993,0
5,0,16000,20069,0
10,0,16000,20246,0
1,0,16000,20321,0
5,0,16000,20401,0
4,0,16000,20581,0
10,0,16000,20582,0
1,0,16000,20627,0
7,0,16000,20680,0
9,0,16000,20804,0
7,0,16000,20957,0
