key,value,eventTime,arrivalTime,processedTime
10,0,500,534,14975
10,0,500,571,14975
9,0,500,745,14975
3,0,500,809,14975
2,0,500,859,14975
2,0,500,903,14975
1,0,1000,1078,14975
4,0,1000,1084,14975
8,0,500,1102,14975
3,0,1000,1105,14975
8,0,500,1149,14975
8,0,1000,1171,14975
4,0,1000,1220,14975
10,0,500,1253,14975
5,0,1000,1301,14975
2,0,1000,1317,14975
5,0,500,1352,14975
6,0,1000,1354,14975
9,0,1000,1384,14975
9,0,500,1387,14975
3,0,1000,1470,14975
1,0,1000,1502,14975
7,0,1000,1519,14975
10,0,1500,1561,14975
6,0,1500,1587,14975
1,0,500,1647,14975
3,0,500,1686,14975
6,0,500,1689,14975
3,0,500,1731,14975
1,0,1000,1761,14975
3,0,1000,1771,14975
2,0,500,1795,14975
9,0,1000,1822,14975
6,0,1500,1846,14975
6,0,500,1860,14975
7,0,1500,1895,14975
7,0,1500,1911,14975
10,0,500,1922,14975
6,0,1500,1959,14975
3,0,1000,1961,14975
8,0,1500,1984,14975
2,0,1000,2000,14975
3,0,1500,2010,14975
9,0,500,2027,14975
4,0,2000,2127,14975
6,0,500,2140,14975
6,0,1000,2146,14975
9,0,500,2184,14975
5,0,2000,2194,14975
2,0,1000,2201,14975
6,0,2000,2208,14975
2,0,2000,2228,14975
7,0,1000,2262,14975
2,0,500,2274,14975
1,0,500,2287,14975
5,0,500,2380,14975
2,0,2000,2472,14975
1,0,500,2484,14975
6,0,500,2484,14975
4,0,1000,2509,14975
6,0,1500,2540,14975
8,0,2500,2561,14975
6,0,2000,2567,14975
4,0,2000,2571,14975
1,0,500,2587,14975
5,0,2500,2600,14975
3,0,1500,2634,14975
8,0,2000,2641,14975
2,0,2000,2649,14975
2,0,2500,2686,14975
9,0,2500,2687,14975
10,0,0,2731,14975
5,0,1000,2789,14975
10,0,2000,2809,14975
10,0,2000,2816,14975
2,0,1500,2825,14975
9,0,1500,2831,14975
8,0,2000,2897,14975
10,0,2500,2902,14975
2,0,500,2919,14975
7,0,2000,2937,14975
8,0,2500,2955,14975
5,0,1000,2957,14975
7,0,500,2973,14975
9,0,3000,3013,14975
10,0,2000,3089,14975
